,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,5,1,Leicester,Man United,E0,8,4,6,2,8,0,A Marriner,13,2,H,1,0,H,11,1,0,10/08/2018,2,Man United_Leicester_2018
1,4,0,Cardiff,Bournemouth,E0,12,1,4,7,9,0,K Friend,10,2,H,1,0,H,11,1,0,11/08/2018,1,Bournemouth_Cardiff_2018
2,5,2,Crystal Palace,Fulham,E0,15,9,6,5,11,1,M Dean,10,0,A,0,0,A,9,2,0,11/08/2018,1,Fulham_Crystal Palace_2018
3,5,3,Chelsea,Huddersfield,E0,6,4,1,2,8,2,C Kavanagh,13,0,A,0,0,A,9,1,0,11/08/2018,2,Huddersfield_Chelsea_2018
4,5,2,Tottenham,Newcastle,E0,15,5,2,3,12,2,M Atkinson,15,1,A,1,0,A,11,2,0,11/08/2018,2,Newcastle_Tottenham_2018
5,2,0,Brighton,Watford,E0,19,0,5,8,16,0,J Moss,6,2,H,1,0,H,10,2,0,11/08/2018,2,Watford_Brighton_2018
6,6,2,Everton,Wolves,E0,11,5,4,3,7,1,C Pawson,6,2,D,1,1,D,8,1,0,11/08/2018,0,Wolves_Everton_2018
7,9,2,Man City,Arsenal,E0,9,8,3,2,14,1,M Oliver,17,0,A,0,0,A,11,2,0,12/08/2018,2,Arsenal_Man City_2018
8,4,0,West Ham,Liverpool,E0,18,2,8,5,9,0,A Taylor,5,4,H,2,0,H,14,2,0,12/08/2018,1,Liverpool_West Ham_2018
9,5,0,Burnley,Southampton,E0,18,6,3,8,9,0,G Scott,16,0,D,0,0,D,10,1,0,12/08/2018,0,Southampton_Burnley_2018
10,5,0,Newcastle,Cardiff,E0,12,6,1,5,16,0,C Pawson,12,0,D,0,1,D,14,2,0,18/08/2018,2,Cardiff_Newcastle_2018
11,1,2,Arsenal,Chelsea,E0,24,6,11,5,9,2,M Atkinson,15,3,H,2,0,D,12,2,0,18/08/2018,0,Chelsea_Arsenal_2018
12,5,1,Southampton,Everton,E0,13,4,7,2,20,0,L Mason,15,2,H,2,0,H,8,5,0,18/08/2018,0,Everton_Southampton_2018
