,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,6,2,Wolves,Blackburn,E0,16,4,8,12,10,1,K Friend,13,1,A,1,0,D,14,2,0,13/08/2011,4,Blackburn_Wolves_2011
1,3,0,Aston Villa,Fulham,E0,13,1,9,2,18,0,L Mason,7,0,D,0,0,D,10,4,0,13/08/2011,2,Fulham_Aston Villa_2011
2,3,1,Sunderland,Liverpool,E0,11,6,4,6,12,0,P Dowd,15,1,D,1,0,H,17,4,0,13/08/2011,4,Liverpool_Sunderland_2011
3,5,0,Arsenal,Newcastle,E0,6,4,1,2,11,0,P Walton,9,0,D,0,1,D,9,5,0,13/08/2011,3,Newcastle_Arsenal_2011
4,2,4,Bolton,QPR,E0,13,7,7,3,16,1,M Atkinson,13,0,A,0,0,A,9,2,1,13/08/2011,1,QPR_Bolton_2011
5,3,1,Norwich,Wigan,E0,18,3,11,7,8,1,S Attwell,13,1,D,1,0,D,11,2,0,13/08/2011,2,Wigan_Norwich_2011
6,6,0,Chelsea,Stoke,E0,6,11,3,4,12,0,M Halsey,20,0,D,0,0,D,12,2,0,14/08/2011,2,Stoke_Chelsea_2011
7,5,2,Man United,West Brom,E0,14,5,8,6,9,1,M Jones,11,1,A,1,0,D,16,2,0,14/08/2011,3,West Brom_Man United_2011
8,4,0,Swansea,Man City,E0,26,5,19,7,2,0,M Dean,8,4,H,0,0,D,9,0,0,15/08/2011,0,Man City_Swansea_2011
9,5,2,Liverpool,Arsenal,E0,10,8,6,9,6,0,M Atkinson,13,0,A,0,0,D,11,2,1,20/08/2011,2,Arsenal_Liverpool_2011
10,4,1,Blackburn,Aston Villa,E0,9,6,6,5,13,0,S Attwell,10,3,H,2,0,H,9,0,0,20/08/2011,3,Aston Villa_Blackburn_2011
11,4,1,West Brom,Chelsea,E0,22,4,12,7,8,1,L Mason,6,2,H,0,0,A,12,4,0,20/08/2011,2,Chelsea_West Brom_2011
12,1,1,QPR,Everton,E0,14,3,7,2,9,1,K Friend,4,0,A,0,0,A,12,1,0,20/08/2011,1,Everton_QPR_2011
13,6,1,Newcastle,Sunderland,E0,15,10,5,7,7,0,H Webb,12,0,A,0,0,D,17,3,1,20/08/2011,3,Sunderland_Newcastle_2011
14,7,0,Wigan,Swansea,E0,12,4,6,7,18,0,P Dowd,10,0,D,0,0,D,8,3,0,20/08/2011,0,Swansea_Wigan_2011
15,8,3,Man City,Bolton,E0,6,9,4,7,14,2,M Jones,17,2,A,1,0,A,19,0,0,21/08/2011,2,Bolton_Man City_2011
16,6,1,Stoke,Norwich,E0,9,5,7,3,12,0,N Swarbrick,15,1,D,1,0,H,13,2,1,21/08/2011,0,Norwich_Stoke_2011
17,8,0,Fulham,Wolves,E0,17,4,7,7,10,0,M Dean,8,2,H,2,0,H,7,2,0,21/08/2011,2,Wolves_Fulham_2011
18,3,0,Tottenham,Man United,E0,27,12,21,11,9,0,L Probert,20,3,H,0,0,D,12,2,0,22/08/2011,1,Man United_Tottenham_2011
19,8,0,Wolves,Aston Villa,E0,15,2,5,11,9,0,M Atkinson,3,0,D,0,0,D,10,3,0,27/08/2011,1,Aston Villa_Wolves_2011
20,4,1,Everton,Blackburn,E0,14,4,6,5,13,0,L Mason,9,0,A,0,0,D,17,2,0,27/08/2011,5,Blackburn_Everton_2011
21,6,1,Norwich,Chelsea,E0,16,6,8,8,14,0,M Jones,9,3,H,1,1,H,17,2,0,27/08/2011,2,Chelsea_Norwich_2011
22,6,1,Bolton,Liverpool,E0,17,4,9,12,7,0,L Probert,7,3,H,1,0,H,5,2,0,27/08/2011,0,Liverpool_Bolton_2011
23,4,0,Sunderland,Swansea,E0,15,8,6,7,10,0,M Halsey,12,0,D,0,0,D,7,1,0,27/08/2011,1,Swansea_Sunderland_2011
24,7,0,QPR,Wigan,E0,13,9,10,8,8,0,M Oliver,19,2,H,1,0,H,13,0,0,27/08/2011,2,Wigan_QPR_2011
25,5,2,Arsenal,Man United,E0,25,13,15,3,7,1,H Webb,19,8,H,3,1,H,9,3,0,28/08/2011,2,Man United_Arsenal_2011
26,6,1,Fulham,Newcastle,E0,13,9,9,6,8,0,K Friend,16,2,H,0,0,D,19,1,0,28/08/2011,2,Newcastle_Fulham_2011
27,5,5,Man City,Tottenham,E0,15,12,10,10,9,2,P Dowd,22,1,A,0,0,A,11,4,0,28/08/2011,2,Tottenham_Man City_2011
28,1,1,Stoke,West Brom,E0,16,1,7,5,12,0,M Dean,7,0,A,0,0,D,9,0,0,28/08/2011,0,West Brom_Stoke_2011
29,5,0,Swansea,Arsenal,E0,18,5,8,4,7,0,S Attwell,10,1,H,1,0,H,10,2,0,10/09/2011,3,Arsenal_Swansea_2011
30,7,5,Man United,Bolton,E0,20,9,13,5,1,3,A Marriner,13,0,A,0,0,A,14,0,0,10/09/2011,2,Bolton_Man United_2011
31,0,2,Aston Villa,Everton,E0,17,3,10,8,11,0,M Oliver,7,2,D,1,0,H,13,1,0,10/09/2011,1,Everton_Aston Villa_2011
32,3,0,Wigan,Man City,E0,23,5,10,8,9,0,M Atkinson,9,3,H,1,0,H,6,0,0,10/09/2011,0,Man City_Wigan_2011
33,12,0,Liverpool,Stoke,E0,3,11,1,2,13,0,M Clattenburg,20,1,H,1,0,H,12,1,0,10/09/2011,0,Stoke_Liverpool_2011
34,7,2,Chelsea,Sunderland,E0,14,8,7,4,3,1,L Probert,16,1,A,0,0,A,7,1,0,10/09/2011,1,Sunderland_Chelsea_2011
35,10,2,Tottenham,Wolves,E0,10,11,6,4,12,0,P Walton,17,0,A,0,0,D,5,2,0,10/09/2011,3,Wolves_Tottenham_2011
36,2,1,Blackburn,Fulham,E0,13,5,8,11,12,1,H Webb,10,1,D,1,0,D,7,1,0,11/09/2011,3,Fulham_Blackburn_2011
37,3,1,West Brom,Norwich,E0,17,9,5,1,11,1,M Halsey,14,0,A,0,0,A,10,2,0,11/09/2011,1,Norwich_West Brom_2011
38,4,0,Newcastle,QPR,E0,14,3,5,6,15,0,P Dowd,8,0,D,0,0,D,10,3,0,12/09/2011,1,QPR_Newcastle_2011
39,9,1,Newcastle,Aston Villa,E0,10,13,2,4,10,0,N Swarbrick,21,1,D,1,0,H,13,1,0,17/09/2011,1,Aston Villa_Newcastle_2011
40,13,3,Arsenal,Blackburn,E0,10,16,5,2,9,2,A Marriner,24,4,H,1,0,A,14,1,0,17/09/2011,2,Blackburn_Arsenal_2011
41,9,2,Norwich,Bolton,E0,7,5,7,6,8,2,H Webb,11,1,A,0,0,A,8,1,1,17/09/2011,3,Bolton_Norwich_2011
42,9,1,Wigan,Everton,E0,17,4,10,4,8,1,P Walton,9,3,H,1,0,D,14,1,0,17/09/2011,2,Everton_Wigan_2011
43,8,0,West Brom,Swansea,E0,7,8,5,2,9,0,M Atkinson,13,3,H,2,0,H,4,2,0,17/09/2011,1,Swansea_West Brom_2011
44,8,3,QPR,Wolves,E0,13,12,6,4,13,2,A Taylor,17,0,A,0,0,A,15,3,0,17/09/2011,2,Wolves_QPR_2011
45,9,2,Man City,Fulham,E0,14,11,11,6,9,1,M Clattenburg,18,2,D,0,0,A,10,1,0,18/09/2011,1,Fulham_Man City_2011
46,10,1,Chelsea,Man United,E0,12,9,7,4,12,0,P Dowd,20,3,H,3,0,H,11,3,0,18/09/2011,2,Man United_Chelsea_2011
47,5,0,Stoke,Sunderland,E0,8,5,7,6,12,0,K Friend,9,4,H,3,0,H,15,2,0,18/09/2011,1,Sunderland_Stoke_2011
48,1,0,Liverpool,Tottenham,E0,24,2,16,4,9,0,M Jones,5,4,H,1,2,H,10,4,0,18/09/2011,1,Tottenham_Liverpool_2011
49,2,0,Bolton,Arsenal,E0,23,3,14,9,9,0,M Clattenburg,3,3,H,0,1,D,7,1,0,24/09/2011,0,Arsenal_Bolton_2011
50,6,1,Swansea,Chelsea,E0,15,4,7,1,11,0,M Dean,5,4,H,2,0,H,15,3,1,24/09/2011,3,Chelsea_Swansea_2011
51,2,1,Wolves,Liverpool,E0,14,6,6,7,6,0,K Friend,11,2,H,2,0,H,15,4,0,24/09/2011,3,Liverpool_Wolves_2011
52,5,0,Everton,Man City,E0,18,3,8,7,13,0,H Webb,7,2,H,0,0,D,9,5,0,24/09/2011,1,Man City_Everton_2011
53,2,1,Blackburn,Newcastle,E0,19,1,8,4,16,1,M Atkinson,4,3,H,2,1,H,6,4,0,24/09/2011,0,Newcastle_Blackburn_2011
54,8,1,Man United,Stoke,E0,14,9,8,8,3,1,P Walton,13,1,D,0,0,A,10,0,0,24/09/2011,1,Stoke_Man United_2011
55,1,0,Fulham,West Brom,E0,8,9,5,1,14,0,S Attwell,18,0,D,0,0,D,6,3,0,24/09/2011,0,West Brom_Fulham_2011
56,9,2,Tottenham,Wigan,E0,5,7,4,1,6,2,J Moss,14,1,A,0,0,A,13,1,1,24/09/2011,3,Wigan_Tottenham_2011
57,8,1,Aston Villa,QPR,E0,17,4,9,11,19,0,M Oliver,8,1,D,0,0,D,14,6,1,25/09/2011,1,QPR_Aston Villa_2011
58,4,1,Sunderland,Norwich,E0,11,6,8,7,7,0,C Foy,12,2,H,1,0,H,3,1,0,26/09/2011,2,Norwich_Sunderland_2011
59,10,0,Wigan,Aston Villa,E0,16,9,10,5,6,0,M Clattenburg,14,2,H,1,0,H,12,1,0,01/10/2011,0,Aston Villa_Wigan_2011
60,5,4,Man City,Blackburn,E0,5,12,4,4,14,0,P Dowd,19,0,A,0,0,D,9,1,0,01/10/2011,1,Blackburn_Man City_2011
61,9,2,Liverpool,Everton,E0,12,9,4,5,9,0,M Atkinson,15,0,A,0,0,D,15,1,1,01/10/2011,1,Everton_Liverpool_2011
62,3,0,Norwich,Man United,E0,17,6,9,10,6,0,S Attwell,13,2,H,0,0,D,9,0,0,01/10/2011,1,Man United_Norwich_2011
63,4,2,West Brom,Sunderland,E0,12,3,7,7,13,2,L Mason,7,2,D,2,0,D,9,0,0,01/10/2011,2,Sunderland_West Brom_2011
64,5,2,Newcastle,Wolves,E0,25,6,12,10,10,2,M Halsey,10,1,A,0,0,A,7,2,0,01/10/2011,1,Wolves_Newcastle_2011
65,5,5,Chelsea,Bolton,E0,14,14,10,4,11,4,P Walton,21,1,A,0,0,A,10,2,0,02/10/2011,1,Bolton_Chelsea_2011
66,4,0,QPR,Fulham,E0,19,10,13,4,7,0,A Marriner,17,6,H,3,0,H,10,3,0,02/10/2011,2,Fulham_QPR_2011
67,5,0,Stoke,Swansea,E0,9,6,5,6,18,0,M Jones,11,2,H,1,0,H,14,5,0,02/10/2011,3,Swansea_Stoke_2011
68,7,1,Arsenal,Tottenham,E0,16,7,8,9,8,0,M Dean,13,2,H,1,0,H,11,1,0,02/10/2011,2,Tottenham_Arsenal_2011
69,2,1,Everton,Chelsea,E0,7,5,5,2,11,0,M Jones,9,3,H,2,0,H,13,2,0,15/10/2011,2,Chelsea_Everton_2011
70,3,1,Man United,Liverpool,E0,14,3,8,8,11,0,A Marriner,10,1,D,0,0,D,8,3,0,15/10/2011,1,Liverpool_Man United_2011
71,1,1,Aston Villa,Man City,E0,15,6,10,5,6,0,A Taylor,8,4,H,1,0,H,10,1,0,15/10/2011,1,Man City_Aston Villa_2011
72,4,1,Swansea,Norwich,E0,15,4,8,4,5,1,J Moss,12,3,H,2,0,H,6,1,0,15/10/2011,0,Norwich_Swansea_2011
73,7,1,Blackburn,QPR,E0,12,9,6,5,13,1,M Clattenburg,10,1,D,1,0,D,10,2,0,15/10/2011,3,QPR_Blackburn_2011
74,2,0,Fulham,Stoke,E0,14,1,6,5,15,0,M Atkinson,4,2,H,0,0,D,14,4,0,15/10/2011,4,Stoke_Fulham_2011
75,4,3,Bolton,Wigan,E0,13,11,9,5,14,2,M Dean,14,1,A,1,0,A,16,4,0,15/10/2011,4,Wigan_Bolton_2011
76,2,1,Sunderland,Arsenal,E0,20,4,11,9,19,1,H Webb,8,2,H,1,0,D,9,3,0,16/10/2011,3,Arsenal_Sunderland_2011
77,2,2,Tottenham,Newcastle,E0,12,8,7,5,15,1,L Probert,11,2,D,0,0,A,11,2,0,16/10/2011,1,Newcastle_Tottenham_2011
78,11,0,Wolves,West Brom,E0,17,10,11,2,12,0,C Foy,13,2,H,1,0,H,14,1,0,16/10/2011,0,West Brom_Wolves_2011
79,8,2,West Brom,Aston Villa,E0,3,5,0,3,8,1,P Dowd,8,1,A,1,0,D,11,3,1,22/10/2011,2,Aston Villa_West Brom_2011
80,11,2,Sunderland,Bolton,E0,15,10,8,2,14,0,M Jones,18,0,A,0,0,D,15,3,0,22/10/2011,0,Bolton_Sunderland_2011
81,3,1,Norwich,Liverpool,E0,25,10,15,10,8,0,P Walton,12,1,D,1,0,H,6,1,0,22/10/2011,0,Liverpool_Norwich_2011
82,3,0,Wigan,Newcastle,E0,13,5,10,7,22,0,N Swarbrick,12,1,H,0,0,D,7,2,0,22/10/2011,3,Newcastle_Wigan_2011
83,13,2,Swansea,Wolves,E0,20,14,13,8,11,2,M Oliver,16,2,D,0,0,A,14,0,0,22/10/2011,2,Wolves_Swansea_2011
84,1,1,Stoke,Arsenal,E0,9,2,5,10,13,1,L Mason,5,3,H,1,0,D,9,2,0,23/10/2011,0,Arsenal_Stoke_2011
85,5,2,Tottenham,Blackburn,E0,19,7,8,8,7,1,S Attwell,9,1,A,1,0,D,19,1,0,23/10/2011,4,Blackburn_Tottenham_2011
86,1,3,Everton,Fulham,E0,15,7,8,5,8,1,L Probert,11,1,A,0,0,A,12,1,0,23/10/2011,3,Fulham_Everton_2011
87,4,6,Man City,Man United,E0,12,12,8,7,11,1,M Clattenburg,19,1,A,0,0,A,15,4,1,23/10/2011,4,Man United_Man City_2011
88,6,0,Chelsea,QPR,E0,8,7,3,0,17,0,C Foy,14,1,H,1,2,H,17,7,0,23/10/2011,2,QPR_Chelsea_2011
89,2,5,Arsenal,Chelsea,E0,12,8,10,3,18,1,A Marriner,13,3,A,2,0,H,7,3,0,29/10/2011,2,Chelsea_Arsenal_2011
90,1,1,Man United,Everton,E0,18,6,11,4,8,1,M Halsey,7,0,A,0,0,A,12,0,0,29/10/2011,3,Everton_Man United_2011
91,4,1,Wolves,Man City,E0,18,2,9,5,5,0,S Attwell,9,3,H,0,0,D,17,1,1,29/10/2011,2,Man City_Wolves_2011
92,2,3,Blackburn,Norwich,E0,13,7,6,6,10,1,A Taylor,12,3,D,0,0,A,9,1,0,29/10/2011,2,Norwich_Blackburn_2011
93,6,2,Aston Villa,Sunderland,E0,13,5,8,5,13,1,C Foy,10,2,D,1,0,D,7,3,0,29/10/2011,1,Sunderland_Aston Villa_2011
94,2,1,Bolton,Swansea,E0,20,3,12,10,14,0,M Clattenburg,8,3,H,0,1,D,9,4,0,29/10/2011,3,Swansea_Bolton_2011
95,10,2,Liverpool,West Brom,E0,10,7,6,3,9,2,L Mason,17,0,A,0,0,A,12,0,0,29/10/2011,1,West Brom_Liverpool_2011
96,0,2,Fulham,Wigan,E0,18,5,9,9,14,1,M Jones,7,0,A,0,0,A,17,5,0,29/10/2011,2,Wigan_Fulham_2011
97,8,1,QPR,Tottenham,E0,22,8,13,4,14,0,H Webb,12,3,H,2,0,H,12,0,0,30/10/2011,0,Tottenham_QPR_2011
98,2,3,Newcastle,Stoke,E0,10,2,4,8,14,2,M Dean,6,1,A,0,0,A,8,1,0,31/10/2011,0,Stoke_Newcastle_2011
99,1,0,West Brom,Arsenal,E0,12,4,7,4,12,0,M Oliver,9,3,H,2,0,H,12,0,0,05/11/2011,0,Arsenal_West Brom_2011
100,6,2,Norwich,Aston Villa,E0,12,7,6,6,9,1,K Friend,9,3,H,1,0,D,11,5,0,05/11/2011,1,Aston Villa_Norwich_2011
101,8,1,Chelsea,Blackburn,E0,13,8,8,5,10,0,M Dean,12,0,A,0,0,D,12,2,0,05/11/2011,4,Blackburn_Chelsea_2011
102,4,0,Swansea,Liverpool,E0,18,3,10,11,5,0,P Dowd,9,0,D,0,0,D,13,1,0,05/11/2011,2,Liverpool_Swansea_2011
103,2,0,Sunderland,Man United,E0,15,3,9,6,14,0,L Mason,9,1,H,1,0,H,6,2,0,05/11/2011,0,Man United_Sunderland_2011
104,3,1,Everton,Newcastle,E0,10,6,6,5,15,1,A Marriner,14,2,H,2,0,H,12,3,0,05/11/2011,2,Newcastle_Everton_2011
105,1,3,Man City,QPR,E0,18,8,9,3,14,1,M Atkinson,16,2,A,1,0,D,5,1,0,05/11/2011,1,QPR_Man City_2011
106,4,0,Stoke,Bolton,E0,20,6,16,12,9,0,H Webb,9,5,H,2,0,H,10,1,0,06/11/2011,0,Bolton_Stoke_2011
107,1,3,Tottenham,Fulham,E0,26,8,20,11,9,2,P Walton,8,1,A,0,0,A,5,1,0,06/11/2011,0,Fulham_Tottenham_2011
108,6,1,Wigan,Wolves,E0,13,7,12,5,13,1,L Probert,13,3,H,1,0,D,11,1,0,06/11/2011,2,Wolves_Wigan_2011
109,1,1,Wolves,Everton,E0,13,1,9,9,13,1,J Moss,4,2,H,1,0,D,14,2,0,19/11/2011,1,Everton_Wolves_2011
110,5,1,Newcastle,Man City,E0,12,7,9,4,7,0,C Foy,10,3,H,2,0,H,10,0,0,19/11/2011,0,Man City_Newcastle_2011
111,6,2,Arsenal,Norwich,E0,7,14,4,1,9,1,P Dowd,20,1,A,1,0,D,11,0,0,19/11/2011,3,Norwich_Arsenal_2011
112,5,3,QPR,Stoke,E0,17,8,7,9,10,2,M Jones,9,2,A,1,0,A,17,2,0,19/11/2011,4,Stoke_QPR_2011
113,7,0,Fulham,Sunderland,E0,13,9,8,6,12,0,A Taylor,13,0,D,0,0,D,8,1,0,19/11/2011,1,Sunderland_Fulham_2011
114,2,1,Man United,Swansea,E0,9,7,6,6,9,1,M Dean,13,0,A,0,0,A,6,1,0,19/11/2011,0,Swansea_Man United_2011
