,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,6,2,Wigan,Aston Villa,E0,11,7,5,4,14,1,M Clattenburg,14,0,A,0,0,A,15,2,0,15/08/2009,2,Aston Villa_Wigan_2009
1,4,2,Man City,Blackburn,E0,17,5,9,5,9,1,M Dean,8,0,A,0,0,A,12,1,0,15/08/2009,2,Blackburn_Man City_2009
2,7,1,Sunderland,Bolton,E0,11,13,3,4,10,1,A Marriner,20,0,A,0,0,A,16,1,0,15/08/2009,2,Bolton_Sunderland_2009
3,4,1,Hull,Chelsea,E0,26,3,12,12,15,1,A Wiley,7,2,H,1,0,D,13,2,0,15/08/2009,1,Chelsea_Hull_2009
4,9,6,Arsenal,Everton,E0,8,9,5,4,13,3,M Halsey,15,1,A,0,0,A,11,0,0,15/08/2009,0,Everton_Arsenal_2009
5,4,1,Fulham,Portsmouth,E0,16,3,4,6,18,1,M Atkinson,9,0,A,0,0,A,11,2,0,15/08/2009,3,Portsmouth_Fulham_2009
6,6,0,Burnley,Stoke,E0,12,5,5,3,10,0,S Bennett,9,2,H,2,0,H,15,2,0,15/08/2009,2,Stoke_Burnley_2009
7,6,2,West Ham,Wolves,E0,19,13,11,8,5,1,C Foy,16,0,A,0,0,A,9,0,0,15/08/2009,0,Wolves_West Ham_2009
8,2,0,Birmingham,Man United,E0,26,4,17,13,7,0,L Mason,6,1,H,1,0,H,13,1,0,16/08/2009,1,Man United_Birmingham_2009
9,5,1,Liverpool,Tottenham,E0,17,3,11,6,16,0,P Dowd,6,2,H,1,0,H,14,3,0,16/08/2009,3,Tottenham_Liverpool_2009
10,14,3,Chelsea,Sunderland,E0,4,9,3,1,10,0,S Bennett,20,1,A,1,0,H,14,2,0,18/08/2009,2,Sunderland_Chelsea_2009
11,4,1,Wolves,Wigan,E0,18,3,5,4,21,1,M Jones,9,0,A,0,0,A,8,3,0,18/08/2009,0,Wigan_Wolves_2009
12,5,0,Portsmouth,Birmingham,E0,9,4,5,4,20,0,L Probert,9,1,H,0,0,D,11,5,0,19/08/2009,0,Birmingham_Portsmouth_2009
13,12,0,Man United,Burnley,E0,8,9,2,1,12,0,A Wiley,18,1,H,1,0,H,8,1,0,19/08/2009,2,Burnley_Man United_2009
14,5,5,Tottenham,Hull,E0,9,12,7,6,13,3,C Foy,18,1,A,1,0,A,23,2,0,19/08/2009,3,Hull_Tottenham_2009
15,5,0,Stoke,Liverpool,E0,18,3,13,11,9,0,P Walton,6,4,H,2,0,H,10,1,0,19/08/2009,0,Liverpool_Stoke_2009
16,4,1,Portsmouth,Arsenal,E0,19,4,16,8,10,1,S Bennett,9,4,H,2,0,H,9,0,0,22/08/2009,1,Arsenal_Portsmouth_2009
17,3,0,Stoke,Birmingham,E0,8,3,6,3,13,0,C Foy,13,0,D,0,0,D,8,3,0,22/08/2009,0,Birmingham_Stoke_2009
18,12,0,Bolton,Hull,E0,12,10,5,4,19,0,M Jones,20,1,H,0,0,D,19,2,0,22/08/2009,3,Hull_Bolton_2009
19,6,0,Wolves,Man City,E0,16,2,11,5,11,0,L Mason,10,1,H,1,0,H,7,1,0,22/08/2009,0,Man City_Wolves_2009
20,10,1,Blackburn,Sunderland,E0,8,5,5,0,14,1,A Wiley,18,2,H,1,0,D,12,1,0,22/08/2009,2,Sunderland_Blackburn_2009
