,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,3,1,Crystal Palace,Arsenal,E0,14,2,6,9,19,1,J Moss,4,2,H,1,1,D,13,2,0,16/08/2014,2,Arsenal_Crystal Palace_2014
1,6,2,Everton,Leicester,E0,11,3,3,3,10,2,M Jones,13,2,D,1,0,A,16,1,0,16/08/2014,1,Leicester_Everton_2014
2,0,2,Swansea,Man United,E0,14,4,5,4,20,1,M Dean,5,1,A,0,0,A,14,4,0,16/08/2014,2,Man United_Swansea_2014
3,9,1,Hull,QPR,E0,19,4,6,8,10,0,C Pawson,11,0,A,0,0,D,10,2,0,16/08/2014,1,QPR_Hull_2014
4,8,1,Aston Villa,Stoke,E0,12,2,2,2,9,0,A Taylor,7,0,A,0,0,D,14,3,0,16/08/2014,0,Stoke_Aston Villa_2014
5,3,2,Sunderland,West Brom,E0,10,2,5,6,9,1,N Swarbrick,7,2,D,1,0,D,18,1,0,16/08/2014,3,West Brom_Sunderland_2014
6,5,1,Tottenham,West Ham,E0,18,4,4,8,10,0,C Foy,10,0,A,0,1,D,12,0,1,16/08/2014,1,West Ham_Tottenham_2014
7,6,1,Southampton,Liverpool,E0,12,6,5,2,11,0,M Clattenburg,12,2,H,1,0,H,8,2,0,17/08/2014,1,Liverpool_Southampton_2014
8,3,2,Man City,Newcastle,E0,12,5,0,3,11,1,M Atkinson,13,0,A,0,0,A,8,5,0,17/08/2014,1,Newcastle_Man City_2014
9,3,3,Chelsea,Burnley,E0,9,3,2,4,7,3,M Oliver,11,1,A,1,0,A,6,1,0,18/08/2014,1,Burnley_Chelsea_2014
10,7,0,Newcastle,Aston Villa,E0,9,4,0,7,8,0,M Dean,11,0,D,0,1,D,11,0,0,23/08/2014,4,Aston Villa_Newcastle_2014
11,7,0,Leicester,Chelsea,E0,27,4,10,8,11,0,L Mason,6,2,H,0,0,D,11,1,0,23/08/2014,0,Chelsea_Leicester_2014
12,9,3,West Ham,Crystal Palace,E0,9,8,4,6,11,2,M Clattenburg,17,1,A,0,0,A,14,3,0,23/08/2014,1,Crystal Palace_West Ham_2014
13,3,2,Arsenal,Everton,E0,8,3,2,3,18,0,K Friend,13,2,D,2,0,H,10,4,0,23/08/2014,1,Everton_Arsenal_2014
14,5,0,West Brom,Southampton,E0,8,2,2,1,15,0,R East,8,0,D,0,0,D,14,2,0,23/08/2014,1,Southampton_West Brom_2014
15,3,0,Burnley,Swansea,E0,10,1,5,2,13,0,C Pawson,12,1,H,1,0,H,14,1,0,23/08/2014,2,Swansea_Burnley_2014
16,5,1,Stoke,Hull,E0,9,3,2,4,10,0,J Moss,19,1,D,1,0,H,10,3,1,24/08/2014,1,Hull_Stoke_2014
17,4,1,Man United,Sunderland,E0,11,3,3,4,15,1,M Atkinson,10,1,D,1,0,D,10,2,0,24/08/2014,0,Sunderland_Man United_2014
18,6,0,QPR,Tottenham,E0,18,1,5,7,6,0,A Taylor,9,4,H,3,0,H,12,1,0,24/08/2014,0,Tottenham_QPR_2014
