,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,5,0,West Brom,Arsenal,E0,24,4,14,7,8,0,H Webb,5,1,H,1,0,H,11,0,0,16/08/2008,0,Arsenal_West Brom_2008
1,3,1,Stoke,Bolton,E0,14,2,8,4,12,0,C Foy,8,3,H,3,0,H,13,2,0,16/08/2008,1,Bolton_Stoke_2008
2,5,3,Blackburn,Everton,E0,10,11,5,3,9,1,A Marriner,15,2,A,1,0,D,11,2,0,16/08/2008,2,Everton_Blackburn_2008
3,6,1,Fulham,Hull,E0,11,6,6,5,9,1,P Walton,12,2,H,1,0,D,10,0,0,16/08/2008,3,Hull_Fulham_2008
4,9,1,Tottenham,Middlesbrough,E0,14,5,10,7,12,0,M Atkinson,8,2,H,0,0,D,11,2,0,16/08/2008,1,Middlesbrough_Tottenham_2008
5,8,1,Liverpool,Sunderland,E0,6,8,3,1,12,0,A Wiley,14,0,A,0,0,D,13,2,0,16/08/2008,0,Sunderland_Liverpool_2008
6,10,1,Wigan,West Ham,E0,15,9,8,6,11,0,S Bennett,22,2,H,2,0,H,14,1,0,16/08/2008,2,West Ham_Wigan_2008
7,8,2,Man City,Aston Villa,E0,14,8,10,7,11,0,P Dowd,13,4,H,0,0,D,8,1,0,17/08/2008,0,Aston Villa_Man City_2008
8,3,0,Portsmouth,Chelsea,E0,18,8,11,8,6,0,M Dean,12,4,H,3,0,H,10,1,0,17/08/2008,0,Chelsea_Portsmouth_2008
9,6,1,Newcastle,Man United,E0,18,4,12,6,11,1,M Riley,11,1,D,1,0,D,15,0,0,17/08/2008,3,Man United_Newcastle_2008
10,3,1,Hull,Blackburn,E0,12,4,5,6,15,1,S Attwell,7,1,D,1,0,D,11,1,0,23/08/2008,0,Blackburn_Hull_2008
11,5,0,Arsenal,Fulham,E0,5,6,2,1,6,0,M Atkinson,15,1,H,1,0,H,14,0,0,23/08/2008,2,Fulham_Arsenal_2008
12,3,1,Middlesbrough,Liverpool,E0,16,4,8,14,12,0,M Riley,9,2,H,0,0,D,10,1,0,23/08/2008,2,Liverpool_Middlesbrough_2008
13,6,0,Bolton,Newcastle,E0,10,4,8,4,13,0,S Bennett,9,1,H,0,0,D,8,2,0,23/08/2008,1,Newcastle_Bolton_2008
14,8,2,Aston Villa,Stoke,E0,8,2,2,2,5,0,M Halsey,5,3,H,1,0,H,15,0,0,23/08/2008,1,Stoke_Aston Villa_2008
15,6,2,Sunderland,Tottenham,E0,18,7,11,12,12,0,M Dean,12,1,A,0,0,D,12,2,0,23/08/2008,1,Tottenham_Sunderland_2008
16,5,2,Everton,West Brom,E0,14,7,4,11,14,0,R Styles,9,1,A,0,0,D,11,1,0,23/08/2008,3,West Brom_Everton_2008
17,3,0,West Ham,Man City,E0,14,0,9,6,16,0,H Webb,3,3,H,0,1,D,12,2,0,24/08/2008,0,Man City_West Ham_2008
18,7,1,Chelsea,Wigan,E0,10,3,6,7,17,1,A Wiley,7,0,A,0,0,A,13,2,0,24/08/2008,1,Wigan_Chelsea_2008
19,3,1,Man United,Portsmouth,E0,13,7,6,4,11,1,C Foy,12,0,A,0,0,A,11,2,0,25/08/2008,2,Portsmouth_Man United_2008
20,1,0,Newcastle,Arsenal,E0,20,2,14,12,11,0,R Styles,4,3,H,2,0,H,12,2,0,30/08/2008,2,Arsenal_Newcastle_2008
21,5,0,West Brom,Bolton,E0,18,7,9,7,16,0,K Stroud,12,0,D,0,0,D,18,2,0,30/08/2008,2,Bolton_West Brom_2008
22,3,3,Portsmouth,Everton,E0,16,5,7,4,11,2,M Halsey,6,0,A,0,0,A,5,0,0,30/08/2008,1,Everton_Portsmouth_2008
23,3,5,Wigan,Hull,E0,10,5,5,7,12,2,M Jones,8,0,A,0,0,A,18,0,0,30/08/2008,1,Hull_Wigan_2008
24,5,1,Stoke,Middlesbrough,E0,21,2,12,4,18,0,M Dean,7,2,H,1,1,H,14,4,0,30/08/2008,2,Middlesbrough_Stoke_2008
25,4,1,Blackburn,West Ham,E0,11,7,6,10,21,1,M Riley,12,4,H,2,0,H,14,5,0,30/08/2008,1,West Ham_Blackburn_2008
26,8,0,Liverpool,Aston Villa,E0,5,3,2,5,13,0,M Atkinson,8,0,D,0,0,D,9,2,0,31/08/2008,0,Aston Villa_Liverpool_2008
27,8,1,Tottenham,Chelsea,E0,12,6,3,5,13,1,H Webb,6,1,D,1,0,D,10,0,0,31/08/2008,3,Chelsea_Tottenham_2008
28,3,3,Man City,Sunderland,E0,10,8,4,3,11,1,C Foy,9,0,A,0,0,A,20,2,0,31/08/2008,4,Sunderland_Man City_2008
29,5,4,Arsenal,Blackburn,E0,10,10,3,5,8,2,M Dean,17,0,A,0,0,A,8,1,0,13/09/2008,1,Blackburn_Arsenal_2008
30,6,1,Bolton,Fulham,E0,20,7,13,12,11,0,S Tanner,8,2,H,2,0,H,15,1,0,13/09/2008,1,Fulham_Bolton_2008
31,4,1,Man United,Liverpool,E0,16,3,11,5,18,1,H Webb,7,2,H,1,1,D,10,3,0,13/09/2008,0,Liverpool_Man United_2008
32,5,3,Chelsea,Man City,E0,13,8,7,8,10,1,M Halsey,18,1,A,1,1,D,14,1,0,13/09/2008,0,Man City_Chelsea_2008
33,3,2,Hull,Newcastle,E0,13,4,4,5,17,1,A Marriner,8,1,A,0,0,A,13,2,1,13/09/2008,0,Newcastle_Hull_2008
34,2,1,Middlesbrough,Portsmouth,E0,21,3,12,3,6,1,S Attwell,7,2,H,0,0,A,8,1,0,13/09/2008,2,Portsmouth_Middlesbrough_2008
35,8,2,West Ham,West Brom,E0,13,13,8,8,18,2,L Probert,21,3,H,2,0,D,9,1,0,13/09/2008,1,West Brom_West Ham_2008
36,6,1,Sunderland,Wigan,E0,12,5,8,8,9,1,R Styles,6,1,D,0,0,A,10,1,1,13/09/2008,1,Wigan_Sunderland_2008
37,8,3,Everton,Stoke,E0,12,5,7,7,19,1,A Wiley,8,2,A,0,0,A,10,1,0,14/09/2008,2,Stoke_Everton_2008
38,8,2,Aston Villa,Tottenham,E0,17,13,10,12,12,1,S Bennett,17,1,A,0,0,A,15,4,0,15/09/2008,1,Tottenham_Aston Villa_2008
39,3,0,Fulham,Blackburn,E0,11,5,4,4,11,0,L Probert,11,1,H,0,0,D,13,0,0,20/09/2008,2,Blackburn_Fulham_2008
40,17,3,Arsenal,Bolton,E0,12,9,8,7,10,2,S Bennett,20,1,A,1,0,A,12,2,0,20/09/2008,2,Bolton_Arsenal_2008
41,3,0,Stoke,Liverpool,E0,27,2,11,20,10,0,A Marriner,3,0,D,0,0,D,8,1,0,20/09/2008,1,Liverpool_Stoke_2008
42,7,0,Middlesbrough,Sunderland,E0,17,11,11,8,16,0,H Webb,14,2,H,0,0,D,9,3,0,20/09/2008,2,Sunderland_Middlesbrough_2008
43,6,1,Newcastle,West Ham,E0,12,8,6,2,21,0,P Dowd,11,3,H,2,0,H,8,2,0,20/09/2008,1,West Ham_Newcastle_2008
44,4,1,Man United,Chelsea,E0,20,8,13,7,18,1,M Riley,13,1,D,0,0,A,15,7,0,21/09/2008,1,Chelsea_Man United_2008
45,6,2,Everton,Hull,E0,9,8,5,4,12,0,L Mason,17,2,D,1,0,H,11,1,0,21/09/2008,0,Hull_Everton_2008
46,5,0,Portsmouth,Man City,E0,14,4,10,8,14,0,A Wiley,10,6,H,2,0,H,13,1,0,21/09/2008,0,Man City_Portsmouth_2008
47,4,0,Wigan,Tottenham,E0,11,6,4,3,12,0,S Tanner,14,0,D,0,0,D,13,2,0,21/09/2008,2,Tottenham_Wigan_2008
48,6,2,Aston Villa,West Brom,E0,10,5,6,5,16,2,M Dean,10,1,A,1,0,A,22,3,0,21/09/2008,3,West Brom_Aston Villa_2008
49,4,2,Hull,Arsenal,E0,18,5,9,15,7,0,A Wiley,7,1,A,0,0,D,8,1,0,27/09/2008,2,Arsenal_Hull_2008
50,5,1,Sunderland,Aston Villa,E0,12,3,8,5,9,1,P Walton,9,2,H,2,0,H,8,1,0,27/09/2008,1,Aston Villa_Sunderland_2008
51,4,2,Liverpool,Everton,E0,4,6,2,7,20,0,M Riley,11,0,A,0,0,D,17,3,1,27/09/2008,3,Everton_Liverpool_2008
52,4,2,West Ham,Fulham,E0,18,10,6,2,13,2,A Marriner,16,1,A,0,0,A,15,1,1,27/09/2008,4,Fulham_West Ham_2008
53,4,0,Bolton,Man United,E0,31,5,24,16,10,0,R Styles,10,2,H,0,0,D,8,3,0,27/09/2008,0,Man United_Bolton_2008
