,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,BWD,GBH,WHA,GBAHA,WHH,BWH,B365H,GBA,SBD,LBAHH,WHD,LBAH,B365AH,LBD,BWA,B365D,SBH,GBD,IWH,B365>2.5,GBAHH,HomeTeam,AwayTeam,idGame
336,2.2,-0.25,3.0,2.9,3.0,2.05,1.65,1.875,2.8,1.86,2.025,3.0,1.65,3.1,2.3,2.62,1.8,2.3,2.3,2.3,3.0,3.3,1.98,3.2,-0.25,-0.25,3.2,2.9,3.25,2.25,3.2,2.2,2.2,2.0,Blackburn,Man City,Blackburn_Man City_2004
337,1.25,-1.25,11.0,8.0,10.0,1.85,1.85,1.95,10.0,1.74,1.95,4.2,1.8,5.5,1.28,9.5,1.85,1.22,1.2,1.28,11.0,5.25,2.1,5.0,-1.5,-1.25,4.5,12.0,5.0,1.25,4.75,1.3,2.0,1.95,Chelsea,Fulham,Chelsea_Fulham_2004
338,3.4,0.5,1.91,2.0,1.9,2.0,1.71,1.925,1.91,1.94,1.975,3.1,1.7,3.2,3.6,1.8,1.95,3.5,4.0,3.75,1.95,3.4,1.9,3.5,0.5,0.5,3.25,1.85,3.5,3.75,3.4,3.2,2.1,1.75,Crystal Palace,Liverpool,Crystal Palace_Liverpool_2004
339,1.62,-0.75,5.5,4.6,5.5,2.05,1.65,1.975,5.0,1.92,1.925,3.4,1.65,3.35,1.7,5.0,1.9,1.61,1.7,1.66,5.0,3.6,1.92,3.3,-0.75,-0.75,3.25,4.75,3.4,1.62,3.4,1.6,2.2,1.9,Everton,Birmingham,Everton_Birmingham_2004
340,2.0,-0.5,4.0,3.5,4.0,1.95,1.75,1.8,3.2,1.82,2.1,3.1,1.75,3.2,1.95,3.6,1.75,1.8,1.8,1.9,3.8,3.4,2.02,3.4,-0.5,-0.5,3.2,4.3,3.3,1.85,3.25,1.9,2.05,1.95,Middlesbrough,West Brom,Middlesbrough_West Brom_2004
341,2.2,-0.25,3.0,2.8,3.0,1.85,1.85,2.05,2.75,2.02,1.85,3.1,1.85,3.2,2.2,2.87,1.95,2.05,2.2,2.25,3.1,3.4,1.82,3.5,-0.25,-0.25,3.25,3.0,3.4,2.2,3.3,2.2,1.95,1.85,Norwich,Charlton,Norwich_Charlton_2004
342,1.29,-1.25,8.5,7.5,8.5,1.79,1.9,1.975,8.0,1.96,1.925,4.0,1.95,4.0,1.35,7.5,1.9,1.3,1.35,1.36,8.5,4.33,1.88,4.5,-1.25,-1.25,4.5,9.0,4.5,1.36,4.4,1.33,1.85,1.9,Man United,Newcastle,Man United_Newcastle_2004
343,2.2,-0.25,3.1,3.0,3.1,1.85,1.85,1.875,2.75,1.9,2.025,3.1,1.7,3.25,2.2,3.0,1.9,2.05,2.0,2.25,3.2,3.25,1.94,3.3,-0.25,-0.25,3.25,3.4,3.25,2.2,3.2,2.1,2.1,1.9,Portsmouth,Southampton,Portsmouth_Southampton_2004
344,1.5,-1.0,7.0,5.4,7.0,1.79,1.9,,6.0,,,3.8,2.0,3.75,1.47,6.5,2.0,1.44,1.45,1.5,7.25,3.75,,3.6,,,3.4,7.0,3.75,1.5,3.75,1.45,1.8,1.8,Arsenal,Tottenham,Arsenal_Tottenham_2004
345,2.0,-0.25,3.4,3.5,3.5,2.15,1.6,1.85,3.2,1.78,2.05,3.1,1.53,3.15,2.1,3.2,2.0,1.9,2.0,2.1,3.4,3.25,2.06,3.5,-0.5,-0.5,3.2,3.5,3.25,2.1,3.25,1.9,2.4,1.8,West Brom,Blackburn,West Brom_Blackburn_2004
