,LBH,GBAH,SBA,IWA,B365A,GB>2.5,GB<2.5,B365AHA,LBA,LBAHA,B365AHH,IWD,B365<2.5,GBH,SOH,WHA,GBAHA,SOA,WHH,GBA,B365H,SBD,LBAHH,WHD,LBAH,B365AH,LBD,SBH,B365D,GBD,IWH,B365>2.5,SOD,GBAHH,HomeTeam,AwayTeam,idGame
252,1.25,-1.25,10.0,9.0,13.0,1.5,2.35,2.125,10.0,1.9,1.775,4.5,2.15,1.25,1.2,11.0,2.6,10.0,1.2,11.0,1.222,5.5,1.95,5.0,-1.75,-1.5,4.5,1.2,5.5,5.25,1.25,1.66,5.5,1.45,Man United,Leeds,Man United_Leeds_2003
253,1.615,-1.0,4.33,4.2,5.0,1.79,1.9,1.775,5.0,1.8,2.125,3.2,1.85,1.8,1.62,4.33,1.65,5.0,1.72,4.5,1.7269999999999999,3.25,2.05,3.2,-0.75,-0.75,3.25,1.72,3.4,3.25,1.7,1.95,3.4,2.15,Newcastle,Middlesbrough,Newcastle_Middlesbrough_2003
254,1.8330000000000002,-0.25,3.25,3.6,3.75,1.95,1.75,2.075,3.75,2.0,1.825,3.1,1.7,2.0,2.0,3.75,2.05,3.25,1.83,3.65,2.0,3.25,1.85,3.2,-0.25,-0.25,3.2,2.0,3.2,3.25,1.85,2.1,3.25,1.8,Southampton,Everton,Southampton_Everton_2003
255,2.375,-0.25,2.62,2.6,2.625,1.9,1.79,2.0,2.6,2.05,1.9,3.0,1.9,2.5,2.5,2.62,1.6,2.5,2.37,2.7,2.6,3.2,1.8,3.1,0.0,0.0,3.2,2.37,3.2,3.2,2.4,1.9,3.2,2.2,Wolves,Fulham,Wolves_Fulham_2003
256,2.0,-0.25,3.3,3.2,3.6,2.0,1.71,2.0,3.6,1.8,1.9,3.1,1.66,2.05,2.1,3.4,2.05,3.4,2.0,3.5,2.1,3.2,2.05,3.0,-0.5,-0.25,2.875,2.0,3.1,3.25,2.0,2.15,3.25,1.7,Aston Villa,Birmingham,Aston Villa_Birmingham_2003
257,1.5,-1.25,5.5,4.4,6.5,1.65,2.05,2.1,6.0,1.8,1.8,3.3,2.0,1.6,1.57,5.5,1.55,5.5,1.57,5.6,1.571,3.4,2.05,3.3,-1.0,-0.75,3.4,1.57,3.5,3.6,1.65,1.8,3.75,2.3,Tottenham,Leicester,Tottenham_Leicester_2003
258,1.222,-1.5,9.0,7.0,10.0,1.65,2.05,1.85,10.0,1.85,2.05,4.0,2.05,1.25,1.22,11.0,1.8,10.0,1.2,12.0,1.286,5.0,2.0,5.0,-1.5,-1.5,5.0,1.25,5.0,5.0,1.35,1.75,5.0,2.05,Arsenal,Charlton,Arsenal_Charlton_2003
259,2.1,-0.25,3.1,3.5,3.4,1.9,1.79,2.1,3.0,2.05,1.8,3.1,1.9,2.1,2.1,3.0,2.05,3.0,2.1,3.3,2.1,3.2,1.8,3.2,-0.25,-0.25,3.2,2.1,3.25,3.25,1.9,1.9,3.25,1.8,Blackburn,Southampton,Blackburn_Southampton_2003
260,2.2,-0.25,2.8,2.7,2.875,1.79,1.9,1.9,2.8,1.95,2.0,3.0,1.75,2.3,2.38,2.75,1.9,2.62,2.25,2.95,2.375,3.2,1.9,3.2,-0.25,-0.25,3.2,2.25,3.25,3.25,2.3,2.05,3.2,1.95,Everton,Aston Villa,Everton_Aston Villa_2003
261,4.5,1.0,1.61,1.75,1.6669999999999998,1.71,2.0,1.875,1.6669999999999998,2.1,2.025,3.2,1.95,5.1,4.5,1.57,2.05,1.67,5.0,1.67,5.0,3.4,1.75,3.5,1.0,0.75,3.25,5.0,3.6,3.5,4.0,1.85,3.4,1.8,Fulham,Man United,Fulham_Man United_2003
