,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,0,0,Sunderland,Arsenal,E0,14,2,4,7,8,0,C Foy,3,0,D,0,0,D,12,0,0,18/08/2012,0,Arsenal_Sunderland_2012
1,3,0,Norwich,Fulham,E0,11,2,9,6,11,0,M Oliver,4,5,H,2,0,H,12,0,0,18/08/2012,0,Fulham_Norwich_2012
2,5,1,Tottenham,Newcastle,E0,6,6,4,3,8,0,M Atkinson,12,2,H,0,0,D,12,2,0,18/08/2012,2,Newcastle_Tottenham_2012
3,3,5,Swansea,QPR,E0,20,8,11,5,14,1,L Probert,12,0,A,0,0,A,11,2,0,18/08/2012,2,QPR_Swansea_2012
4,3,1,Stoke,Reading,E0,9,3,3,4,14,1,K Friend,6,1,D,0,1,A,9,4,0,18/08/2012,2,Reading_Stoke_2012
5,3,0,Liverpool,West Brom,E0,15,7,10,7,11,0,P Dowd,14,3,H,1,1,H,10,4,0,18/08/2012,1,West Brom_Liverpool_2012
6,4,0,Aston Villa,West Ham,E0,8,6,4,6,8,0,M Dean,10,1,H,1,0,H,17,1,0,18/08/2012,0,West Ham_Aston Villa_2012
7,3,2,Southampton,Man City,E0,20,6,15,7,6,0,H Webb,9,3,H,1,0,H,4,2,0,19/08/2012,1,Man City_Southampton_2012
8,1,2,Chelsea,Wigan,E0,12,3,4,7,11,2,M Jones,5,0,A,0,0,A,16,2,0,19/08/2012,2,Wigan_Chelsea_2012
9,8,0,Man United,Everton,E0,16,7,7,6,11,0,A Marriner,12,1,H,0,0,D,12,2,0,20/08/2012,1,Everton_Man United_2012
10,5,2,Reading,Chelsea,E0,23,5,11,1,14,2,L Mason,7,4,H,1,0,A,11,2,0,22/08/2012,0,Chelsea_Reading_2012
11,9,3,Everton,Aston Villa,E0,7,11,3,1,7,3,M Oliver,19,1,A,0,0,A,10,0,1,25/08/2012,1,Aston Villa_Everton_2012
12,3,0,Newcastle,Chelsea,E0,11,5,6,2,10,0,P Dowd,11,2,H,2,0,H,8,0,0,25/08/2012,1,Chelsea_Newcastle_2012
13,8,2,Fulham,Man United,E0,20,11,11,8,7,1,K Friend,14,3,H,3,0,H,12,1,0,25/08/2012,0,Man United_Fulham_2012
