,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,7,0,West Ham,Aston Villa,E0,23,2,11,16,15,0,M Dean,12,3,H,2,0,H,15,2,0,14/08/2010,1,Aston Villa_West Ham_2010
1,3,0,Everton,Blackburn,E0,7,12,2,1,14,0,P Dowd,17,1,H,1,0,H,19,1,0,14/08/2010,2,Blackburn_Everton_2010
2,8,0,Fulham,Bolton,E0,13,7,9,4,13,0,S Attwell,12,0,D,0,0,D,12,3,0,14/08/2010,1,Bolton_Fulham_2010
3,1,0,West Brom,Chelsea,E0,18,4,13,3,10,0,M Clattenburg,10,6,H,2,0,H,10,0,0,14/08/2010,1,Chelsea_West Brom_2010
4,6,2,Birmingham,Sunderland,E0,6,7,2,3,10,0,A Taylor,13,2,D,1,0,H,13,3,1,14/08/2010,3,Sunderland_Birmingham_2010
5,3,0,Man City,Tottenham,E0,22,7,18,10,16,0,A Marriner,11,0,D,0,0,D,13,2,0,14/08/2010,0,Tottenham_Man City_2010
6,4,4,Blackpool,Wigan,E0,11,7,6,6,11,3,M Halsey,9,0,A,0,0,A,8,1,0,14/08/2010,1,Wigan_Blackpool_2010
7,5,1,Stoke,Wolves,E0,13,6,7,5,13,0,L Probert,10,2,H,2,0,H,17,2,0,14/08/2010,0,Wolves_Stoke_2010
8,11,1,Arsenal,Liverpool,E0,7,7,4,9,15,0,M Atkinson,14,1,D,0,1,D,13,3,1,15/08/2010,1,Liverpool_Arsenal_2010
9,3,0,Newcastle,Man United,E0,18,3,10,5,5,0,C Foy,7,3,H,2,0,H,9,2,0,16/08/2010,2,Man United_Newcastle_2010
10,2,0,Blackpool,Arsenal,E0,26,1,16,8,3,0,M Jones,3,6,H,3,1,H,9,0,0,21/08/2010,0,Arsenal_Blackpool_2010
11,12,1,Blackburn,Birmingham,E0,10,2,7,4,14,0,M Oliver,7,2,H,0,0,D,13,3,0,21/08/2010,2,Birmingham_Blackburn_2010
12,3,1,Wolves,Everton,E0,14,4,6,3,15,0,L Mason,9,1,D,1,0,H,18,2,0,21/08/2010,1,Everton_Wolves_2010
13,2,2,Tottenham,Stoke,E0,15,6,10,6,4,2,C Foy,7,1,A,1,0,A,15,1,0,21/08/2010,3,Stoke_Tottenham_2010
14,6,0,Sunderland,West Brom,E0,11,4,5,4,12,0,K Friend,10,1,H,0,0,D,16,2,0,21/08/2010,2,West Brom_Sunderland_2010
15,5,3,Bolton,West Ham,E0,17,8,10,8,18,0,A Marriner,12,1,A,0,0,D,11,4,0,21/08/2010,2,West Ham_Bolton_2010
16,0,6,Chelsea,Wigan,E0,17,8,12,0,7,1,M Dean,10,0,A,0,0,A,12,2,0,21/08/2010,1,Wigan_Chelsea_2010
17,11,2,Man United,Fulham,E0,16,7,8,5,6,1,P Walton,14,2,D,0,0,A,7,2,0,22/08/2010,2,Fulham_Man United_2010
18,2,0,Aston Villa,Newcastle,E0,20,1,14,10,12,0,M Atkinson,3,6,H,3,0,H,15,1,0,22/08/2010,3,Newcastle_Aston Villa_2010
19,4,0,Liverpool,Man City,E0,8,7,3,5,12,0,P Dowd,13,3,H,1,0,H,13,1,0,23/08/2010,1,Man City_Liverpool_2010
20,8,2,Arsenal,Blackburn,E0,15,9,7,4,7,1,C Foy,14,1,A,1,0,D,9,0,0,28/08/2010,1,Blackburn_Arsenal_2010
21,5,2,Fulham,Blackpool,E0,14,7,5,4,16,1,M Oliver,12,2,D,0,0,A,13,0,0,28/08/2010,1,Blackpool_Fulham_2010
22,1,0,Stoke,Chelsea,E0,15,3,6,6,10,0,M Atkinson,9,2,H,1,0,H,5,2,0,28/08/2010,0,Chelsea_Stoke_2010
23,3,0,West Ham,Man United,E0,18,2,11,9,11,0,M Clattenburg,7,3,H,1,0,H,6,2,0,28/08/2010,1,Man United_West Ham_2010
24,7,1,Wigan,Tottenham,E0,12,5,7,16,11,0,P Dowd,13,0,A,0,0,D,10,2,0,28/08/2010,3,Tottenham_Wigan_2010
25,3,1,Newcastle,Wolves,E0,5,6,2,5,17,0,S Attwell,11,1,D,1,0,H,20,4,0,28/08/2010,7,Wolves_Newcastle_2010
26,16,0,Everton,Aston Villa,E0,12,9,6,4,10,0,M Jones,15,1,H,1,0,H,19,0,0,29/08/2010,4,Aston Villa_Everton_2010
27,1,2,Birmingham,Bolton,E0,11,5,8,6,17,1,K Friend,9,2,D,0,0,A,19,3,1,29/08/2010,2,Bolton_Birmingham_2010
28,6,0,West Brom,Liverpool,E0,11,5,7,7,8,0,L Probert,14,1,H,0,1,D,9,0,0,29/08/2010,0,Liverpool_West Brom_2010
29,7,0,Man City,Sunderland,E0,12,7,4,3,9,0,M Dean,9,1,H,0,0,D,5,3,0,29/08/2010,0,Sunderland_Man City_2010
30,6,1,Bolton,Arsenal,E0,23,6,14,9,11,1,S Attwell,7,4,H,1,1,D,11,2,0,11/09/2010,2,Arsenal_Bolton_2010
31,5,3,Man United,Everton,E0,23,8,14,7,18,1,M Atkinson,13,3,D,1,0,D,11,1,0,11/09/2010,1,Everton_Man United_2010
32,6,1,Wolves,Fulham,E0,13,2,6,6,17,1,P Dowd,4,2,H,0,1,A,9,6,0,11/09/2010,3,Fulham_Wolves_2010
33,2,1,Blackburn,Man City,E0,20,2,14,14,10,1,M Clattenburg,4,1,D,0,0,A,12,1,0,11/09/2010,2,Man City_Blackburn_2010
34,2,2,Blackpool,Newcastle,E0,16,4,13,3,14,1,L Mason,7,0,A,0,0,A,15,3,0,11/09/2010,2,Newcastle_Blackpool_2010
35,4,1,Tottenham,West Brom,E0,15,9,8,9,9,1,H Webb,16,1,D,1,0,D,12,1,0,11/09/2010,2,West Brom_Tottenham_2010
36,5,3,Chelsea,West Ham,E0,13,9,7,1,10,2,C Foy,17,1,A,0,0,A,13,2,0,11/09/2010,2,West Ham_Chelsea_2010
37,1,1,Sunderland,Wigan,E0,17,2,4,5,11,0,A Marriner,4,1,D,0,1,D,19,2,0,11/09/2010,4,Wigan_Sunderland_2010
38,3,0,Liverpool,Birmingham,E0,15,8,3,4,9,0,M Halsey,14,0,D,0,0,D,8,0,0,12/09/2010,1,Birmingham_Liverpool_2010
39,7,1,Aston Villa,Stoke,E0,20,6,12,8,14,1,L Probert,10,2,H,0,0,A,11,2,0,13/09/2010,1,Stoke_Aston Villa_2010
40,4,1,Bolton,Aston Villa,E0,13,7,6,8,8,1,M Dean,13,1,D,1,0,D,15,2,0,18/09/2010,1,Aston Villa_Bolton_2010
41,3,1,Fulham,Blackburn,E0,9,4,5,3,10,0,A Taylor,9,1,D,1,0,H,15,1,0,18/09/2010,0,Blackburn_Fulham_2010
42,6,1,Newcastle,Everton,E0,6,4,3,3,21,1,A Marriner,9,0,A,0,0,A,15,3,0,18/09/2010,2,Everton_Newcastle_2010
43,3,1,West Ham,Stoke,E0,9,6,3,6,8,1,L Mason,13,1,D,0,0,A,14,2,0,18/09/2010,3,Stoke_West Ham_2010
44,3,1,Arsenal,Sunderland,E0,16,7,5,11,13,1,P Dowd,16,1,D,0,1,A,11,2,0,18/09/2010,2,Sunderland_Arsenal_2010
45,4,1,Wolves,Tottenham,E0,20,2,11,5,11,1,M Jones,5,3,H,0,0,A,7,3,0,18/09/2010,3,Tottenham_Wolves_2010
46,0,1,Birmingham,West Brom,E0,16,3,10,5,8,1,C Foy,6,3,H,0,0,A,11,1,0,18/09/2010,1,West Brom_Birmingham_2010
47,6,0,Blackpool,Chelsea,E0,27,4,15,9,4,0,M Clattenburg,11,4,H,4,0,H,7,2,0,19/09/2010,1,Chelsea_Blackpool_2010
48,1,2,Liverpool,Man United,E0,16,1,7,6,10,0,H Webb,7,3,H,1,0,H,15,1,0,19/09/2010,4,Man United_Liverpool_2010
49,1,2,Man City,Wigan,E0,9,5,3,3,14,1,L Probert,11,0,A,0,0,A,10,2,0,19/09/2010,1,Wigan_Man City_2010
50,4,3,West Brom,Arsenal,E0,24,5,12,16,14,0,M Oliver,7,2,A,0,0,D,15,3,0,25/09/2010,4,Arsenal_West Brom_2010
51,7,0,Wigan,Birmingham,E0,10,10,4,3,18,0,M Clattenburg,17,0,D,0,0,D,12,3,1,25/09/2010,2,Birmingham_Wigan_2010
52,8,2,Blackburn,Blackpool,E0,11,8,8,8,11,1,M Dean,13,1,A,0,0,A,12,1,0,25/09/2010,2,Blackpool_Blackburn_2010
53,5,0,Everton,Fulham,E0,12,7,2,4,13,0,H Webb,15,0,D,0,0,D,15,1,0,25/09/2010,2,Fulham_Everton_2010
54,3,2,Sunderland,Liverpool,E0,13,1,5,3,7,1,S Attwell,10,2,D,1,0,D,15,1,0,25/09/2010,3,Liverpool_Sunderland_2010
55,4,0,Chelsea,Man City,E0,8,4,6,3,12,0,A Marriner,15,1,H,0,0,D,10,3,0,25/09/2010,2,Man City_Chelsea_2010
