,AC,FTAG,AwayTeam,HomeTeam,Div,HS,AST,HST,HC,AF,HTAG,Referee,AS,FTHG,FTR,HTHG,AR,HTR,HF,AY,HR,Date,HY,idGame
0,2,2,Liverpool,Aston Villa,E0,10,7,6,4,11,1,M Riley,17,1,A,0,0,A,18,2,0,11/08/2007,4,Aston Villa_Liverpool_2007
1,3,3,Newcastle,Bolton,E0,13,5,9,4,16,3,C Foy,7,1,A,0,0,A,15,1,0,11/08/2007,1,Bolton_Newcastle_2007
2,6,2,Portsmouth,Derby,E0,12,6,5,6,17,1,M Dean,12,2,D,1,0,D,14,2,0,11/08/2007,1,Derby_Portsmouth_2007
3,2,1,Wigan,Everton,E0,12,4,8,6,13,0,M Clattenburg,14,2,H,1,0,H,8,0,0,11/08/2007,0,Everton_Wigan_2007
4,3,2,Blackburn,Middlesbrough,E0,10,4,6,13,16,0,A Marriner,4,1,A,1,0,H,16,4,0,11/08/2007,3,Middlesbrough_Blackburn_2007
5,2,0,Tottenham,Sunderland,E0,9,3,4,7,14,0,A Wiley,6,1,H,0,0,D,14,1,0,11/08/2007,1,Sunderland_Tottenham_2007
6,3,2,Man City,West Ham,E0,9,5,2,5,11,1,P Walton,14,0,A,0,0,A,13,4,0,11/08/2007,0,West Ham_Man City_2007
7,4,1,Fulham,Arsenal,E0,19,9,13,14,19,1,P Dowd,12,2,H,0,0,A,6,5,0,12/08/2007,1,Arsenal_Fulham_2007
8,3,2,Birmingham,Chelsea,E0,19,4,11,5,8,2,S Bennett,6,3,H,2,0,D,8,1,0,12/08/2007,2,Chelsea_Birmingham_2007
9,3,0,Reading,Man United,E0,22,2,9,12,16,0,R Styles,3,0,D,0,1,D,8,2,0,12/08/2007,0,Man United_Reading_2007
10,4,3,Everton,Tottenham,E0,14,10,8,9,9,3,M Halsey,16,1,A,1,0,A,16,0,0,14/08/2007,2,Tottenham_Everton_2007
11,7,2,Sunderland,Birmingham,E0,7,3,3,2,10,0,K Stroud,7,2,D,1,0,H,17,1,0,15/08/2007,1,Birmingham_Sunderland_2007
12,8,1,Bolton,Fulham,E0,8,7,6,9,13,1,L Probert,14,2,H,2,0,H,19,1,0,15/08/2007,2,Fulham_Bolton_2007
13,4,0,Derby,Man City,E0,9,3,6,4,13,0,L Mason,5,1,H,1,0,H,12,1,0,15/08/2007,3,Man City_Derby_2007
14,12,1,Man United,Portsmouth,E0,7,12,6,6,5,1,S Bennett,20,1,D,0,1,A,13,1,1,15/08/2007,2,Portsmouth_Man United_2007
15,11,2,Chelsea,Reading,E0,15,7,11,4,16,0,M Dean,15,1,A,1,0,H,15,5,1,15/08/2007,4,Reading_Chelsea_2007
16,3,0,Middlesbrough,Wigan,E0,14,1,5,5,20,0,S Tanner,5,1,H,0,0,D,8,3,0,15/08/2007,1,Wigan_Middlesbrough_2007
17,5,1,West Ham,Birmingham,E0,6,5,3,9,15,0,M Halsey,13,0,A,0,0,D,16,2,0,18/08/2007,4,Birmingham_West Ham_2007
18,7,2,Middlesbrough,Fulham,E0,13,6,6,8,12,0,L Mason,9,1,A,1,0,H,9,3,0,18/08/2007,1,Fulham_Middlesbrough_2007
19,6,0,Aston Villa,Newcastle,E0,6,5,2,8,12,0,H Webb,11,0,D,0,0,D,16,2,0,18/08/2007,0,Newcastle_Aston Villa_2007
20,6,1,Bolton,Portsmouth,E0,11,3,6,10,11,1,S Tanner,8,3,H,2,0,H,13,2,0,18/08/2007,0,Portsmouth_Bolton_2007
21,12,0,Everton,Reading,E0,10,5,5,4,8,0,S Bennett,13,1,H,1,0,H,14,2,0,18/08/2007,2,Reading_Everton_2007
22,3,0,Derby,Tottenham,E0,25,2,14,9,14,0,C Foy,4,4,H,3,0,H,8,4,0,18/08/2007,0,Tottenham_Derby_2007
23,9,0,Sunderland,Wigan,E0,9,6,4,5,17,0,M Riley,9,3,H,1,0,H,8,2,0,18/08/2007,0,Wigan_Sunderland_2007
24,4,1,Arsenal,Blackburn,E0,9,3,4,5,15,1,A Wiley,10,1,D,0,0,A,19,4,1,19/08/2007,4,Blackburn_Arsenal_2007
25,2,1,Chelsea,Liverpool,E0,18,2,8,5,16,0,R Styles,6,1,D,1,0,H,11,5,0,19/08/2007,4,Liverpool_Chelsea_2007
26,11,0,Man United,Man City,E0,6,6,2,0,11,0,M Clattenburg,15,1,H,1,0,H,8,2,0,19/08/2007,2,Man City_Man United_2007
27,2,0,Man City,Arsenal,E0,16,4,10,8,9,0,C Foy,8,1,H,0,0,D,8,1,0,25/08/2007,0,Arsenal_Man City_2007
28,3,1,Fulham,Aston Villa,E0,23,5,4,12,13,1,S Bennett,10,2,H,0,1,A,11,2,0,25/08/2007,1,Aston Villa_Fulham_2007
29,7,0,Reading,Bolton,E0,18,2,12,10,7,0,M Clattenburg,5,3,H,1,0,H,10,1,0,25/08/2007,2,Bolton_Reading_2007
30,6,0,Portsmouth,Chelsea,E0,18,4,7,4,12,0,A Wiley,18,1,H,1,0,H,16,2,0,25/08/2007,0,Chelsea_Portsmouth_2007
31,4,2,Birmingham,Derby,E0,16,6,8,4,13,1,L Probert,11,1,A,0,0,A,8,1,0,25/08/2007,0,Derby_Birmingham_2007
32,7,1,Blackburn,Everton,E0,12,7,8,5,18,1,M Riley,11,1,D,0,0,A,20,2,0,25/08/2007,0,Everton_Blackburn_2007
33,4,2,Liverpool,Sunderland,E0,7,12,2,6,12,1,M Halsey,17,0,A,0,0,A,12,1,0,25/08/2007,1,Sunderland_Liverpool_2007
34,1,1,Wigan,West Ham,E0,13,3,4,6,12,0,A Marriner,12,1,D,0,0,D,11,2,0,25/08/2007,1,West Ham_Wigan_2007
35,4,0,Tottenham,Man United,E0,14,3,5,4,7,0,H Webb,10,1,H,0,0,D,15,3,0,26/08/2007,2,Man United_Tottenham_2007
36,2,2,Newcastle,Middlesbrough,E0,11,3,7,5,10,1,M Dean,5,2,D,1,0,D,13,3,0,26/08/2007,6,Middlesbrough_Newcastle_2007
37,6,2,Everton,Bolton,E0,13,11,7,11,10,1,P Walton,15,1,A,0,0,A,8,3,0,01/09/2007,1,Bolton_Everton_2007
38,14,3,Tottenham,Fulham,E0,13,8,7,6,11,2,M Riley,13,3,D,1,0,A,13,0,0,01/09/2007,1,Fulham_Tottenham_2007
39,2,0,Derby,Liverpool,E0,20,3,10,4,14,0,A Wiley,8,6,H,2,0,H,10,1,0,01/09/2007,0,Liverpool_Derby_2007
40,0,0,Sunderland,Man United,E0,17,1,9,6,7,0,M Atkinson,4,1,H,0,0,D,10,2,0,01/09/2007,1,Man United_Sunderland_2007
41,5,0,Birmingham,Middlesbrough,E0,13,4,7,11,12,0,R Styles,9,2,H,2,0,H,8,3,0,01/09/2007,1,Middlesbrough_Birmingham_2007
42,1,0,Wigan,Newcastle,E0,20,6,8,9,18,0,S Bennett,7,1,H,0,1,D,15,4,0,01/09/2007,2,Newcastle_Wigan_2007
43,4,3,West Ham,Reading,E0,9,9,3,14,11,1,H Webb,13,0,A,0,0,A,10,1,0,01/09/2007,0,Reading_West Ham_2007
44,5,1,Portsmouth,Arsenal,E0,10,10,8,8,12,0,M Halsey,15,3,H,2,0,H,6,2,1,02/09/2007,1,Arsenal_Portsmouth_2007
45,13,0,Chelsea,Aston Villa,E0,9,8,5,2,11,0,M Clattenburg,20,2,H,0,0,D,17,1,0,02/09/2007,4,Aston Villa_Chelsea_2007
46,3,0,Man City,Blackburn,E0,16,3,11,6,3,0,M Dean,7,1,H,1,1,H,23,1,1,02/09/2007,5,Blackburn_Man City_2007
47,5,0,Bolton,Birmingham,E0,10,3,5,6,15,0,P Dowd,8,1,H,1,0,H,16,3,0,15/09/2007,1,Birmingham_Bolton_2007
48,2,0,Blackburn,Chelsea,E0,16,1,8,9,13,0,H Webb,5,0,D,0,0,D,21,2,0,15/09/2007,2,Chelsea_Blackburn_2007
49,6,1,Man United,Everton,E0,8,8,2,3,10,0,A Wiley,16,0,A,0,0,D,20,2,0,15/09/2007,2,Everton_Man United_2007
50,4,0,Liverpool,Portsmouth,E0,9,6,2,5,14,0,M Riley,12,0,D,0,0,D,20,2,0,15/09/2007,3,Portsmouth_Liverpool_2007
51,9,1,Reading,Sunderland,E0,14,4,8,9,18,0,S Tanner,10,2,H,1,0,H,14,2,0,15/09/2007,1,Sunderland_Reading_2007
52,4,3,Arsenal,Tottenham,E0,14,10,5,8,22,0,M Clattenburg,16,1,A,1,0,H,28,2,0,15/09/2007,2,Tottenham_Arsenal_2007
53,8,0,Middlesbrough,West Ham,E0,13,12,7,5,14,0,S Bennett,16,3,H,0,0,D,14,1,0,15/09/2007,2,West Ham_Middlesbrough_2007
54,4,1,Fulham,Wigan,E0,14,5,4,9,9,1,R Styles,10,1,D,0,0,A,8,0,0,15/09/2007,1,Wigan_Fulham_2007
55,6,0,Aston Villa,Man City,E0,12,2,8,8,14,0,M Atkinson,11,1,H,0,0,D,11,1,0,16/09/2007,1,Man City_Aston Villa_2007
56,5,0,Newcastle,Derby,E0,10,3,3,5,11,0,P Walton,8,1,H,1,0,H,16,3,0,17/09/2007,2,Derby_Newcastle_2007
57,4,0,Derby,Arsenal,E0,15,3,9,5,12,0,M Atkinson,4,5,H,2,0,H,9,1,0,22/09/2007,1,Arsenal_Derby_2007
58,2,3,Man City,Fulham,E0,13,5,8,6,7,1,M Halsey,11,3,D,1,0,D,10,2,0,22/09/2007,3,Fulham_Man City_2007
59,2,0,Birmingham,Liverpool,E0,18,2,4,11,10,0,L Mason,5,0,D,0,0,D,3,2,0,22/09/2007,0,Liverpool_Birmingham_2007
60,2,2,Sunderland,Middlesbrough,E0,16,6,5,7,11,1,H Webb,11,2,D,1,0,D,18,4,0,22/09/2007,3,Middlesbrough_Sunderland_2007
61,7,1,Wigan,Reading,E0,15,5,7,6,13,0,K Stroud,9,2,H,1,0,H,17,2,0,22/09/2007,3,Reading_Wigan_2007
62,3,0,Everton,Aston Villa,E0,8,6,3,6,12,0,L Probert,8,2,H,1,0,H,17,0,0,23/09/2007,1,Aston Villa_Everton_2007
63,4,1,Portsmouth,Blackburn,E0,9,7,3,7,16,1,C Foy,13,0,A,0,0,A,6,3,0,23/09/2007,0,Blackburn_Portsmouth_2007
64,11,1,Tottenham,Bolton,E0,5,7,4,4,15,1,A Marriner,10,1,D,1,0,D,14,2,0,23/09/2007,0,Bolton_Tottenham_2007
65,1,0,Chelsea,Man United,E0,17,1,9,10,15,0,M Dean,4,2,H,1,1,H,10,2,0,23/09/2007,2,Man United_Chelsea_2007
66,5,1,West Ham,Newcastle,E0,12,8,4,1,15,1,M Riley,13,3,H,2,0,H,16,3,0,23/09/2007,1,Newcastle_West Ham_2007
67,4,1,Man United,Birmingham,E0,17,4,9,4,11,0,S Bennett,11,0,A,0,0,D,14,1,0,29/09/2007,3,Birmingham_Man United_2007
68,4,0,Fulham,Chelsea,E0,16,1,4,9,18,0,M Atkinson,6,0,D,0,0,D,8,1,1,29/09/2007,1,Chelsea_Fulham_2007
69,8,1,Bolton,Derby,E0,10,7,6,7,8,1,R Styles,12,1,D,1,0,D,15,2,0,29/09/2007,3,Derby_Bolton_2007
70,9,1,Newcastle,Man City,E0,16,8,12,3,10,1,C Foy,12,3,H,1,0,D,7,0,0,29/09/2007,0,Man City_Newcastle_2007
71,4,4,Reading,Portsmouth,E0,25,7,17,8,7,1,M Halsey,13,7,H,2,0,H,4,1,0,29/09/2007,1,Portsmouth_Reading_2007
72,2,2,Blackburn,Sunderland,E0,14,8,12,10,4,0,P Walton,14,1,A,0,0,D,11,0,0,29/09/2007,1,Sunderland_Blackburn_2007
73,14,1,Arsenal,West Ham,E0,9,12,4,3,14,1,A Wiley,16,0,A,0,0,A,15,2,0,29/09/2007,2,West Ham_Arsenal_2007
74,6,1,Liverpool,Wigan,E0,9,10,3,5,10,0,M Clattenburg,14,0,A,0,0,D,11,1,0,29/09/2007,2,Wigan_Liverpool_2007
75,6,0,Middlesbrough,Everton,E0,13,5,9,2,21,0,M Riley,13,2,H,1,0,H,17,4,0,30/09/2007,0,Everton_Middlesbrough_2007
76,3,4,Aston Villa,Tottenham,E0,19,7,12,13,13,3,M Dean,7,4,D,1,0,A,10,3,0,01/10/2007,2,Tottenham_Aston Villa_2007
77,4,0,West Ham,Aston Villa,E0,5,3,5,7,12,0,S Tanner,8,1,H,1,0,H,17,2,0,06/10/2007,3,Aston Villa_West Ham_2007
78,2,0,Wigan,Man United,E0,17,2,12,12,6,0,M Riley,6,4,H,0,0,D,12,1,0,06/10/2007,1,Man United_Wigan_2007
79,2,2,Sunderland,Arsenal,E0,18,7,8,8,9,1,R Styles,11,3,H,2,1,H,10,2,0,07/10/2007,0,Arsenal_Sunderland_2007
80,7,1,Birmingham,Blackburn,E0,17,5,5,6,13,0,M Clattenburg,6,2,H,1,0,H,15,1,0,07/10/2007,3,Blackburn_Birmingham_2007
81,5,1,Chelsea,Bolton,E0,13,8,7,5,8,1,A Wiley,15,0,A,0,0,A,17,1,0,07/10/2007,5,Bolton_Chelsea_2007
82,5,2,Portsmouth,Fulham,E0,13,8,10,8,17,0,H Webb,14,0,A,0,0,D,7,0,0,07/10/2007,1,Fulham_Portsmouth_2007
83,3,2,Tottenham,Liverpool,E0,21,6,9,5,10,1,M Halsey,11,2,D,1,0,D,18,1,0,07/10/2007,0,Liverpool_Tottenham_2007
84,8,1,Middlesbrough,Man City,E0,18,11,13,8,13,0,S Bennett,17,3,H,2,0,H,11,3,0,07/10/2007,2,Man City_Middlesbrough_2007
85,2,2,Everton,Newcastle,E0,15,6,10,8,19,0,M Atkinson,11,3,H,1,0,H,13,1,0,07/10/2007,2,Newcastle_Everton_2007
86,3,0,Derby,Reading,E0,11,0,3,3,18,0,L Mason,7,1,H,0,0,D,9,1,0,07/10/2007,1,Reading_Derby_2007
87,3,0,Bolton,Arsenal,E0,19,0,9,5,20,0,M Riley,1,2,H,0,0,D,14,5,0,20/10/2007,1,Arsenal_Bolton_2007
88,9,4,Man United,Aston Villa,E0,11,13,5,3,8,3,R Styles,21,1,A,1,0,A,8,2,2,20/10/2007,2,Aston Villa_Man United_2007
89,9,2,Reading,Blackburn,E0,11,7,6,4,7,0,A Marriner,13,4,H,3,0,H,8,0,0,20/10/2007,0,Blackburn_Reading_2007
90,6,2,Liverpool,Everton,E0,6,7,1,9,14,0,M Clattenburg,17,1,A,1,0,H,8,2,2,20/10/2007,1,Everton_Liverpool_2007
91,8,0,Derby,Fulham,E0,13,9,9,6,10,0,P Dowd,13,0,D,0,0,D,10,2,1,20/10/2007,0,Fulham_Derby_2007
92,7,0,Birmingham,Man City,E0,12,8,4,6,12,0,M Dean,13,1,H,1,0,H,17,2,0,20/10/2007,3,Man City_Birmingham_2007
93,6,2,Chelsea,Middlesbrough,E0,7,6,4,6,9,1,M Halsey,9,0,A,0,0,A,9,1,0,20/10/2007,1,Middlesbrough_Chelsea_2007
94,2,2,Portsmouth,Wigan,E0,7,8,0,3,9,0,P Walton,15,0,A,0,0,D,9,3,0,20/10/2007,2,Wigan_Portsmouth_2007
95,7,1,Sunderland,West Ham,E0,12,10,7,6,17,0,C Foy,16,3,H,1,0,H,8,2,0,21/10/2007,3,West Ham_Sunderland_2007
96,5,1,Tottenham,Newcastle,E0,15,4,7,5,7,0,S Bennett,11,3,H,1,0,H,12,2,0,22/10/2007,2,Newcastle_Tottenham_2007
97,5,2,Wigan,Birmingham,E0,16,5,10,6,12,1,S Tanner,8,3,H,1,0,D,11,1,0,27/10/2007,0,Birmingham_Wigan_2007
98,3,0,Man City,Chelsea,E0,16,4,9,9,12,0,M Riley,7,6,H,2,0,H,13,2,0,27/10/2007,2,Chelsea_Man City_2007
99,4,1,Middlesbrough,Man United,E0,18,4,14,2,15,1,A Wiley,7,4,H,2,0,H,10,2,0,27/10/2007,0,Man United_Middlesbrough_2007
100,5,0,West Ham,Portsmouth,E0,10,3,3,11,9,0,M Dean,10,0,D,0,0,D,18,4,0,27/10/2007,2,Portsmouth_West Ham_2007
101,8,1,Newcastle,Reading,E0,12,2,5,5,10,0,P Dowd,6,2,H,0,0,D,14,1,0,27/10/2007,0,Reading_Newcastle_2007
102,1,1,Fulham,Sunderland,E0,8,3,6,9,16,1,A Marriner,8,1,D,0,0,A,13,4,1,27/10/2007,1,Sunderland_Fulham_2007
103,3,1,Aston Villa,Bolton,E0,13,3,6,7,13,0,M Atkinson,8,1,D,1,0,H,15,1,0,28/10/2007,2,Bolton_Aston Villa_2007
104,2,2,Everton,Derby,E0,5,3,2,0,12,1,S Bennett,7,0,A,0,0,A,11,1,0,28/10/2007,1,Derby_Everton_2007
105,1,1,Arsenal,Liverpool,E0,11,4,8,4,10,0,H Webb,11,1,D,1,0,H,16,3,0,28/10/2007,3,Liverpool_Arsenal_2007
106,2,2,Blackburn,Tottenham,E0,9,4,6,10,14,0,R Styles,9,1,A,0,0,D,11,3,0,28/10/2007,4,Tottenham_Blackburn_2007
107,4,2,Man United,Arsenal,E0,16,4,6,3,15,1,H Webb,10,2,D,0,0,A,15,2,0,03/11/2007,1,Arsenal_Man United_2007
