NameTeam,IdTeam
Arsenal,0
Aston Villa,1
Birmingham,2
Blackburn,3
Blackpool,4
Bolton,5
Bournemouth,6
Brighton,7
Burnley,8
Cardiff,9
Charlton,10
Chelsea,11
Crystal Palace,12
Derby,13
Everton,14
Fulham,15
Huddersfield,16
Hull,17
Leeds,18
Leicester,19
Liverpool,20
Man City,21
Man United,22
Middlesbrough,23
Newcastle,24
Norwich,25
Portsmouth,26
QPR,27
Reading,28
Sheffield United,29
Southampton,30
Stoke,31
Sunderland,32
Swansea,33
Tottenham,34
Watford,35
West Brom,36
West Ham,37
Wigan,38
Wolves,39
