,WHD,IWH,LBA,SBH,SBA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
250,3.4,2.0,3.6,1.9,3.5,3.15,3.4,1.833,3.4,3.25,1.909,1.9,3.0,1.66,1.85,3.25,1.6,-0.5,2.1,3.1,3.4,3.25,1.85,Genclerbirligi,Samsunspor,Genclerbirligi_Samsunspor_2003
251,2.9,2.1,3.2,2.1,3.2,3.3,3.2,2.1,3.2,3.2,2.0,2.1,3.3,,2.05,3.1,1.6,,2.1,2.8,3.0,3.0,,Konyaspor,Rizespor,Konyaspor_Rizespor_2003
252,3.6,5.4,1.533,5.0,1.57,1.5,1.571,5.0,1.45,3.5,5.0,5.5,1.45,1.45,5.75,3.6,1.5,0.5,2.3,3.8,3.75,3.6,2.21,Rizespor,Fenerbahce,Rizespor_Fenerbahce_2003
253,4.75,1.2,6.0,1.28,8.0,8.0,,1.4,,,,1.25,9.0,,,4.5,,,,4.5,4.0,,,A. Sebatspor,Adanaspor,A. Sebatspor_Adanaspor_2003
254,3.4,2.5,2.5,2.5,2.37,2.4,2.4,2.4,2.4,3.4,2.4,2.4,2.3,,2.5,3.4,1.7,,2.0,3.2,3.25,3.1,,Ankaragucu,Galatasaray,Ankaragucu_Galatasaray_2003
255,3.4,3.4,2.0,3.6,1.85,1.8,1.909,3.2,1.85,3.4,3.25,3.6,1.9,1.85,3.5,3.4,1.65,0.5,2.0,3.2,3.2,3.25,1.69,Bursaspor,Trabzonspor,Bursaspor_Trabzonspor_2003
256,3.4,1.7,3.6,1.8,3.75,3.45,3.75,1.8,3.75,3.4,1.8,1.85,4.0,1.76,1.75,3.4,1.6,-0.5,2.1,3.3,3.4,3.3,1.75,Istanbulspor,Elazigspor,Istanbulspor_Elazigspor_2003
257,4.5,1.4,5.5,1.4,6.5,6.0,7.0,1.444,7.0,3.75,1.4,1.36,6.0,,1.37,4.0,1.6,,2.1,3.9,4.0,3.75,,Besiktas,Genclerbirligi,Besiktas_Genclerbirligi_2003
258,3.4,2.1,3.4,2.0,3.3,3.15,3.2,1.909,3.25,3.2,2.0,1.95,3.0,1.63,1.9,3.2,1.71,-0.5,2.0,3.1,3.25,3.25,1.9,Denizlispor,Gaziantepspor,Denizlispor_Gaziantepspor_2003
259,3.25,1.9,3.4,2.0,3.4,2.55,3.5,1.909,3.5,3.2,1.909,2.35,3.4,,1.9,3.2,1.65,,2.0,3.2,3.25,3.1,,Malatyaspor,Diyarbakirspor,Malatyaspor_Diyarbakirspor_2003
260,3.3,2.1,3.25,1.9,3.5,3.1,3.5,1.909,3.1,3.25,1.909,2.0,3.0,,2.0,3.25,1.6,,2.1,3.1,3.4,3.3,,Galatasaray,Denizlispor,Galatasaray_Denizlispor_2003
261,3.6,,1.533,7.0,1.4,1.5,1.533,5.0,,3.5,5.5,5.5,,,,3.75,,,,,3.75,,,Elazigspor,Trabzonspor,Elazigspor_Trabzonspor_2003
262,3.6,1.45,5.5,1.66,4.5,5.0,5.0,1.5,5.0,3.5,1.571,1.55,5.4,2.02,1.55,3.4,1.71,-0.5,1.95,3.8,3.75,3.4,1.55,Gaziantepspor,Malatyaspor,Gaziantepspor_Malatyaspor_2003
263,3.1,2.3,3.2,1.9,3.5,3.1,3.2,2.0,3.25,3.2,2.0,2.1,2.7,1.6,1.95,3.25,1.55,-0.5,2.2,3.0,3.2,3.15,1.95,Genclerbirligi,Ankaragucu,Genclerbirligi_Ankaragucu_2003
264,3.5,4.2,1.615,5.0,1.61,1.61,1.667,4.333,1.55,3.4,4.333,4.5,1.7,1.55,4.5,3.4,1.6,0.5,2.1,3.2,3.75,3.75,2.05,Konyaspor,Besiktas,Konyaspor_Besiktas_2003
265,3.35,2.1,3.25,2.0,3.25,3.05,,1.909,3.25,,,1.95,3.1,1.6,1.95,3.25,1.75,-0.5,1.9,3.0,3.4,3.15,1.95,A. Sebatspor,Bursaspor,A. Sebatspor_Bursaspor_2003
266,,,,3.6,1.8,,,,,,,,,,,3.4,,,,,,,,Adanaspor,Rizespor,Adanaspor_Rizespor_2003
267,3.4,,3.25,1.85,3.75,3.25,3.4,1.909,3.5,3.25,1.909,1.9,,,1.85,3.25,1.62,,2.05,,3.4,3.25,,Diyarbakirspor,Istanbulspor,Diyarbakirspor_Istanbulspor_2003
268,5.5,1.2,11.0,1.2,12.0,9.0,10.0,1.2,10.0,5.0,1.222,1.2,10.0,,1.17,5.0,1.5,,2.3,5.0,5.0,5.5,,Fenerbahce,Samsunspor,Fenerbahce_Samsunspor_2003
269,3.3,,3.75,1.83,3.75,3.4,3.75,1.83,4.0,3.2,1.83,1.9,,1.79,1.7,3.25,,-0.5,,,3.25,3.25,1.7,Samsunspor,Konyaspor,Samsunspor_Konyaspor_2003
270,3.25,2.5,2.5,2.4,2.6,2.5,2.62,2.4,2.55,3.1,2.37,2.4,2.5,1.42,2.4,3.2,1.6,-0.5,2.1,3.0,3.25,3.2,2.4,Malatyaspor,Galatasaray,Malatyaspor_Galatasaray_2003
271,5.0,,,,,9.0,,,,,,1.2,,,,,,,,,,,,Bursaspor,Elazigspor,Bursaspor_Elazigspor_2003
272,3.75,,,,,4.5,,,,,,1.5,,,,,,,,,,,,Istanbulspor,Gaziantepspor,Istanbulspor_Gaziantepspor_2003
273,,,,,,,,,,,,,,,,,,,,,,,,Rizespor,A. Sebatspor,Rizespor_A. Sebatspor_2003
274,5.0,1.15,8.0,1.25,8.5,8.0,8.0,1.25,10.0,5.0,1.25,1.25,12.0,3.46,1.2,5.0,1.55,-0.5,2.2,6.0,5.0,5.3,1.2,Trabzonspor,Diyarbakirspor,Trabzonspor_Diyarbakirspor_2003
275,3.4,,3.75,1.8,4.0,3.9,4.0,1.73,4.1,3.4,1.72,1.7,,1.81,1.75,3.25,1.6,-0.5,2.1,,3.6,3.25,1.75,Ankaragucu,Konyaspor,Ankaragucu_Konyaspor_2003
276,3.0,2.4,2.8,2.38,2.7,3.0,2.8,2.2,2.8,3.1,2.25,2.2,2.6,1.46,2.3,3.1,1.9,-0.5,1.75,3.0,3.2,3.05,2.3,Besiktas,Fenerbahce,Besiktas_Fenerbahce_2003
