,WHD,IWH,LBA,SBH,SBA,WHA,B365A,LBH,GBA,B365D,B365H,WHH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
35,4.25,1.35,6.0,1.3,8.5,8.0,7.0,1.444,7.5,4.333,1.333,1.28,7.0,1.9,1.3,4.33,,-1.5,,4.0,3.75,4.25,1.88,Trabzonspor,A. Sebatspor,Trabzonspor_A. Sebatspor_2003
36,4.5,1.25,9.0,1.28,9.5,10.0,10.0,1.286,9.0,4.5,1.25,1.25,9.0,1.7,1.25,4.33,1.5,-2.0,2.3,4.5,4.333,4.5,2.0,Besiktas,Malatyaspor,Besiktas_Malatyaspor_2003
37,3.4,1.9,3.2,2.0,3.3,3.15,3.5,2.0,3.25,3.2,1.9,1.9,3.3,1.8,1.95,3.2,1.71,-0.5,1.95,3.3,3.2,3.25,1.9,Adanaspor,Diyarbakirspor,Adanaspor_Diyarbakirspor_2003
38,3.4,4.6,1.533,5.5,1.53,1.5,1.53,5.0,1.5,3.6,5.0,6.0,1.6,1.9,5.25,3.5,1.55,1.0,2.2,3.4,3.75,3.6,1.83,Konyaspor,Galatasaray,Konyaspor_Galatasaray_2003
39,3.1,2.5,2.4,2.7,2.3,2.3,2.25,2.5,2.3,3.2,2.7,2.65,2.3,1.7,2.6,3.2,1.75,0.0,1.9,3.2,3.25,3.2,2.0,Rizespor,Trabzonspor,Rizespor_Trabzonspor_2003
40,3.2,2.3,2.4,2.62,2.37,2.3,2.37,2.5,2.3,3.25,2.5,2.55,2.5,1.85,2.6,3.2,1.65,0.0,2.0,3.2,3.25,3.2,1.83,Samsunspor,Istanbulspor,Samsunspor_Istanbulspor_2003
41,3.3,2.1,2.75,,,2.35,2.62,2.2,2.75,3.2,2.3,2.45,2.9,1.81,2.25,,1.65,-0.25,2.0,3.2,3.25,3.1,1.9,A. Sebatspor,Elazigspor,A. Sebatspor_Elazigspor_2003
42,3.3,1.7,4.0,1.66,4.5,3.6,4.0,1.667,3.9,3.4,1.72,1.8,4.0,1.79,1.7,3.4,1.65,-0.75,2.0,3.3,3.6,3.4,1.9,Ankaragucu,Denizlispor,Ankaragucu_Denizlispor_2003
43,3.3,2.3,2.5,2.3,2.7,2.4,2.5,2.4,2.5,3.1,2.5,2.4,2.5,1.95,2.35,3.2,1.6,0.0,2.1,3.2,3.25,3.25,1.75,Bursaspor,Genclerbirligi,Bursaspor_Genclerbirligi_2003
44,4.0,1.35,7.0,1.4,7.5,7.0,6.0,1.4,6.5,3.75,1.44,1.36,7.0,1.77,1.4,3.75,1.55,-1.5,2.2,4.0,3.75,3.75,1.9,Fenerbahce,Gaziantepspor,Fenerbahce_Gaziantepspor_2003
45,3.5,1.45,5.5,1.53,5.5,5.4,5.5,1.5,5.8,3.4,1.53,1.5,5.4,1.65,1.45,3.6,1.6,-1.5,2.1,3.8,3.6,3.75,2.1,Trabzonspor,Samsunspor,Trabzonspor_Samsunspor_2003
46,3.4,1.55,4.5,1.57,5.5,5.0,4.5,1.615,4.75,3.5,1.61,1.55,4.8,1.7,1.6,3.4,1.65,-1.0,2.0,3.5,3.6,3.5,2.05,Gaziantepspor,Adanaspor,Gaziantepspor_Adanaspor_2003
47,3.4,1.55,4.0,1.57,5.0,5.6,5.0,1.667,5.25,3.5,1.57,1.5,4.8,1.65,1.55,3.6,1.55,-1.25,2.2,3.5,3.6,3.5,2.1,Genclerbirligi,Konyaspor,Genclerbirligi_Konyaspor_2003
48,3.4,3.8,1.909,4.0,1.8,1.72,1.83,3.25,1.85,3.2,3.75,4.0,1.8,2.1,3.5,3.25,1.6,1.0,2.1,3.1,3.4,3.3,1.65,Istanbulspor,Besiktas,Istanbulspor_Besiktas_2003
49,3.3,1.75,4.0,1.85,3.75,3.8,3.75,1.727,3.7,3.25,1.8,1.75,3.8,1.7,1.8,3.25,1.6,-0.75,2.1,3.3,3.4,3.3,2.05,Malatyaspor,Ankaragucu,Malatyaspor_Ankaragucu_2003
50,3.3,2.3,3.0,1.9,3.5,2.5,3.4,2.0,2.75,3.25,1.9,2.3,2.8,2.1,2.2,3.25,1.65,0.0,2.0,2.9,3.4,3.3,1.65,Denizlispor,Bursaspor,Denizlispor_Bursaspor_2003
51,3.4,1.65,4.333,1.75,4.0,4.6,4.0,1.667,4.25,3.4,1.72,1.6,4.4,1.75,1.7,3.4,1.6,-0.75,2.1,3.3,3.4,3.4,1.95,Diyarbakirspor,A. Sebatspor,Diyarbakirspor_A. Sebatspor_2003
52,3.25,2.1,2.8,2.25,2.87,2.65,3.0,2.1,2.8,3.2,2.1,2.2,3.0,1.8,2.2,3.1,1.6,-0.25,2.1,3.1,3.4,3.15,1.9,Elazigspor,Rizespor,Elazigspor_Rizespor_2003
53,3.2,2.0,3.75,1.9,3.5,3.2,3.5,1.833,3.5,3.2,1.9,2.0,3.2,1.6,1.85,3.25,1.65,-0.75,2.0,3.1,3.25,3.3,2.2,Galatasaray,Fenerbahce,Galatasaray_Fenerbahce_2003
54,3.5,4.4,1.615,6.0,1.53,1.61,1.57,4.5,1.6,3.75,4.5,4.5,1.65,1.83,4.5,3.4,1.61,1.0,2.0,3.3,3.6,3.45,1.87,Adanaspor,Galatasaray,Adanaspor_Galatasaray_2003
55,3.1,2.2,2.5,2.5,2.5,2.5,2.5,2.4,2.55,3.25,2.37,2.4,2.8,1.8,2.4,3.2,1.66,-0.25,1.95,3.1,3.25,3.1,1.98,Ankaragucu,Istanbulspor,Ankaragucu_Istanbulspor_2003
56,3.3,1.8,3.0,2.0,3.3,3.6,3.2,2.1,3.3,3.2,2.0,1.8,3.6,2.0,1.9,3.2,1.61,-0.5,2.0,3.3,3.2,3.25,1.78,Bursaspor,Konyaspor,Bursaspor_Konyaspor_2003
57,4.0,1.45,7.5,1.44,6.5,7.0,6.0,1.3,6.9,3.75,1.44,1.36,5.4,1.82,1.35,3.75,1.56,-1.25,2.1,3.8,4.5,4.0,1.95,Fenerbahce,Genclerbirligi,Fenerbahce_Genclerbirligi_2003
58,3.3,1.7,3.5,1.83,3.75,4.2,3.6,1.833,3.7,3.3,1.83,1.7,4.0,1.87,1.75,3.3,1.66,-0.75,1.95,3.3,3.4,3.4,1.9,Samsunspor,Elazigspor,Samsunspor_Elazigspor_2003
59,3.3,2.4,2.5,2.7,2.3,2.3,2.37,2.4,2.3,3.1,2.62,2.5,2.4,1.95,2.55,3.25,1.66,0.25,1.95,3.2,3.25,3.25,1.83,A. Sebatspor,Gaziantepspor,A. Sebatspor_Gaziantepspor_2003
60,4.0,1.45,7.0,1.5,6.0,7.0,6.0,1.4,6.25,3.75,1.44,1.36,5.4,1.85,1.4,3.6,1.66,-1.25,1.95,3.8,3.75,3.8,1.92,Besiktas,Trabzonspor,Besiktas_Trabzonspor_2003
61,3.3,2.0,2.75,2.25,2.75,2.62,2.75,2.2,2.75,3.2,2.25,2.2,3.2,1.88,2.15,3.25,1.61,-0.25,2.0,3.1,3.25,3.25,1.9,Denizlispor,Malatyaspor,Denizlispor_Malatyaspor_2003
62,3.4,1.7,4.5,1.72,4.2,4.2,4.33,1.571,4.45,3.4,1.66,1.66,4.0,2.0,1.6,3.4,1.61,-0.75,2.0,3.3,3.75,3.5,1.8,Rizespor,Diyarbakirspor,Rizespor_Diyarbakirspor_2003
63,3.5,4.8,1.667,5.5,1.53,1.57,1.66,4.0,1.6,3.4,4.33,5.0,1.55,1.8,4.6,3.6,1.55,1.0,2.2,3.5,3.6,3.4,1.9,Konyaspor,Fenerbahce,Konyaspor_Fenerbahce_2003
64,6.5,1.12,15.0,1.11,13.0,12.0,12.0,1.083,11.0,6.0,1.14,1.12,13.0,1.9,1.15,7.0,1.45,-2.25,2.45,6.5,7.5,5.75,1.8,Galatasaray,A. Sebatspor,Galatasaray_A. Sebatspor_2003
65,3.5,1.5,5.0,1.44,6.5,5.5,5.0,1.533,5.75,3.5,1.57,1.5,5.0,1.9,1.45,3.75,1.55,-1.0,2.2,3.7,3.75,3.7,1.8,Genclerbirligi,Adanaspor,Genclerbirligi_Adanaspor_2003
66,3.3,1.75,4.5,1.7,4.33,3.6,4.33,1.615,4.25,3.4,1.66,1.8,4.0,1.85,1.65,3.4,1.6,-0.75,2.1,3.2,3.6,3.4,1.85,Istanbulspor,Denizlispor,Istanbulspor_Denizlispor_2003
67,3.3,1.6,4.5,1.61,4.75,4.33,4.5,1.571,4.25,3.5,1.61,1.66,4.6,1.85,1.65,3.5,1.6,-0.75,2.1,3.4,3.75,3.4,1.85,Malatyaspor,Bursaspor,Malatyaspor_Bursaspor_2003
68,3.25,1.9,3.6,1.91,3.5,3.3,3.4,1.8,3.3,3.25,1.9,1.9,3.3,1.8,1.91,3.25,1.6,-0.5,2.1,3.3,3.4,3.25,1.9,Diyarbakirspor,Samsunspor,Diyarbakirspor_Samsunspor_2003
69,3.6,5.4,1.444,6.5,1.44,1.44,1.44,6.0,1.41,3.75,6.0,6.5,1.45,1.8,6.0,3.75,1.5,1.25,2.3,3.8,3.75,3.8,1.9,Elazigspor,Besiktas,Elazigspor_Besiktas_2003
70,3.25,1.75,4.0,1.66,4.5,4.0,4.0,1.667,3.85,3.4,1.72,1.72,3.9,1.75,1.75,3.4,1.65,-0.75,2.0,3.3,3.6,3.3,1.95,Gaziantepspor,Rizespor,Gaziantepspor_Rizespor_2003
71,3.25,1.7,5.0,1.61,4.75,4.0,4.33,1.571,4.25,3.4,1.66,1.72,4.0,1.8,1.65,3.5,1.65,-0.75,2.0,3.3,3.5,3.4,1.9,Trabzonspor,Ankaragucu,Trabzonspor_Ankaragucu_2003
72,3.4,4.2,1.571,4.5,1.66,1.66,1.72,4.5,1.55,3.4,4.0,4.33,1.7,1.95,4.28,3.5,1.65,1.0,2.0,3.2,3.75,3.55,1.77,Rizespor,Galatasaray,Rizespor_Galatasaray_2003
73,3.4,1.9,3.25,2.0,3.3,2.9,3.2,1.909,3.0,3.2,2.0,2.0,3.4,1.83,1.95,3.2,1.6,-0.5,2.1,3.2,3.4,3.3,1.88,Adanaspor,Konyaspor,Adanaspor_Konyaspor_2003
74,3.8,1.45,5.0,1.44,6.5,5.5,5.5,1.533,5.5,3.4,1.53,1.44,5.4,1.95,1.45,3.75,1.6,-1.0,2.1,3.8,3.75,3.6,1.77,Ankaragucu,Elazigspor,Ankaragucu_Elazigspor_2003
75,6.0,1.15,12.0,1.12,15.0,15.0,13.0,1.1,15.0,6.5,1.12,1.12,12.0,,1.1,6.5,1.45,,2.45,6.0,7.5,5.8,,Besiktas,Diyarbakirspor,Besiktas_Diyarbakirspor_2003
76,3.3,3.4,1.909,4.0,1.8,1.8,2.0,3.25,1.85,3.2,3.2,3.6,1.9,1.8,3.35,3.2,1.5,0.5,2.3,3.2,3.4,3.25,1.91,A. Sebatspor,Genclerbirligi,A. Sebatspor_Genclerbirligi_2003
77,3.5,4.4,1.571,5.0,1.61,1.61,1.66,4.5,1.6,3.4,4.33,4.5,1.65,1.87,4.5,3.4,1.6,0.75,2.1,3.3,3.75,3.35,1.84,Bursaspor,Fenerbahce,Bursaspor_Fenerbahce_2003
78,3.3,2.1,2.6,2.37,2.6,3.1,2.75,2.25,2.9,3.2,2.25,1.95,2.9,,2.0,3.25,1.65,,2.0,3.2,3.4,3.3,,Denizlispor,Trabzonspor,Denizlispor_Trabzonspor_2003
79,3.25,1.85,4.0,1.75,4.0,3.3,3.7,1.667,3.45,3.4,1.8,1.9,3.5,1.97,1.8,3.4,1.65,-0.5,2.0,3.2,3.6,3.3,1.75,Malatyaspor,Istanbulspor,Malatyaspor_Istanbulspor_2003
80,3.25,2.3,2.6,2.4,2.6,2.6,2.5,2.25,2.5,3.2,2.4,2.25,2.6,1.95,2.3,3.2,1.65,0.0,2.0,3.1,3.4,3.2,1.77,Samsunspor,Gaziantepspor,Samsunspor_Gaziantepspor_2003
81,6.0,1.15,13.0,1.12,15.0,12.0,11.0,1.143,11.0,5.5,1.16,1.14,12.0,,1.15,6.5,1.4,,2.6,6.0,6.0,5.3,,Fenerbahce,Adanaspor,Fenerbahce_Adanaspor_2003
82,3.3,2.1,2.8,2.1,3.1,3.0,2.75,2.1,2.8,3.25,2.2,2.0,2.9,1.9,2.1,3.2,1.65,-0.25,2.0,3.2,3.4,3.2,1.8,Diyarbakirspor,Ankaragucu,Diyarbakirspor_Ankaragucu_2003
83,3.3,2.9,2.2,2.7,2.3,2.3,2.25,2.75,2.2,3.2,2.75,2.5,2.1,1.9,2.6,3.2,1.65,0.25,2.0,3.2,3.25,3.2,1.8,Elazigspor,Denizlispor,Elazigspor_Denizlispor_2003
84,5.5,1.17,12.0,1.16,12.0,12.0,11.0,1.167,11.0,5.5,1.16,1.16,11.0,,1.17,6.0,1.45,,2.45,5.5,5.5,5.0,,Galatasaray,Samsunspor,Galatasaray_Samsunspor_2003
85,3.3,1.85,3.6,1.66,4.5,3.5,4.0,1.8,3.65,3.4,1.72,1.83,3.5,1.65,1.75,3.4,1.65,-1.0,2.0,3.2,3.4,3.3,2.1,Trabzonspor,Malatyaspor,Trabzonspor_Malatyaspor_2003
86,3.5,3.5,1.8,4.0,1.75,1.61,1.83,3.5,1.75,3.4,3.5,4.5,1.9,2.2,3.65,3.4,1.65,1.0,2.0,3.1,3.5,3.3,1.6,Gaziantepspor,Besiktas,Gaziantepspor_Besiktas_2003
87,3.75,1.5,4.5,1.57,5.5,5.0,5.0,1.571,5.1,3.5,1.57,1.5,5.0,1.7,1.5,3.4,1.6,-1.25,2.1,3.7,3.75,3.5,2.05,Genclerbirligi,Rizespor,Genclerbirligi_Rizespor_2003
88,3.25,1.75,4.0,1.72,4.2,4.0,4.5,1.667,3.65,3.5,1.61,1.72,3.8,1.95,1.75,3.4,1.65,-0.5,2.0,3.3,3.6,3.3,1.75,Istanbulspor,Bursaspor,Istanbulspor_Bursaspor_2003
89,3.6,1.6,4.5,1.57,5.5,4.5,5.0,1.571,4.4,3.5,1.57,1.57,4.6,1.7,1.57,3.4,1.6,-1.0,2.1,3.4,3.75,3.5,2.05,Konyaspor,A. Sebatspor,Konyaspor_A. Sebatspor_2003
90,3.25,2.1,3.6,2.0,3.3,3.4,3.2,1.8,3.35,3.2,2.0,1.9,3.0,2.0,1.9,3.2,1.65,-0.5,2.0,3.1,3.4,3.3,1.78,Besiktas,Galatasaray,Besiktas_Galatasaray_2003
91,3.1,2.1,2.8,2.2,2.88,2.7,3.0,2.1,3.0,3.2,2.1,2.25,3.0,1.9,2.0,3.2,1.65,-0.25,2.0,3.1,3.4,3.3,1.8,Ankaragucu,Gaziantepspor,Ankaragucu_Gaziantepspor_2003
92,3.4,1.55,5.0,1.57,5.5,4.6,5.0,1.53,5.35,3.6,1.53,1.6,4.8,1.85,1.5,3.4,1.6,-1.0,2.1,3.5,3.75,3.65,1.85,Denizlispor,Diyarbakirspor,Denizlispor_Diyarbakirspor_2003
93,3.2,2.4,2.5,2.5,2.5,2.55,2.62,2.4,2.55,3.2,2.3,2.3,2.6,1.9,2.4,3.2,1.65,0.0,2.0,3.0,3.25,3.1,1.8,Istanbulspor,Trabzonspor,Istanbulspor_Trabzonspor_2003
94,3.25,3.0,2.2,2.75,2.25,2.2,2.25,2.75,2.1,3.2,2.75,2.65,2.0,1.78,2.85,3.25,1.55,0.25,2.2,3.3,3.25,3.25,1.93,Samsunspor,Genclerbirligi,Samsunspor_Genclerbirligi_2003
95,4.33,7.0,1.33,8.5,1.3,1.33,1.33,7.0,1.3,4.0,8.0,7.0,1.35,1.85,7.5,4.33,1.5,1.5,2.3,4.0,4.33,4.5,1.85,A. Sebatspor,Fenerbahce,A. Sebatspor_Fenerbahce_2003
96,3.3,1.65,4.0,1.7,4.33,3.8,3.6,1.73,4.33,3.25,1.83,1.75,4.4,1.8,1.68,3.4,1.6,-0.75,2.1,3.3,3.4,3.3,1.9,Bursaspor,Adanaspor,Bursaspor_Adanaspor_2003
97,3.6,1.35,7.0,1.36,7.5,7.0,7.0,1.33,7.0,4.0,1.36,1.4,7.0,1.8,1.33,4.0,1.55,-1.5,2.2,4.0,4.33,4.25,1.9,Malatyaspor,Elazigspor,Malatyaspor_Elazigspor_2003
98,3.5,1.7,4.0,1.73,4.2,4.1,3.75,1.73,4.2,3.25,1.8,1.65,4.2,1.8,1.68,3.4,1.6,-0.75,2.1,3.2,3.4,3.4,1.9,Rizespor,Konyaspor,Rizespor_Konyaspor_2003
99,3.5,1.4,5.5,1.44,6.5,5.5,7.0,1.5,5.55,4.0,1.36,1.5,6.0,1.88,1.45,3.75,1.55,-1.0,2.2,3.9,3.6,3.75,1.86,Trabzonspor,Bursaspor,Trabzonspor_Bursaspor_2003
100,3.3,1.85,3.25,1.9,3.3,3.0,3.5,1.909,3.6,3.5,1.83,2.0,3.4,1.96,1.8,3.4,1.65,-0.5,2.0,3.3,3.4,3.25,1.78,Adanaspor,A. Sebatspor,Adanaspor_A. Sebatspor_2003
101,3.3,2.0,3.0,1.9,3.4,3.0,3.2,2.0,3.2,3.5,1.9,2.0,3.1,1.83,1.95,3.4,1.6,-0.5,2.1,3.2,3.4,3.2,1.92,Konyaspor,Samsunspor,Konyaspor_Samsunspor_2003
102,3.1,2.3,2.4,2.4,2.6,2.5,2.5,2.4,2.55,3.4,2.37,2.4,2.7,1.92,2.4,3.2,1.55,0.0,2.2,3.0,3.4,3.0,1.83,Diyarbakirspor,Malatyaspor,Diyarbakirspor_Malatyaspor_2003
103,3.3,3.0,2.1,2.8,2.2,2.1,2.25,2.8,2.2,3.2,2.75,2.8,2.0,1.92,2.75,3.3,1.65,0.25,2.0,3.3,3.4,3.1,1.83,Elazigspor,Istanbulspor,Elazigspor_Istanbulspor_2003
104,6.0,1.25,9.0,1.22,10.0,12.0,11.0,1.2,10.0,5.5,1.2,1.14,9.0,,1.17,5.0,1.56,,2.1,4.5,5.5,5.25,,Galatasaray,Ankaragucu,Galatasaray_Ankaragucu_2003
105,3.5,1.85,4.0,1.72,4.2,3.75,3.75,1.667,3.7,3.25,1.8,1.72,3.5,1.96,1.8,3.4,1.71,-0.5,1.95,3.2,3.6,3.2,1.78,Gaziantepspor,Denizlispor,Gaziantepspor_Denizlispor_2003
106,3.4,3.4,1.8,3.75,1.8,1.8,1.8,3.5,1.85,3.25,3.75,3.6,1.9,1.83,3.4,3.4,1.6,0.5,2.1,3.2,3.5,3.25,1.92,Genclerbirligi,Besiktas,Genclerbirligi_Besiktas_2003
107,3.1,2.4,2.5,2.7,2.3,2.0,2.37,2.4,2.45,3.25,2.5,3.2,2.4,1.85,2.45,3.2,1.55,0.0,2.2,3.2,3.25,3.05,1.85,Ankaragucu,Genclerbirligi,Ankaragucu_Genclerbirligi_2003
108,5.0,1.2,13.0,1.18,12.0,9.5,12.0,1.1,11.0,6.0,1.14,1.22,10.0,,1.15,5.5,1.45,,2.45,5.0,7.0,6.0,,Besiktas,Konyaspor,Besiktas_Konyaspor_2003
109,3.4,4.0,1.67,4.0,1.8,1.8,1.66,4.33,1.7,3.4,4.33,3.6,1.75,1.95,3.85,3.25,1.65,0.75,2.0,3.2,3.4,3.4,1.75,Denizlispor,Galatasaray,Denizlispor_Galatasaray_2003
110,3.2,1.75,3.5,1.85,3.75,3.5,3.75,1.83,3.75,3.25,1.8,1.85,4.0,1.95,1.77,3.25,1.65,-0.5,2.0,3.2,3.4,3.2,1.75,Malatyaspor,Gaziantepspor,Malatyaspor_Gaziantepspor_2003
111,3.2,1.65,4.5,1.67,4.5,5.0,4.33,1.62,4.4,3.4,1.66,1.6,4.4,1.85,1.6,3.4,1.6,-0.75,2.1,3.3,3.6,3.5,1.85,Bursaspor,A. Sebatspor,Bursaspor_A. Sebatspor_2003
112,3.2,1.8,4.0,1.75,4.0,4.2,4.0,1.67,3.75,3.4,1.72,1.7,3.6,1.75,1.7,3.4,1.6,-0.75,2.1,3.3,3.6,3.5,1.95,Istanbulspor,Diyarbakirspor,Istanbulspor_Diyarbakirspor_2003
113,3.2,1.45,5.0,1.44,7.0,5.0,5.5,1.53,6.0,3.4,1.53,1.6,5.4,1.9,1.45,3.6,1.5,-1.0,2.3,3.8,3.75,3.5,1.8,Rizespor,Adanaspor,Rizespor_Adanaspor_2003
114,3.4,4.4,1.73,4.33,1.7,1.72,1.66,4.0,1.7,3.4,4.33,4.0,1.65,1.95,4.3,3.4,1.6,0.75,2.1,3.3,3.4,3.1,1.75,Samsunspor,Fenerbahce,Samsunspor_Fenerbahce_2003
115,5.0,1.2,8.0,1.22,10.0,7.5,10.0,1.25,9.0,4.5,1.25,1.25,10.0,,1.21,5.0,1.55,,2.2,5.0,5.0,5.0,,Trabzonspor,Elazigspor,Trabzonspor_Elazigspor_2003
116,4.0,1.4,7.5,1.3,8.5,8.0,7.0,1.3,7.5,4.0,1.36,1.33,6.0,1.85,1.3,4.33,1.55,-1.5,2.2,3.9,4.5,4.3,1.85,Galatasaray,Malatyaspor,Galatasaray_Malatyaspor_2003
117,3.25,2.1,3.4,2.25,2.88,2.75,2.75,1.91,3.1,3.25,2.2,2.15,3.0,1.73,2.0,3.1,1.65,-0.5,2.0,3.1,3.25,3.2,2.0,A. Sebatspor,Rizespor,A. Sebatspor_Rizespor_2003
118,3.2,2.7,2.4,2.62,2.38,2.35,2.37,2.5,2.35,3.25,2.5,2.5,2.3,1.8,2.55,3.2,1.55,0.0,2.2,3.0,3.25,3.15,1.9,Diyarbakirspor,Trabzonspor,Diyarbakirspor_Trabzonspor_2003
119,3.25,2.3,2.8,2.38,2.6,2.6,2.5,2.1,2.7,3.25,2.37,2.25,2.7,1.8,2.2,3.25,1.65,-0.25,2.0,3.0,3.4,3.2,1.9,Elazigspor,Bursaspor,Elazigspor_Bursaspor_2003
120,3.25,2.3,2.8,2.0,3.25,2.75,3.2,2.1,3.1,3.2,2.0,2.15,2.7,1.73,2.0,3.25,1.6,-0.5,2.1,3.0,3.4,3.2,2.0,Konyaspor,Ankaragucu,Konyaspor_Ankaragucu_2003
121,3.25,2.4,2.25,2.25,2.75,2.6,2.5,2.6,2.6,3.25,2.37,2.25,2.5,1.95,2.3,3.25,1.65,0.0,2.0,3.1,3.4,3.15,1.77,Adanaspor,Samsunspor,Adanaspor_Samsunspor_2003
122,3.1,2.3,2.2,2.5,2.5,2.5,2.37,2.75,2.5,3.25,2.5,2.5,2.6,1.85,2.5,3.2,1.65,0.0,2.0,3.1,3.25,3.0,1.85,Fenerbahce,Besiktas,Fenerbahce_Besiktas_2003
123,3.3,1.7,4.0,1.73,4.2,3.6,4.33,1.73,4.0,3.4,1.66,1.8,4.2,1.77,1.7,3.4,1.6,-0.75,2.1,3.2,3.4,3.4,1.95,Gaziantepspor,Istanbulspor,Gaziantepspor_Istanbulspor_2003
124,3.25,2.0,3.4,1.91,3.5,3.3,3.4,1.91,3.3,3.25,1.9,1.9,3.2,1.85,1.9,3.25,1.55,-0.5,2.2,3.1,3.25,3.25,1.85,Genclerbirligi,Denizlispor,Genclerbirligi_Denizlispor_2003
125,6.5,1.15,13.0,1.12,13.0,12.0,15.0,1.125,11.0,5.5,1.14,1.12,12.0,,1.15,6.5,1.47,,2.48,6.0,6.5,5.5,,Besiktas,Adanaspor,Besiktas_Adanaspor_2003
126,3.5,1.55,6.0,1.53,5.5,4.9,5.5,1.5,4.75,3.4,1.53,1.55,4.8,1.85,1.55,3.6,1.55,-1.0,2.2,3.5,3.4,3.5,1.85,Diyarbakirspor,Elazigspor,Diyarbakirspor_Elazigspor_2003
127,3.4,4.4,1.727,4.0,1.72,1.72,1.66,4.0,1.62,3.4,4.33,4.0,1.65,1.85,4.25,3.5,1.6,0.75,2.1,3.3,3.4,3.5,1.85,Istanbulspor,Galatasaray,Istanbulspor_Galatasaray_2003
128,3.3,1.6,4.5,1.66,4.5,4.4,4.33,1.615,4.0,3.4,1.66,1.65,4.6,1.8,1.67,3.4,1.55,-0.75,2.2,3.4,3.5,3.4,1.9,Samsunspor,A. Sebatspor,Samsunspor_A. Sebatspor_2003
129,3.25,1.7,3.6,1.8,3.75,3.65,4.33,1.8,3.6,3.4,1.66,1.8,4.2,1.95,1.75,3.4,1.6,-0.5,2.1,3.2,3.4,3.4,1.75,Trabzonspor,Gaziantepspor,Trabzonspor_Gaziantepspor_2003
130,3.3,3.5,2.0,3.75,1.83,1.83,1.9,3.2,1.85,3.25,3.4,3.6,1.85,1.85,3.5,3.25,1.6,0.5,2.1,3.2,3.2,3.2,1.85,Ankaragucu,Fenerbahce,Ankaragucu_Fenerbahce_2003
131,3.6,1.55,6.0,1.53,5.5,5.2,6.0,1.444,5.25,3.4,1.5,1.5,4.8,1.85,1.5,3.6,1.71,-1.0,1.95,3.5,3.75,3.5,1.85,Denizlispor,Konyaspor,Denizlispor_Konyaspor_2003
132,3.25,1.8,3.5,1.9,3.5,3.05,3.4,1.833,3.3,3.25,1.9,2.0,3.6,1.8,1.9,3.25,1.6,-0.5,2.1,3.3,3.4,3.2,1.9,Malatyaspor,Genclerbirligi,Malatyaspor_Genclerbirligi_2003
133,3.35,1.85,3.2,1.85,3.75,3.35,3.4,2.0,3.3,3.25,1.9,1.85,3.5,1.8,1.9,3.25,1.79,-0.5,1.85,3.2,3.2,3.2,1.9,Rizespor,Bursaspor,Rizespor_Bursaspor_2003
134,4.33,7.0,1.4,7.5,1.36,1.33,1.364,6.5,1.4,4.0,7.0,7.0,1.35,1.85,6.5,4.0,1.5,1.25,2.3,4.0,4.0,3.7,1.85,A. Sebatspor,Besiktas,A. Sebatspor_Besiktas_2003
135,3.6,1.5,5.0,1.44,6.5,5.0,5.5,1.533,5.1,3.4,1.533,1.53,5.0,1.9,1.5,3.75,1.5,-1.0,2.3,3.7,3.75,3.6,1.8,Fenerbahce,Denizlispor,Fenerbahce_Denizlispor_2003
136,3.75,1.4,7.0,1.4,7.5,5.5,6.0,1.4,6.5,3.75,1.444,1.44,6.0,1.85,1.4,3.75,1.6,-1.25,2.1,3.9,3.75,3.7,1.85,Gaziantepspor,Elazigspor,Gaziantepspor_Elazigspor_2003
137,3.25,1.75,4.0,1.72,4.2,4.0,4.0,1.727,3.75,3.4,1.727,1.72,3.8,2.0,1.7,3.4,1.55,-0.5,2.2,3.3,3.4,3.5,1.7,Genclerbirligi,Istanbulspor,Genclerbirligi_Istanbulspor_2003
138,3.1,2.4,2.5,2.37,2.62,2.62,2.625,2.4,2.45,3.25,2.3,2.3,2.4,1.9,2.35,3.2,1.6,0.0,2.1,3.2,3.25,3.25,1.8,Adanaspor,Ankaragucu,Adanaspor_Ankaragucu_2003
139,3.2,2.3,3.0,2.1,3.0,2.62,3.0,2.1,3.0,3.2,2.1,2.25,2.6,1.7,2.0,3.25,1.65,-0.5,2.0,3.1,3.2,3.3,2.0,Bursaspor,Diyarbakirspor,Bursaspor_Diyarbakirspor_2003
140,3.6,1.55,5.0,1.61,4.75,5.5,5.5,1.5,5.1,3.6,1.5,1.5,4.8,1.9,1.5,3.5,1.55,-1.0,2.2,3.5,3.75,3.6,1.8,Galatasaray,Trabzonspor,Galatasaray_Trabzonspor_2003
141,3.2,2.5,2.6,2.5,2.5,2.5,2.5,2.4,2.5,3.1,2.5,2.37,2.6,1.9,2.4,3.2,1.9,0.0,1.75,2.9,3.0,3.1,1.8,Konyaspor,Malatyaspor,Konyaspor_Malatyaspor_2003
142,3.2,2.0,2.75,2.2,2.87,2.7,3.0,2.2,2.8,3.2,2.1,2.2,3.1,1.9,2.1,3.2,1.83,-0.25,1.83,3.2,3.25,3.25,1.8,Rizespor,Samsunspor,Rizespor_Samsunspor_2003
