,WHD,IWH,LBA,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
121,3.5,1.65,4.5,1.67,4.75,3.5,4.3,4.5,1.62,4.75,3.5,1.61,1.65,4.9,1.6,4.4,1.96,1.62,3.5,1.65,-0.5,2.0,3.3,3.6,3.35,1.62,Rizespor,Ankaraspor,Rizespor_Ankaraspor_2004
122,3.4,3.2,1.83,4.0,1.85,3.3,1.8,1.83,3.75,1.85,3.25,3.6,3.6,1.8,3.95,2.0,1.85,3.7,3.25,1.71,0.5,1.95,3.1,3.25,3.2,1.72,A. Sebatspor,Denizlispor,A. Sebatspor_Denizlispor_2004
123,3.4,1.8,4.0,1.85,3.8,3.4,3.45,4.0,1.73,3.85,3.4,1.72,1.85,3.6,1.85,3.6,1.76,1.8,3.4,1.8,-0.5,1.8,3.3,3.4,3.25,1.8,Istanbulspor,Sakaryaspor,Istanbulspor_Sakaryaspor_2004
124,3.35,1.85,4.0,1.91,3.75,3.4,3.5,3.75,1.8,3.7,3.3,1.8,1.85,3.6,1.85,3.6,1.72,1.85,3.25,1.65,-0.5,2.0,3.1,3.2,3.2,1.85,Malatyaspor,Genclerbirligi,Malatyaspor_Genclerbirligi_2004
125,3.4,3.4,1.73,4.33,1.73,3.45,1.66,1.66,4.0,1.7,3.4,4.33,4.33,1.8,3.75,1.9,,4.0,3.5,1.6,,2.0,3.2,3.4,3.3,,Samsunspor,Besiktas,Samsunspor_Besiktas_2004
126,6.5,1.17,13.0,1.14,15.0,7.0,10.0,9.0,1.14,12.0,5.5,1.2,1.14,13.0,1.12,11.0,,1.17,6.0,1.5,,2.3,5.5,6.0,5.5,,Fenerbahce,Ankaragucu,Fenerbahce_Ankaragucu_2004
127,3.4,1.85,3.4,1.85,3.75,3.4,3.5,3.6,1.91,3.5,3.25,1.83,1.85,3.6,1.85,3.6,1.69,1.9,3.3,1.65,-0.5,2.0,3.1,3.25,3.25,1.9,Denizlispor,Malatyaspor,Denizlispor_Malatyaspor_2004
128,3.3,2.1,3.0,2.2,2.88,3.3,3.1,2.87,2.1,3.0,3.1,2.2,2.0,3.0,2.1,3.2,1.5,2.2,3.25,1.71,-0.5,1.95,2.9,3.2,3.0,2.2,Diyarbakirspor,Konyaspor,Diyarbakirspor_Konyaspor_2004
129,3.4,3.2,2.0,3.3,2.0,3.35,1.8,2.0,3.2,2.0,3.1,3.3,3.6,1.9,3.45,2.1,2.0,3.25,3.2,1.71,0.5,1.95,2.9,3.2,3.2,1.61,Genclerbirligi,Galatasaray,Genclerbirligi_Galatasaray_2004
130,3.6,1.55,5.0,1.53,5.5,3.45,5.0,5.0,1.53,5.5,3.5,1.57,1.53,5.6,1.55,4.8,2.16,1.52,3.6,1.6,-0.5,2.1,3.5,3.75,3.55,1.52,Trabzonspor,Rizespor,Trabzonspor_Rizespor_2004
131,3.3,1.85,3.0,2.0,3.2,3.35,3.0,3.0,2.1,3.25,3.2,2.1,2.05,3.2,2.0,3.5,1.61,2.0,3.3,1.65,-0.5,2.0,3.2,3.2,3.2,2.0,Ankaraspor,Samsunspor,Ankaraspor_Samsunspor_2004
132,4.5,1.4,7.5,1.33,7.5,4.8,9.5,7.0,1.33,8.0,4.0,1.36,1.25,9.5,1.25,6.0,2.78,1.32,4.33,1.55,-0.5,2.2,3.9,4.33,4.25,1.32,Besiktas,Istanbulspor,Besiktas_Istanbulspor_2004
133,3.8,1.55,5.5,1.5,6.0,3.5,5.8,5.5,1.5,5.25,3.6,1.5,1.45,5.5,1.55,4.8,2.1,1.55,3.6,1.6,-0.5,2.1,3.5,3.75,3.5,1.55,Gaziantepspor,A. Sebatspor,Gaziantepspor_A. Sebatspor_2004
134,3.25,2.2,2.75,2.2,2.88,3.2,2.75,2.7,2.25,2.9,3.1,2.3,2.2,2.75,2.3,2.9,1.47,2.25,3.25,1.71,-0.5,1.95,3.0,3.25,3.0,2.25,Sakaryaspor,Kayserispor,Sakaryaspor_Kayserispor_2004
135,3.6,5.0,1.53,5.5,1.57,3.6,1.5,1.53,5.0,1.55,3.4,5.5,5.5,1.5,6.0,1.5,1.55,5.2,3.4,1.5,0.5,2.3,3.7,3.75,3.5,2.09,Kayserispor,Besiktas,Kayserispor_Besiktas_2004
136,3.4,1.75,3.75,1.91,3.5,3.4,3.15,3.6,1.8,3.45,3.25,1.83,1.95,3.6,1.85,4.0,1.67,1.9,3.25,1.65,-0.5,2.0,3.2,3.4,3.25,1.9,A. Sebatspor,Sakaryaspor,A. Sebatspor_Sakaryaspor_2004
137,3.3,2.0,3.25,2.05,3.2,3.3,2.65,3.2,2.0,3.2,3.2,2.0,2.25,3.25,2.0,3.2,1.57,2.05,3.2,1.75,-0.5,1.9,3.1,3.25,3.1,2.05,Istanbulspor,Ankaraspor,Istanbulspor_Ankaraspor_2004
138,3.2,2.0,3.25,2.1,3.1,3.3,3.35,3.0,2.0,3.2,3.2,2.1,1.95,3.0,2.1,3.2,1.57,2.05,3.2,1.71,-0.5,1.95,3.1,3.25,3.1,2.05,Malatyaspor,Gaziantepspor,Malatyaspor_Gaziantepspor_2004
139,3.2,4.0,1.73,4.0,1.75,3.45,1.83,1.8,4.0,1.83,3.4,3.6,3.75,1.75,4.0,1.7,1.83,3.75,3.4,1.6,0.5,2.1,3.3,3.4,3.2,1.73,Samsunspor,Trabzonspor,Samsunspor_Trabzonspor_2004
140,3.1,2.4,2.75,2.3,2.8,3.3,2.62,2.75,2.38,2.6,3.2,2.25,2.37,2.6,2.35,2.7,1.41,2.4,3.1,1.75,-0.5,1.9,2.9,3.0,3.1,2.4,Galatasaray,Fenerbahce,Galatasaray_Fenerbahce_2004
141,3.3,2.0,3.25,2.05,3.3,3.35,3.25,3.2,2.0,3.2,3.2,2.0,1.95,3.45,1.9,3.2,1.57,2.05,3.1,1.71,-0.5,1.95,3.1,3.25,3.1,2.05,Genclerbirligi,Denizlispor,Genclerbirligi_Denizlispor_2004
142,3.3,1.75,4.33,1.85,3.75,3.45,4.0,4.2,1.8,3.85,3.3,1.72,1.75,4.0,1.75,4.0,1.76,1.8,3.25,1.65,-0.5,2.0,3.2,3.0,3.25,1.8,Konyaspor,Ankaragucu,Konyaspor_Ankaragucu_2004
143,3.3,1.6,5.0,1.53,5.5,3.5,5.0,4.5,1.57,5.25,3.5,1.61,1.61,4.9,1.6,4.6,,1.55,3.6,1.65,,2.0,3.4,3.4,3.4,,Rizespor,Diyarbakirspor,Rizespor_Diyarbakirspor_2004
