,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
196,1,Buyuksehyr,9,0,0,1,0,0,1,2,17,A,12,2018-02-18,Trabzonspor,T1,8,5,3,13,A,7,Trabzonspor_Buyuksehyr_2017
197,1,Goztep,17,3,1,0,1,0,0,1,19,H,1,2018-02-19,Genclerbirligi,T1,1,10,2,14,H,2,Genclerbirligi_Goztep_2017
198,3,Konyaspor,16,3,0,0,1,0,0,2,12,H,7,2018-02-23,Akhisar Belediyespor,T1,2,5,0,8,H,3,Akhisar Belediyespor_Konyaspor_2017
199,1,Bursaspor,14,5,1,0,2,0,0,0,13,H,3,2018-02-23,Galatasaray,T1,0,7,9,14,H,0,Galatasaray_Bursaspor_2017
200,6,Trabzonspor,18,1,0,2,1,0,0,4,15,A,8,2018-02-24,Alanyaspor,T1,4,7,5,12,H,7,Alanyaspor_Trabzonspor_2017
201,2,Kasimpasa,9,3,1,2,1,0,1,3,6,H,10,2018-02-24,Kayserispor,T1,2,5,7,12,D,2,Kayserispor_Kasimpasa_2017
202,3,Fenerbahce,15,3,0,1,0,0,1,2,22,H,7,2018-02-25,Besiktas,T1,6,6,6,15,A,1,Besiktas_Fenerbahce_2017
203,5,Sivasspor,20,1,0,0,1,0,0,1,12,H,4,2018-02-25,Goztep,T1,3,3,7,6,H,1,Goztep_Sivasspor_2017
204,3,Antalyaspor,14,0,0,0,0,0,0,1,21,D,7,2018-02-25,Osmanlispor,T1,1,2,4,6,D,5,Osmanlispor_Antalyaspor_2017
205,2,Karabukspor,7,3,0,1,1,0,0,4,16,H,10,2018-02-25,Yeni Malatyaspor,T1,6,8,2,14,H,5,Yeni Malatyaspor_Karabukspor_2017
206,3,Genclerbirligi,16,1,0,1,1,0,0,0,13,D,7,2018-02-26,Buyuksehyr,T1,2,4,7,6,H,5,Buyuksehyr_Genclerbirligi_2017
207,0,Kayserispor,7,1,0,0,0,0,0,4,21,H,3,2018-03-02,Bursaspor,T1,0,5,5,8,D,1,Bursaspor_Kayserispor_2017
208,0,Goztep,11,2,0,0,1,0,0,3,14,H,8,2018-03-03,Buyuksehyr,T1,3,10,10,17,H,4,Buyuksehyr_Goztep_2017
209,2,Galatasaray,9,0,0,7,0,0,6,4,9,A,13,2018-03-03,Karabukspor,T1,7,1,4,7,A,6,Karabukspor_Galatasaray_2017
210,3,Osmanlispor,20,1,0,1,1,0,1,5,12,D,9,2018-03-03,Kasimpasa,T1,4,2,9,4,D,3,Kasimpasa_Osmanlispor_2017
211,3,Sivasspor,10,1,0,4,0,0,1,3,11,A,6,2018-03-04,Antalyaspor,T1,5,7,6,16,A,2,Antalyaspor_Sivasspor_2017
212,0,Akhisar Belediyespor,14,2,0,3,0,0,2,5,12,A,8,2018-03-04,Fenerbahce,T1,6,5,9,12,A,3,Fenerbahce_Akhisar Belediyespor_2017
213,4,Alanyaspor,15,0,0,1,0,0,0,2,18,A,7,2018-03-04,Genclerbirligi,T1,5,3,6,4,D,1,Genclerbirligi_Alanyaspor_2017
