,HTHG,Div,AwayTeam,FTR,HTAG,Date,HTR,HomeTeam,FTHG,FTAG,idGame
241,0.0,T1,Genclerbirligi,A,1.0,2011-04-03,A,Manisaspor,0,3,Manisaspor_Genclerbirligi_2010
242,1.0,T1,Galatasaray,H,0.0,2011-04-04,H,Antalyaspor,3,0,Antalyaspor_Galatasaray_2010
243,1.0,T1,Antalyaspor,A,0.0,2011-04-08,H,Bursaspor,2,3,Bursaspor_Antalyaspor_2010
244,2.0,T1,Karabukspor,H,1.0,2011-04-09,H,Bucaspor,2,1,Bucaspor_Karabukspor_2010
245,1.0,T1,Fenerbahce,A,2.0,2011-04-09,A,Eskisehirspor,1,3,Eskisehirspor_Fenerbahce_2010
246,0.0,T1,Manisaspor,D,0.0,2011-04-09,D,Konyaspor,0,0,Konyaspor_Manisaspor_2010
247,0.0,T1,Sivasspor,A,1.0,2011-04-10,A,Buyuksehyr,1,2,Buyuksehyr_Sivasspor_2010
248,0.0,T1,Trabzonspor,A,0.0,2011-04-10,D,Galatasaray,0,1,Galatasaray_Trabzonspor_2010
249,0.0,T1,Ankaragucu,H,0.0,2011-04-10,D,Gaziantepspor,3,2,Gaziantepspor_Ankaragucu_2010
250,1.0,T1,Kayserispor,H,0.0,2011-04-10,H,Genclerbirligi,4,1,Genclerbirligi_Kayserispor_2010
251,0.0,T1,Besiktas,A,1.0,2011-04-11,A,Kasimpasa,0,1,Kasimpasa_Besiktas_2010
252,1.0,T1,Genclerbirligi,D,0.0,2011-04-15,H,Besiktas,2,2,Besiktas_Genclerbirligi_2010
253,1.0,T1,Bucaspor,H,2.0,2011-04-16,A,Ankaragucu,5,3,Ankaragucu_Bucaspor_2010
254,0.0,T1,Gaziantepspor,H,0.0,2011-04-16,D,Fenerbahce,1,0,Fenerbahce_Gaziantepspor_2010
255,0.0,T1,Buyuksehyr,A,1.0,2011-04-16,A,Karabukspor,0,2,Karabukspor_Buyuksehyr_2010
256,1.0,T1,Eskisehirspor,D,1.0,2011-04-17,D,Antalyaspor,2,2,Antalyaspor_Eskisehirspor_2010
257,0.0,T1,Konyaspor,A,0.0,2011-04-17,D,Kayserispor,1,3,Kayserispor_Konyaspor_2010
258,0.0,T1,Kasimpasa,D,0.0,2011-04-17,D,Sivasspor,1,1,Sivasspor_Kasimpasa_2010
259,1.0,T1,Bursaspor,H,0.0,2011-04-17,H,Trabzonspor,1,0,Trabzonspor_Bursaspor_2010
260,0.0,T1,Galatasaray,A,2.0,2011-04-18,A,Manisaspor,2,3,Manisaspor_Galatasaray_2010
261,0.0,T1,Trabzonspor,D,0.0,2011-04-22,D,Eskisehirspor,0,0,Eskisehirspor_Trabzonspor_2010
262,2.0,T1,Manisaspor,H,1.0,2011-04-23,H,Bursaspor,2,1,Bursaspor_Manisaspor_2010
263,1.0,T1,Kayserispor,D,1.0,2011-04-23,D,Galatasaray,1,1,Galatasaray_Kayserispor_2010
264,1.0,T1,Sivasspor,H,0.0,2011-04-23,H,Karabukspor,2,1,Karabukspor_Sivasspor_2010
265,2.0,T1,Fenerbahce,A,1.0,2011-04-24,H,Bucaspor,3,5,Bucaspor_Fenerbahce_2010
266,0.0,T1,Ankaragucu,A,2.0,2011-04-24,A,Buyuksehyr,1,4,Buyuksehyr_Ankaragucu_2010
267,0.0,T1,Antalyaspor,H,0.0,2011-04-24,D,Gaziantepspor,2,1,Gaziantepspor_Antalyaspor_2010
268,0.0,T1,Kasimpasa,D,1.0,2011-04-24,A,Genclerbirligi,1,1,Genclerbirligi_Kasimpasa_2010
269,1.0,T1,Besiktas,D,0.0,2011-04-25,H,Konyaspor,1,1,Konyaspor_Besiktas_2010
270,1.0,T1,Genclerbirligi,D,0.0,2011-04-29,H,Sivasspor,1,1,Sivasspor_Genclerbirligi_2010
271,1.0,T1,Bucaspor,D,1.0,2011-04-30,D,Antalyaspor,3,3,Antalyaspor_Bucaspor_2010
272,0.0,T1,Galatasaray,H,0.0,2011-04-30,D,Besiktas,2,0,Besiktas_Galatasaray_2010
273,1.0,T1,Konyaspor,D,0.0,2011-04-30,H,Kasimpasa,2,2,Kasimpasa_Konyaspor_2010
274,2.0,T1,Buyuksehyr,H,0.0,2011-05-01,H,Fenerbahce,2,0,Fenerbahce_Buyuksehyr_2010
275,0.0,T1,Bursaspor,H,0.0,2011-05-01,D,Kayserispor,1,0,Kayserispor_Bursaspor_2010
276,0.0,T1,Eskisehirspor,H,0.0,2011-05-01,D,Manisaspor,3,1,Manisaspor_Eskisehirspor_2010
277,3.0,T1,Gaziantepspor,H,0.0,2011-05-01,H,Trabzonspor,3,0,Trabzonspor_Gaziantepspor_2010
278,0.0,T1,Karabukspor,D,0.0,2011-05-02,D,Ankaragucu,0,0,Ankaragucu_Karabukspor_2010
