,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
356,1,Lecce,15,1,1,1,1,0,0,4,13,D,3,2012-05-02,Juventus,I1,1,7,6,17,H,2,Juventus_Lecce_2011
357,2,Siena,11,1,0,1,0,0,1,2,13,D,7,2012-05-02,Lazio,I1,2,8,10,25,A,3,Lazio_Siena_2011
358,0,Atalanta,12,2,0,0,1,0,0,0,5,H,9,2012-05-02,Milan,I1,2,9,4,22,H,2,Milan_Atalanta_2011
359,3,Inter,11,3,0,1,0,0,1,2,9,H,11,2012-05-02,Parma,I1,4,4,6,20,A,7,Parma_Inter_2011
360,3,Fiorentina,18,0,0,1,0,0,1,3,13,A,6,2012-05-05,Lecce,I1,3,3,8,17,A,5,Lecce_Fiorentina_2011
361,4,Catania,19,2,0,2,0,0,0,2,11,D,12,2012-05-05,Roma,I1,6,11,15,30,D,4,Roma_Catania_2011
362,3,Lazio,15,0,0,2,0,1,1,2,22,A,8,2012-05-06,Atalanta,I1,5,2,6,13,A,4,Atalanta_Lazio_2011
363,3,Napoli,22,2,1,0,1,1,0,7,16,H,18,2012-05-06,Bologna,I1,3,6,4,10,H,5,Bologna_Napoli_2011
364,3,Juventus,18,0,0,2,0,0,1,3,14,A,15,2012-05-06,Cagliari,I1,7,0,2,4,A,6,Cagliari_Juventus_2011
365,4,Milan,10,4,0,2,1,0,1,3,18,H,16,2012-05-06,Inter,I1,6,10,10,20,D,4,Inter_Milan_2011
366,2,Cesena,12,3,0,0,1,0,0,2,22,H,18,2012-05-06,Novara,I1,3,6,2,19,H,3,Novara_Cesena_2011
367,4,Chievo,18,4,0,4,2,0,2,1,15,D,16,2012-05-06,Palermo,I1,7,10,8,25,D,3,Palermo_Chievo_2011
368,2,Parma,14,0,0,2,0,0,0,0,8,A,12,2012-05-06,Siena,I1,2,0,3,8,D,8,Siena_Parma_2011
369,2,Genoa,11,2,2,0,1,0,0,0,8,H,3,2012-05-06,Udinese,I1,1,8,9,25,H,1,Udinese_Genoa_2011
370,0,Udinese,14,0,0,2,0,0,1,5,21,A,17,2012-05-13,Catania,I1,6,3,4,15,A,4,Catania_Udinese_2011
371,1,Roma,12,2,0,3,1,0,2,0,5,A,19,2012-05-13,Cesena,I1,8,5,4,13,A,12,Cesena_Roma_2011
372,2,Lecce,18,1,1,0,0,0,0,3,14,H,15,2012-05-13,Chievo,I1,5,6,2,13,D,8,Chievo_Lecce_2011
373,1,Cagliari,17,0,0,0,0,0,0,2,11,D,11,2012-05-13,Fiorentina,I1,3,0,2,4,D,12,Fiorentina_Cagliari_2011
374,1,Palermo,9,2,0,0,0,0,0,1,9,H,12,2012-05-13,Genoa,I1,4,2,6,7,D,1,Genoa_Palermo_2011
375,0,Atalanta,11,3,0,1,2,0,0,0,7,H,10,2012-05-13,Juventus,I1,2,6,4,12,H,5,Juventus_Atalanta_2011
376,3,Inter,12,3,0,1,0,0,1,0,16,H,11,2012-05-13,Lazio,I1,4,6,4,12,A,10,Lazio_Inter_2011
377,1,Novara,15,2,0,1,0,0,1,0,11,H,13,2012-05-13,Milan,I1,3,3,11,19,A,4,Milan_Novara_2011
378,4,Siena,8,2,0,1,2,0,1,4,19,H,10,2012-05-13,Napoli,I1,4,5,10,14,H,5,Napoli_Siena_2011
379,2,Bologna,14,1,0,0,1,0,0,2,16,H,7,2012-05-13,Parma,I1,0,6,10,18,H,7,Parma_Bologna_2011
