,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,Sampdoria,18.0,2,0,1,2,G. Paparesta,0,0,4,23.0,H,9.0,2005-08-27,Fiorentina,I1,4.0,9.0,9.0,15.0,H,3.0,Fiorentina_Sampdoria_2005
1,2,Lecce,27.0,2,0,1,1,G. Rocchi,0,1,3,21.0,H,6.0,2005-08-27,Livorno,I1,5.0,7.0,9.0,17.0,D,2.0,Livorno_Lecce_2005
2,2,Milan,22.0,1,0,1,0,M. De Santis,0,0,1,16.0,D,16.0,2005-08-28,Ascoli,I1,9.0,3.0,0.0,8.0,D,5.0,Ascoli_Milan_2005
3,1,Treviso,13.0,3,0,0,1,P. Tagliavento,0,0,3,20.0,H,7.0,2005-08-28,Inter,I1,3.0,9.0,6.0,16.0,H,1.0,Inter_Treviso_2005
4,1,Chievo,16.0,1,0,0,1,M. Trefoloni,0,0,2,12.0,H,2.0,2005-08-28,Juventus,I1,0.0,7.0,6.0,16.0,H,2.0,Juventus_Chievo_2005
5,3,Messina,18.0,1,0,0,1,P. Dondarini,0,0,1,20.0,H,16.0,2005-08-28,Lazio,I1,7.0,4.0,6.0,7.0,H,10.0,Lazio_Messina_2005
6,3,Palermo,18.0,1,0,1,0,T. Pieri,0,1,0,9.0,D,14.0,2005-08-28,Parma,I1,9.0,3.0,3.0,8.0,A,8.0,Parma_Palermo_2005
7,0,Roma,19.0,0,0,3,0,R. Rosetti,1,1,0,18.0,A,13.0,2005-08-28,Reggina,I1,9.0,3.0,2.0,5.0,A,4.0,Reggina_Roma_2005
8,2,Cagliari,21.0,2,0,1,1,C. Brighi,1,1,2,19.0,H,9.0,2005-08-28,Siena,I1,6.0,6.0,4.0,10.0,D,4.0,Siena_Cagliari_2005
9,2,Empoli,20.0,1,0,0,1,A. De Marco,0,0,1,12.0,H,8.0,2005-08-28,Udinese,I1,4.0,8.0,6.0,12.0,H,5.0,Udinese_Empoli_2005
10,1,Siena,7.0,3,0,1,2,S. Farina,0,1,2,16.0,H,7.0,2005-09-10,Milan,I1,3.0,11.0,3.0,21.0,H,4.0,Milan_Siena_2005
11,2,Inter,15.0,3,0,2,1,G. Paparesta,0,0,1,14.0,H,15.0,2005-09-10,Palermo,I1,6.0,13.0,9.0,24.0,H,6.0,Palermo_Inter_2005
12,2,Lazio,12.0,1,0,1,1,P. Bertini,1,1,2,16.0,D,6.0,2005-09-11,Cagliari,I1,3.0,3.0,6.0,9.0,D,6.0,Cagliari_Lazio_2005
13,1,Parma,16.0,1,0,0,1,O. Girardi,0,0,1,15.0,H,5.0,2005-09-11,Chievo,I1,2.0,8.0,9.0,12.0,H,2.0,Chievo_Parma_2005
14,1,Juventus,16.0,0,0,4,0,A. Dattilo,0,3,0,23.0,A,13.0,2005-09-11,Empoli,I1,8.0,1.0,3.0,9.0,A,6.0,Empoli_Juventus_2005
15,2,Ascoli,18.0,0,1,0,0,A. Romeo,0,0,3,9.0,D,6.0,2005-09-11,Lecce,I1,4.0,6.0,9.0,9.0,D,2.0,Lecce_Ascoli_2005
16,3,Fiorentina,19.0,2,0,2,0,P. Rodomonti,0,2,3,20.0,D,12.0,2005-09-11,Messina,I1,7.0,4.0,7.0,8.0,A,7.0,Messina_Fiorentina_2005
17,0,Udinese,15.0,0,0,1,0,D. Messina,0,1,4,20.0,A,10.0,2005-09-11,Roma,I1,5.0,4.0,7.0,13.0,A,4.0,Roma_Udinese_2005
18,1,Reggina,22.0,3,1,2,1,L. Palanca,0,1,3,24.0,H,11.0,2005-09-11,Sampdoria,I1,7.0,7.0,5.0,16.0,D,5.0,Sampdoria_Reggina_2005
19,3,Livorno,14.0,0,0,1,0,M. Saccani,0,0,2,19.0,A,7.0,2005-09-11,Treviso,I1,4.0,2.0,3.0,4.0,D,6.0,Treviso_Livorno_2005
20,1,Lecce,16.0,3,0,0,2,T. Pieri,0,0,1,19.0,H,7.0,2005-09-17,Inter,I1,5.0,8.0,5.0,12.0,H,3.0,Inter_Lecce_2005
21,1,Empoli,22.0,1,0,0,1,M. Bergonzi,0,0,0,19.0,H,16.0,2005-09-17,Parma,I1,3.0,12.0,10.0,27.0,H,7.0,Parma_Empoli_2005
22,1,Messina,20.0,1,0,1,1,A. Giannoccaro,0,1,4,25.0,D,8.0,2005-09-18,Cagliari,I1,5.0,8.0,8.0,16.0,D,4.0,Cagliari_Messina_2005
23,0,Udinese,24.0,4,0,2,2,P. Dondarini,0,1,3,21.0,H,14.0,2005-09-18,Fiorentina,I1,9.0,6.0,4.0,11.0,H,3.0,Fiorentina_Udinese_2005
24,2,Ascoli,18.0,2,0,1,2,P. Tagliavento,0,1,2,16.0,H,12.0,2005-09-18,Juventus,I1,5.0,7.0,8.0,17.0,H,6.0,Juventus_Ascoli_2005
25,0,Treviso,23.0,3,1,1,2,P. Mazzoleni,0,1,0,23.0,H,5.0,2005-09-18,Lazio,I1,1.0,6.0,7.0,13.0,H,1.0,Lazio_Treviso_2005
26,2,Roma,17.0,0,0,0,0,M. Trefoloni,0,0,2,13.0,D,8.0,2005-09-18,Livorno,I1,5.0,4.0,5.0,6.0,D,3.0,Livorno_Roma_2005
27,3,Chievo,11.0,1,1,3,1,S. Racalbuto,0,1,2,12.0,A,8.0,2005-09-18,Reggina,I1,5.0,8.0,5.0,16.0,D,3.0,Reggina_Chievo_2005
28,3,Milan,20.0,2,0,1,1,P. Bertini,0,1,1,16.0,H,12.0,2005-09-18,Sampdoria,I1,5.0,4.0,4.0,7.0,D,7.0,Sampdoria_Milan_2005
29,3,Palermo,13.0,1,0,2,1,G. Rocchi,0,1,2,15.0,A,14.0,2005-09-18,Siena,I1,10.0,3.0,4.0,10.0,D,6.0,Siena_Palermo_2005
30,1,Siena,28.0,1,0,1,0,N. Stefanini,0,1,2,19.0,D,8.0,2005-09-21,Ascoli,I1,4.0,2.0,3.0,7.0,A,3.0,Ascoli_Siena_2005
31,2,Inter,22.0,0,0,1,0,E. Morganti,0,0,2,18.0,A,17.0,2005-09-21,Chievo,I1,10.0,2.0,1.0,6.0,D,7.0,Chievo_Inter_2005
32,3,Cagliari,22.0,3,0,1,0,N. Rizzoli,0,1,2,16.0,H,9.0,2005-09-21,Empoli,I1,5.0,4.0,8.0,8.0,A,5.0,Empoli_Cagliari_2005
33,3,Fiorentina,18.0,1,0,3,1,M. De Santis,1,0,1,16.0,A,14.0,2005-09-21,Lecce,I1,9.0,4.0,2.0,10.0,H,6.0,Lecce_Fiorentina_2005
34,1,Livorno,16.0,0,0,0,0,R. Rosetti,0,0,0,13.0,D,5.0,2005-09-21,Messina,I1,3.0,7.0,7.0,10.0,D,1.0,Messina_Livorno_2005
35,0,Lazio,17.0,2,0,0,2,D. Messina,0,0,1,14.0,H,8.0,2005-09-21,Milan,I1,3.0,7.0,5.0,12.0,H,2.0,Milan_Lazio_2005
36,2,Reggina,17.0,1,0,0,0,P. Rodomonti,0,0,4,19.0,H,8.0,2005-09-21,Palermo,I1,3.0,10.0,10.0,16.0,D,5.0,Palermo_Reggina_2005
37,2,Parma,17.0,4,0,1,3,D. Tombolini,0,1,3,14.0,H,8.0,2005-09-21,Roma,I1,2.0,12.0,7.0,18.0,H,6.0,Roma_Parma_2005
38,3,Sampdoria,15.0,0,0,2,0,L. Banti,0,1,0,12.0,A,9.0,2005-09-21,Treviso,I1,6.0,4.0,3.0,11.0,A,5.0,Treviso_Sampdoria_2005
39,3,Juventus,24.0,0,0,1,0,N. Ayroldi,0,1,1,18.0,A,7.0,2005-09-21,Udinese,I1,3.0,3.0,3.0,6.0,A,1.0,Udinese_Juventus_2005
40,3,Juventus,27.0,1,0,2,1,T. Pieri,0,1,3,27.0,A,8.0,2005-09-24,Parma,I1,6.0,3.0,2.0,5.0,D,5.0,Parma_Juventus_2005
41,4,Udinese,20.0,2,1,0,1,M. Gabriele,0,0,3,26.0,H,7.0,2005-09-24,Reggina,I1,3.0,4.0,4.0,6.0,H,7.0,Reggina_Udinese_2005
42,2,Roma,12.0,0,0,0,0,A. Dattilo,0,0,2,17.0,D,12.0,2005-09-25,Cagliari,I1,5.0,3.0,2.0,8.0,D,3.0,Cagliari_Roma_2005
43,1,Lecce,21.0,1,0,0,0,O. Pantana,0,0,4,24.0,H,12.0,2005-09-25,Empoli,I1,2.0,2.0,3.0,5.0,D,5.0,Empoli_Lecce_2005
44,2,Fiorentina,26.0,1,0,0,1,S. Farina,0,0,3,20.0,H,4.0,2005-09-25,Inter,I1,2.0,7.0,6.0,17.0,H,3.0,Inter_Fiorentina_2005
45,2,Palermo,23.0,4,0,2,0,M. Saccani,0,1,3,21.0,H,10.0,2005-09-25,Lazio,I1,4.0,5.0,8.0,8.0,A,7.0,Lazio_Palermo_2005
