,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,12:30:00,1,Rangers,18,0,0,1,0,B Madden,1,1,0,14,A,15,2020-08-01,Aberdeen,SC0,4,0,2,4,A,6,Aberdeen_Rangers_2020
1,15:00:00,1,St Johnstone,12,1,1,1,1,K Clancy,0,0,2,8,D,9,2020-08-01,Dundee United,SC0,4,4,3,16,H,3,Dundee United_St Johnstone_2020
2,15:00:00,1,Kilmarnock,13,0,2,1,2,J Beaton,0,1,1,12,H,12,2020-08-01,Hibernian,SC0,2,3,5,11,H,4,Hibernian_Kilmarnock_2020
3,15:00:00,3,Livingston,16,0,1,0,1,D Robertson,0,0,2,16,H,12,2020-08-01,St Mirren,SC0,3,2,2,6,H,5,St Mirren_Livingston_2020
4,16:30:00,1,Hamilton,9,0,5,1,2,W Collum,0,1,3,8,H,7,2020-08-02,Celtic,SC0,2,15,11,25,H,8,Celtic_Hamilton_2020
5,19:45:00,3,Motherwell,24,1,1,0,1,N Walsh,0,0,1,12,H,15,2020-08-03,Ross County,SC0,1,3,5,9,H,8,Ross County_Motherwell_2020
6,15:00:00,0,Ross County,14,0,0,1,0,B Madden,0,0,1,15,A,10,2020-08-08,Hamilton,SC0,6,4,9,9,D,1,Hamilton_Ross County_2020
7,15:00:00,1,Hibernian,17,0,1,4,0,E Anderson,0,3,1,11,A,18,2020-08-08,Livingston,SC0,8,3,5,12,A,4,Livingston_Hibernian_2020
8,15:00:00,2,Dundee United,11,0,0,1,0,S McLean,0,0,0,12,A,11,2020-08-08,Motherwell,SC0,3,4,7,18,D,8,Motherwell_Dundee United_2020
9,15:00:00,0,St Mirren,9,0,3,0,1,A Dallas,0,0,2,8,H,4,2020-08-09,Rangers,SC0,2,12,14,28,H,1,Rangers_St Mirren_2020
10,16:30:00,2,Celtic,13,0,1,1,1,A Muir,0,1,1,14,D,17,2020-08-09,Kilmarnock,SC0,2,1,1,6,D,2,Kilmarnock_Celtic_2020
11,18:00:00,3,Hibernian,16,0,0,1,0,D Robertson,0,0,2,13,A,8,2020-08-11,Dundee United,SC0,3,1,7,10,D,3,Dundee United_Hibernian_2020
12,19:45:00,2,Livingston,13,0,2,2,2,C Steven,0,1,1,18,D,15,2020-08-12,Motherwell,SC0,5,3,4,9,H,6,Motherwell_Livingston_2020
13,19:45:00,0,St Johnstone,10,0,3,0,2,E Anderson,0,0,2,10,H,4,2020-08-12,Rangers,SC0,2,5,6,15,H,2,Rangers_St Johnstone_2020
14,19:45:00,3,Kilmarnock,18,0,2,2,1,G Duncan,0,0,2,11,D,12,2020-08-12,Ross County,SC0,5,5,3,14,H,3,Ross County_Kilmarnock_2020
15,15:00:00,0,St Mirren,6,0,0,1,0,S Kirkland,0,1,3,12,A,19,2020-08-15,Hamilton,SC0,7,5,2,12,A,9,Hamilton_St Mirren_2020
16,15:00:00,1,St Johnstone,10,0,1,2,0,A Dallas,1,0,2,9,A,17,2020-08-15,Kilmarnock,SC0,5,4,11,11,D,1,Kilmarnock_St Johnstone_2020
17,15:00:00,2,Dundee United,13,0,1,2,1,C Napier,0,1,1,13,A,13,2020-08-15,Ross County,SC0,4,2,5,12,D,7,Ross County_Dundee United_2020
18,17:30:00,0,Motherwell,10,0,0,0,0,G Aitken,0,0,1,17,D,17,2020-08-15,Hibernian,SC0,2,2,6,12,D,10,Hibernian_Motherwell_2020
19,16:30:00,0,Rangers,10,0,0,0,0,N Walsh,0,0,1,7,D,23,2020-08-16,Livingston,SC0,3,1,0,2,D,9,Livingston_Rangers_2020
20,19:30:00,1,Aberdeen,17,0,0,1,0,W Collum,0,0,3,13,A,6,2020-08-20,St Johnstone,SC0,3,1,5,11,D,1,St Johnstone_Aberdeen_2020
21,15:00:00,2,Hamilton,17,0,0,1,0,A Muir,0,0,1,12,A,8,2020-08-22,Motherwell,SC0,2,4,13,17,D,5,Motherwell_Hamilton_2020
22,15:00:00,1,Kilmarnock,18,0,2,0,0,K Clancy,0,0,1,9,H,2,2020-08-22,Rangers,SC0,0,10,9,26,D,2,Rangers_Kilmarnock_2020
23,15:00:00,0,Ross County,11,0,1,1,1,M Roncone,1,0,2,12,D,18,2020-08-22,St Mirren,SC0,2,6,3,12,H,4,St Mirren_Ross County_2020
24,17:30:00,2,Celtic,18,0,0,1,0,A Dallas,0,0,2,10,A,23,2020-08-22,Dundee United,SC0,9,1,6,7,D,10,Dundee United_Celtic_2020
25,15:00:00,0,Livingston,11,0,2,1,0,S McLean,0,0,2,16,H,10,2020-08-23,Aberdeen,SC0,2,5,1,7,D,3,Aberdeen_Livingston_2020
26,16:30:00,2,Hibernian,16,0,0,1,0,J Beaton,1,0,2,14,A,10,2020-08-23,St Johnstone,SC0,3,0,5,10,D,4,St Johnstone_Hibernian_2020
27,15:00:00,3,Dundee United,13,0,4,0,2,D Munro,0,0,1,12,H,18,2020-08-29,Kilmarnock,SC0,1,9,2,15,H,10,Kilmarnock_Dundee United_2020
28,15:00:00,1,Ross County,15,1,1,0,0,J Beaton,0,0,3,16,H,4,2020-08-29,Livingston,SC0,1,3,14,9,D,5,Livingston_Ross County_2020
29,15:00:00,0,St Mirren,7,0,1,0,0,K Clancy,0,0,1,12,H,5,2020-08-29,St Johnstone,SC0,2,6,11,21,D,2,St Johnstone_St Mirren_2020
30,17:30:00,1,Rangers,11,0,0,2,0,W Collum,1,2,2,12,A,24,2020-08-29,Hamilton,SC0,6,2,6,5,A,3,Hamilton_Rangers_2020
31,15:00:00,1,Motherwell,11,0,3,0,1,D Robertson,0,0,2,10,H,5,2020-08-30,Celtic,SC0,1,6,7,17,H,3,Celtic_Motherwell_2020
32,16:30:00,0,Aberdeen,11,0,0,1,0,N Walsh,0,1,1,18,A,14,2020-08-30,Hibernian,SC0,7,3,6,9,A,4,Hibernian_Aberdeen_2020
33,15:00:00,0,Kilmarnock,8,0,1,0,1,B Madden,0,0,1,14,H,7,2020-09-12,Aberdeen,SC0,1,3,10,13,H,10,Aberdeen_Kilmarnock_2020
34,15:00:00,2,Hamilton,20,0,1,2,1,D Robertson,0,0,2,13,A,12,2020-09-12,Livingston,SC0,4,3,8,18,H,2,Livingston_Hamilton_2020
35,15:00:00,4,St Johnstone,16,0,1,0,1,E Anderson,0,0,0,11,H,12,2020-09-12,Motherwell,SC0,3,2,2,6,H,3,Motherwell_St Johnstone_2020
36,15:00:00,1,Dundee United,4,0,4,0,2,K Clancy,0,0,3,16,H,6,2020-09-12,Rangers,SC0,1,9,6,25,H,2,Rangers_Dundee United_2020
37,15:00:00,1,Celtic,13,0,0,5,0,A Dallas,0,2,1,11,A,18,2020-09-12,Ross County,SC0,10,5,4,9,A,7,Ross County_Celtic_2020
38,15:00:00,2,Hibernian,14,0,0,3,0,W Collum,0,2,2,14,A,15,2020-09-12,St Mirren,SC0,5,3,8,15,A,7,St Mirren_Hibernian_2020
39,19:45:00,3,Celtic,13,0,1,2,1,J Beaton,0,2,1,11,A,17,2020-09-16,St Mirren,SC0,9,2,4,8,A,3,St Mirren_Celtic_2020
40,15:00:00,1,Livingston,8,0,3,2,2,G Duncan,0,1,1,11,H,7,2020-09-19,Celtic,SC0,3,6,3,17,H,1,Celtic_Livingston_2020
41,15:00:00,3,St Mirren,11,1,2,1,1,C Steven,0,0,1,13,H,16,2020-09-19,Dundee United,SC0,4,8,8,17,H,4,Dundee United_St Mirren_2020
42,15:00:00,1,Hamilton,10,0,2,1,1,N Walsh,1,1,3,12,H,15,2020-09-19,Kilmarnock,SC0,4,8,6,17,D,8,Kilmarnock_Hamilton_2020
43,15:00:00,2,Ross County,15,0,0,1,0,D Munro,0,1,3,18,A,5,2020-09-19,St Johnstone,SC0,2,1,9,11,A,3,St Johnstone_Ross County_2020
44,12:00:00,4,Rangers,17,0,2,2,1,D Robertson,0,1,1,14,D,19,2020-09-20,Hibernian,SC0,7,5,6,7,D,5,Hibernian_Rangers_2020
45,15:00:00,3,Motherwell,13,0,0,3,0,J Beaton,0,3,0,15,A,9,2020-09-20,Aberdeen,SC0,3,0,4,9,A,5,Aberdeen_Motherwell_2020
46,15:00:00,4,Dundee United,18,0,1,1,0,A Muir,0,1,1,18,D,12,2020-09-26,Hamilton,SC0,2,1,7,12,A,5,Hamilton_Dundee United_2020
47,15:00:00,2,St Johnstone,18,0,2,0,2,C Napier,0,0,0,11,H,13,2020-09-26,Livingston,SC0,2,2,8,8,H,7,Livingston_St Johnstone_2020
48,15:00:00,5,Kilmarnock,16,0,0,1,0,D Munro,0,1,0,12,A,5,2020-09-26,St Mirren,SC0,3,0,5,6,A,6,St Mirren_Kilmarnock_2020
49,12:00:00,1,Rangers,14,0,1,5,0,B Madden,0,3,0,8,A,16,2020-09-27,Motherwell,SC0,9,1,7,7,A,4,Motherwell_Rangers_2020
