,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,1,St Johnstone,7,0,0,0,0,S Conroy,1,0,2,13,D,6,2011-07-23,Aberdeen,SC0,2,4,14,9,D,5,Aberdeen_St Johnstone_2011
1,3,Inverness C,12,3,0,0,2,S McLean,0,0,1,12,H,11,2011-07-23,Motherwell,SC0,2,7,5,12,H,6,Motherwell_Inverness C_2011
2,1,Hearts,9,1,0,1,0,C Murray,0,1,1,13,D,10,2011-07-23,Rangers,SC0,8,4,4,7,A,4,Rangers_Hearts_2011
3,1,Kilmarnock,7,1,0,1,0,A Muir,0,0,1,8,D,9,2011-07-24,Dundee United,SC0,4,4,13,11,D,10,Dundee United_Kilmarnock_2011
4,1,Celtic,15,0,0,2,0,I Brines,0,1,0,15,A,6,2011-07-24,Hibernian,SC0,4,0,0,0,A,6,Hibernian_Celtic_2011
5,3,St Mirren,17,0,0,0,0,S O'Reilly,0,0,2,18,D,16,2011-07-25,Dunfermline,SC0,7,1,2,5,D,9,Dunfermline_St Mirren_2011
6,0,Hibernian,3,0,0,1,0,S Conroy,0,0,1,9,A,5,2011-07-30,Inverness C,SC0,4,2,8,10,D,4,Inverness C_Hibernian_2011
7,0,Motherwell,5,0,0,0,0,G Salmond,0,0,0,6,D,5,2011-07-30,Kilmarnock,SC0,3,4,7,10,D,14,Kilmarnock_Motherwell_2011
8,1,Rangers,9,0,0,2,0,A Muir,0,1,1,15,A,12,2011-07-30,St Johnstone,SC0,10,4,2,10,A,6,St Johnstone_Rangers_2011
9,3,Aberdeen,10,1,0,0,0,E Norris,0,0,4,17,H,7,2011-07-30,St Mirren,SC0,5,5,7,12,D,1,St Mirren_Aberdeen_2011
10,1,Dundee United,8,0,0,1,0,B Winter,0,1,1,10,A,5,2011-07-31,Hearts,SC0,2,2,9,8,A,6,Hearts_Dundee United_2011
11,1,St Mirren,9,1,1,1,0,C Allan,0,1,3,9,D,7,2011-08-06,Dundee United,SC0,4,10,9,26,A,1,Dundee United_St Mirren_2011
12,2,Inverness C,12,3,0,3,1,S Finnie,0,0,3,12,D,3,2011-08-06,Dunfermline,SC0,3,3,7,4,H,7,Dunfermline_Inverness C_2011
13,2,Celtic,11,0,0,1,0,C Murray,0,0,1,9,A,25,2011-08-07,Aberdeen,SC0,13,3,5,6,D,5,Aberdeen_Celtic_2011
14,1,Hearts,12,1,1,0,0,S O'Reilly,1,0,1,9,H,9,2011-08-07,Motherwell,SC0,6,9,10,12,D,7,Motherwell_Hearts_2011
15,1,Dundee United,10,5,0,1,2,C Thomson,0,1,3,14,H,6,2011-08-13,Celtic,SC0,3,9,5,17,H,7,Celtic_Dundee United_2011
16,1,Aberdeen,11,3,0,0,2,S Conroy,0,0,1,18,H,7,2011-08-13,Hearts,SC0,1,6,1,7,H,3,Hearts_Aberdeen_2011
17,2,Rangers,11,0,1,2,0,E Norris,1,0,2,9,A,8,2011-08-13,Inverness C,SC0,4,3,1,6,D,5,Inverness C_Rangers_2011
18,1,Dunfermline,12,0,1,1,0,G Salmond,0,1,2,11,A,5,2011-08-13,St Johnstone,SC0,3,3,6,7,A,3,St Johnstone_Dunfermline_2011
19,2,Motherwell,7,0,0,1,0,I Brines,0,0,2,15,A,6,2011-08-13,St Mirren,SC0,5,3,6,3,D,5,St Mirren_Motherwell_2011
20,0,Hibernian,6,4,0,1,2,S McLean,0,1,3,20,H,10,2011-08-14,Kilmarnock,SC0,4,8,3,15,H,3,Kilmarnock_Hibernian_2011
21,0,Inverness C,12,2,0,1,2,C Allan,0,0,3,6,H,11,2011-08-20,Aberdeen,SC0,6,7,6,14,H,6,Aberdeen_Inverness C_2011
22,1,Dunfermline,12,0,0,1,0,S O'Reilly,0,0,1,14,A,3,2011-08-20,Dundee United,SC0,1,4,13,7,D,1,Dundee United_Dunfermline_2011
23,1,St Mirren,16,1,0,2,1,A Muir,0,2,1,9,A,6,2011-08-20,Hibernian,SC0,3,1,6,9,A,2,Hibernian_St Mirren_2011
24,0,St Johnstone,8,0,0,1,0,B Winter,0,0,3,6,A,5,2011-08-21,Celtic,SC0,3,7,9,17,D,7,Celtic_St Johnstone_2011
25,0,Hearts,9,0,0,0,0,C Murray,0,0,4,11,D,12,2011-08-21,Kilmarnock,SC0,8,1,2,6,D,7,Kilmarnock_Hearts_2011
26,1,Rangers,8,0,0,3,0,C Thomson,0,2,2,11,A,16,2011-08-21,Motherwell,SC0,9,5,10,5,A,6,Motherwell_Rangers_2011
27,2,Motherwell,12,2,0,4,0,E Norris,0,2,1,6,A,6,2011-08-27,Dunfermline,SC0,4,2,3,8,A,3,Dunfermline_Motherwell_2011
28,3,Kilmarnock,17,2,0,1,1,B Madden,0,1,2,15,H,9,2011-08-27,Inverness C,SC0,4,5,4,11,D,5,Inverness C_Kilmarnock_2011
29,2,Dundee United,12,3,0,3,3,C Richmond,0,1,0,13,D,13,2011-08-27,St Johnstone,SC0,6,7,8,10,H,6,St Johnstone_Dundee United_2011
30,1,Hibernian,20,2,0,0,1,C Thomson,0,0,5,15,H,9,2011-08-28,Hearts,SC0,5,7,8,15,H,3,Hearts_Hibernian_2011
31,2,Aberdeen,10,2,0,0,1,I Brines,0,0,1,7,H,8,2011-08-28,Rangers,SC0,4,7,3,15,H,2,Rangers_Aberdeen_2011
32,0,Celtic,12,0,0,2,0,W Collum,0,2,0,13,A,13,2011-08-28,St Mirren,SC0,7,8,10,13,A,6,St Mirren_Celtic_2011
33,1,Motherwell,10,4,0,0,2,A Muir,0,0,2,8,H,4,2011-09-10,Celtic,SC0,1,8,6,16,H,8,Celtic_Motherwell_2011
34,2,Rangers,9,0,0,1,0,C Murray,1,0,3,7,A,13,2011-09-10,Dundee United,SC0,6,5,10,13,D,10,Dundee United_Rangers_2011
35,1,Hearts,15,1,0,1,0,W Collum,0,0,2,12,D,5,2011-09-10,Inverness C,SC0,3,3,2,6,D,6,Inverness C_Hearts_2011
36,1,Dunfermline,1,3,0,2,2,B Winter,0,1,3,4,H,6,2011-09-10,Kilmarnock,SC0,2,4,3,7,H,5,Kilmarnock_Dunfermline_2011
37,3,St Johnstone,10,0,0,0,0,S McLean,0,0,4,17,D,8,2011-09-10,St Mirren,SC0,1,4,4,10,D,2,St Mirren_St Johnstone_2011
38,4,Aberdeen,10,0,0,0,0,S O'Reilly,0,0,1,11,D,7,2011-09-11,Hibernian,SC0,4,7,6,12,D,10,Hibernian_Aberdeen_2011
39,2,Kilmarnock,12,2,0,2,1,I Brines,0,2,3,15,D,4,2011-09-17,Aberdeen,SC0,3,5,8,12,A,3,Aberdeen_Kilmarnock_2011
40,1,Inverness C,10,3,0,1,2,S Conroy,0,1,2,11,H,8,2011-09-17,Dundee United,SC0,3,5,7,7,H,8,Dundee United_Inverness C_2011
41,0,Hibernian,7,2,0,2,0,C Murray,0,1,3,9,D,16,2011-09-17,Dunfermline,SC0,10,5,6,11,A,8,Dunfermline_Hibernian_2011
