,BbMxA,BbMxD,BbAv<2.5,WHD,IWH,LBA,SBH,SBA,SJA,BbMxH,BWD,BbAvA,WHA,B365A,SJD,BSD,LBH,GBD,VCH,GBA,B365D,BbAvH,BbOU,B365H,BbAHh,BbMxAHA,WHH,BbMxAHH,BWA,BbAv>2.5,BSA,Bb1X2,BWH,IWA,BbMx>2.5,VCD,BbAvAHA,SJH,GBH,BbAH,SBD,BbAvAHH,VCA,BSH,IWD,LBD,BbAvD,BbMx<2.5,HomeTeam,AwayTeam,idGame
72,14.44,5.8,2.2,5.0,1.25,10.0,1.22,10.0,10.0,1.28,5.25,11.11,11.0,12.0,5.0,5.0,1.22,5.0,1.25,10.0,5.5,1.24,31,1.25,-1.5,2.08,1.2,1.86,9.5,1.6,11.0,35,1.23,9.5,1.68,5.0,2.03,1.25,1.25,19,5.5,1.83,12.0,1.25,4.8,5.0,5.3,2.3,Celtic,St Mirren,Celtic_St Mirren_2009
73,6.9,4.05,1.71,3.6,1.55,5.5,1.55,5.75,5.5,1.62,3.65,5.96,5.5,6.5,3.5,3.5,1.5,3.5,1.53,5.75,3.6,1.57,31,1.57,0.0,5.0,1.5,1.22,5.5,2.05,6.5,35,1.53,5.0,2.18,3.6,4.45,1.57,1.57,18,3.5,1.17,6.5,1.53,3.7,3.6,3.6,1.8,Hibernian,Falkirk,Hibernian_Falkirk_2009
74,2.8,3.3,1.62,3.1,2.55,2.6,2.5,2.55,2.5,2.87,3.25,2.57,2.5,2.6,3.25,3.25,2.38,3.2,2.6,2.55,3.2,2.62,31,2.7,0.0,1.91,2.5,2.02,2.35,2.18,2.5,35,2.65,2.55,2.37,3.2,1.85,2.5,2.55,19,3.25,1.92,2.6,2.6,3.1,3.2,3.18,1.67,Kilmarnock,Hearts,Kilmarnock_Hearts_2009
75,3.0,3.3,1.62,3.1,2.55,2.5,2.35,2.75,2.5,2.72,3.25,2.7,2.5,2.7,3.25,3.25,2.5,3.2,2.4,2.6,3.2,2.51,29,2.6,0.0,2.02,2.5,1.93,2.65,2.17,2.6,34,2.35,2.55,2.36,3.25,1.93,2.5,2.5,18,3.2,1.85,2.8,2.5,3.1,3.2,3.18,1.67,Motherwell,Dundee United,Motherwell_Dundee United_2009
76,4.6,3.65,1.77,3.4,1.85,3.6,1.8,4.0,3.75,1.92,3.4,4.07,4.0,4.5,3.25,3.3,1.83,3.3,1.75,4.0,3.4,1.85,31,1.83,0.0,3.5,1.73,1.4,3.6,1.97,3.75,35,1.85,3.8,2.1,3.4,2.94,1.9,1.85,18,3.4,1.35,4.6,1.91,3.2,3.3,3.35,1.87,St Johnstone,Hamilton,St Johnstone_Hamilton_2009
77,10.0,5.09,2.08,4.0,1.37,8.0,1.33,8.5,7.0,1.37,4.5,8.84,8.0,9.0,4.33,4.33,1.4,4.33,1.33,8.0,4.5,1.35,31,1.36,0.0,7.0,1.33,1.13,8.5,1.68,8.5,35,1.3,7.5,1.75,4.5,6.64,1.36,1.35,20,4.33,1.09,9.0,1.36,4.2,4.5,4.43,2.2,Celtic,Aberdeen,Celtic_Aberdeen_2009
78,6.0,3.8,1.69,3.5,1.55,6.0,1.55,5.75,5.5,1.7,3.75,5.45,5.0,5.5,3.5,3.5,1.62,3.5,1.67,5.25,3.5,1.61,31,1.67,0.0,4.35,1.57,1.24,5.0,2.07,5.5,34,1.55,5.0,2.22,3.3,4.01,1.57,1.6,19,3.5,1.21,5.5,1.62,3.7,3.6,3.57,1.76,Dundee United,St Mirren,Dundee United_St Mirren_2009
79,1.47,4.57,2.09,4.0,6.5,1.44,7.0,1.4,1.44,8.74,4.25,1.42,1.4,1.4,4.33,4.0,7.0,4.0,7.0,1.4,4.5,7.51,32,7.5,0.0,1.15,6.5,7.0,1.4,1.68,1.4,35,6.25,1.4,1.75,4.0,1.11,7.0,7.25,20,4.2,5.61,1.44,8.5,4.0,4.33,4.17,2.25,Falkirk,Rangers,Falkirk_Rangers_2009
80,4.1,3.4,1.69,3.2,2.0,4.0,1.85,4.0,3.75,2.12,3.4,3.78,3.5,4.0,3.4,3.5,1.91,3.25,2.0,3.75,3.4,1.94,31,1.91,0.0,3.0,1.91,1.45,3.6,2.07,4.0,35,1.85,3.3,2.22,3.2,2.75,1.83,1.9,21,3.25,1.4,3.75,1.83,3.2,3.4,3.3,1.75,Hibernian,Motherwell,Hibernian_Motherwell_2009
81,3.82,3.53,1.8,3.2,2.0,3.5,2.05,3.25,3.4,2.1,3.25,3.42,3.2,3.4,3.2,3.25,2.1,3.25,2.0,3.3,3.4,2.05,31,2.1,0.0,2.63,2.0,1.56,3.3,1.94,3.6,35,2.0,3.3,2.08,3.3,2.48,2.0,2.05,21,3.25,1.48,3.6,2.0,3.2,3.3,3.29,1.88,St Johnstone,Kilmarnock,St Johnstone_Kilmarnock_2009
82,2.46,3.35,1.64,3.2,2.7,2.3,2.8,2.3,2.3,3.28,3.25,2.31,2.2,2.25,3.3,3.2,3.0,3.2,2.9,2.2,3.3,2.99,32,3.2,0.0,1.72,2.8,2.25,2.1,2.14,2.3,35,3.05,2.3,2.28,3.3,1.65,3.1,3.0,20,3.2,2.14,2.3,3.0,3.2,3.3,3.22,1.72,Hamilton,Hearts,Hamilton_Hearts_2009
83,5.5,3.75,1.65,3.4,1.7,5.0,1.65,4.75,4.5,1.81,3.4,4.76,4.33,5.25,3.5,3.5,1.57,3.5,1.73,4.75,3.6,1.71,32,1.67,0.0,3.75,1.67,1.3,4.4,2.11,5.0,37,1.7,4.3,2.25,3.5,3.49,1.67,1.65,21,3.5,1.26,4.75,1.67,3.4,3.5,3.49,1.7,Aberdeen,Hamilton,Aberdeen_Hamilton_2009
84,2.45,3.4,1.65,3.2,2.6,2.38,2.8,2.3,2.38,3.2,3.25,2.36,2.3,2.4,3.2,3.3,2.6,3.25,3.0,2.4,3.25,2.88,32,2.9,0.0,1.76,2.62,2.3,2.3,2.12,2.38,37,2.7,2.5,2.31,3.2,1.69,2.75,2.65,22,3.25,2.09,2.3,2.75,3.1,3.2,3.23,1.72,Hearts,Dundee United,Hearts_Dundee United_2009
85,2.45,3.48,1.6,3.2,2.8,2.1,2.95,2.2,2.25,3.3,3.25,2.31,2.3,2.4,3.4,3.25,3.0,3.25,3.0,2.35,3.25,2.93,32,2.9,0.0,1.72,2.62,2.28,2.3,2.19,2.25,37,2.7,2.3,2.25,3.25,1.67,2.75,2.75,22,3.25,2.14,2.3,3.0,3.1,3.2,3.24,1.66,Kilmarnock,Hibernian,Kilmarnock_Hibernian_2009
86,1.58,4.25,1.99,3.6,4.8,1.53,5.75,1.55,1.57,6.75,3.8,1.54,1.53,1.53,3.75,3.75,5.5,3.6,6.5,1.57,4.0,6.0,34,6.0,0.0,1.2,5.0,5.0,1.5,1.76,1.53,37,5.5,1.6,1.86,3.75,1.17,5.0,5.5,21,3.5,4.4,1.53,6.0,3.6,3.5,3.75,2.1,Motherwell,Celtic,Motherwell_Celtic_2009
87,12.5,5.5,2.19,4.8,1.22,10.0,1.25,10.0,10.0,1.32,5.0,10.77,10.0,10.0,4.5,5.5,1.22,5.0,1.29,10.0,5.0,1.27,32,1.3,0.0,10.0,1.22,1.07,9.0,1.6,12.0,36,1.25,10.0,1.67,4.75,8.57,1.29,1.25,22,5.0,1.05,11.0,1.22,5.0,5.0,5.04,2.32,Rangers,St Johnstone,Rangers_St Johnstone_2009
88,3.95,3.4,1.64,3.2,2.0,3.6,1.95,3.6,3.4,2.15,3.3,3.56,3.2,3.6,3.25,3.4,1.8,3.25,2.0,3.4,3.25,2.03,32,2.1,0.0,2.8,2.0,1.48,3.55,2.13,3.75,37,1.9,3.3,2.2,3.2,2.58,2.0,2.0,21,3.25,1.45,3.75,1.91,3.2,3.4,3.27,1.68,St Mirren,Falkirk,St Mirren_Falkirk_2009
89,2.08,3.6,1.86,3.4,3.3,1.91,3.75,1.85,1.91,4.0,3.4,1.94,1.95,1.91,3.4,3.4,4.0,3.4,3.75,1.95,3.4,3.79,33,4.0,0.0,1.44,3.8,2.95,1.85,1.88,1.95,38,3.65,2.0,2.04,3.4,1.39,4.0,3.5,24,3.4,2.76,1.91,3.75,3.2,3.4,3.37,1.91,Dundee United,Rangers,Dundee United_Rangers_2009
90,2.84,3.5,1.64,3.1,2.4,2.8,2.5,2.6,2.5,2.67,3.25,2.68,2.5,2.7,3.25,3.25,2.5,3.2,2.5,2.6,3.25,2.51,32,2.6,0.0,2.08,2.5,1.88,2.55,2.13,2.62,36,2.45,2.7,2.32,3.2,1.97,2.5,2.5,24,3.2,1.81,2.75,2.5,3.1,3.3,3.23,1.7,Aberdeen,Hibernian,Aberdeen_Hibernian_2009
91,4.0,3.43,1.65,3.25,2.0,3.75,1.95,3.6,3.4,2.16,3.4,3.6,3.4,3.8,3.25,3.3,2.0,3.3,2.0,3.5,3.3,2.0,32,2.0,0.0,2.81,1.91,1.5,3.6,2.12,3.5,36,1.85,3.3,2.3,3.2,2.59,2.0,1.95,24,3.25,1.44,3.75,2.0,3.2,3.4,3.28,1.75,Kilmarnock,Falkirk,Kilmarnock_Falkirk_2009
92,13.63,6.2,2.13,5.0,1.27,13.0,1.22,11.0,10.0,1.29,6.0,10.81,9.0,11.0,5.0,5.5,1.25,5.25,1.22,9.0,5.75,1.25,32,1.25,0.0,11.0,1.22,1.08,8.0,1.64,10.0,36,1.22,9.0,1.72,5.5,8.95,1.25,1.25,24,5.2,1.04,13.0,1.25,4.6,5.5,5.28,2.3,Rangers,Motherwell,Rangers_Motherwell_2009
93,3.25,3.52,1.82,3.2,2.2,3.25,2.2,3.0,2.88,2.32,3.25,3.06,3.1,3.25,3.25,3.25,2.25,3.25,2.2,3.0,3.25,2.23,32,2.25,0.0,2.31,2.05,1.69,3.05,1.91,3.0,36,2.1,3.0,2.05,3.25,2.22,2.25,2.2,24,3.2,1.61,3.2,2.25,3.1,3.25,3.26,1.92,St Johnstone,St Mirren,St Johnstone_St Mirren_2009
