,Time,HY,AwayTeam,HF,AR,FTHG,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
103,15:00:00,1,Hibernian,7,0,2,0,1,J Beaton,0,0,2,8,H,4,2019-12-15,Celtic,SC0,0,5,5,21,H,2,Celtic_Hibernian_2019
104,19:45:00,4,Celtic,11,0,0,2,0,B Madden,0,2,2,10,A,13,2019-12-18,Hearts,SC0,5,3,2,12,A,7,Hearts_Celtic_2019
105,19:45:00,5,Rangers,9,0,0,3,0,N Walsh,1,2,1,7,A,13,2019-12-20,Hibernian,SC0,10,1,2,7,A,5,Hibernian_Rangers_2019
106,15:00:00,2,Aberdeen,12,1,2,1,1,E Anderson,0,1,1,13,H,2,2019-12-21,Celtic,SC0,1,11,6,28,D,1,Celtic_Aberdeen_2019
107,15:00:00,3,Hearts,15,0,2,1,0,D Munro,0,0,4,16,H,19,2019-12-21,Hamilton,SC0,3,4,1,6,D,11,Hamilton_Hearts_2019
108,15:00:00,1,Motherwell,15,0,0,1,0,W Collum,0,0,3,17,A,9,2019-12-21,Kilmarnock,SC0,5,6,3,14,D,5,Kilmarnock_Motherwell_2019
109,15:00:00,1,Ross County,16,0,4,0,2,C Steven,0,0,0,12,H,4,2019-12-21,Livingston,SC0,2,6,6,10,H,2,Livingston_Ross County_2019
110,15:00:00,3,St Mirren,9,0,0,0,0,J Beaton,0,0,2,12,D,10,2019-12-21,St Johnstone,SC0,3,2,6,7,D,4,St Johnstone_St Mirren_2019
111,12:30:00,3,Hibernian,17,0,0,2,0,D Robertson,0,2,2,10,A,7,2019-12-26,Hearts,SC0,4,5,10,16,A,2,Hearts_Hibernian_2019
112,15:00:00,1,Livingston,12,0,2,1,1,B Madden,0,0,0,10,H,5,2019-12-26,Aberdeen,SC0,2,3,6,11,H,4,Aberdeen_Livingston_2019
113,15:00:00,1,St Johnstone,8,0,0,1,0,G Duncan,0,0,2,17,A,6,2019-12-26,Hamilton,SC0,1,2,2,7,D,4,Hamilton_St Johnstone_2019
114,15:00:00,0,Kilmarnock,10,0,1,0,0,S McLean,0,0,3,11,H,3,2019-12-26,Rangers,SC0,2,7,12,19,D,1,Rangers_Kilmarnock_2019
115,15:00:00,3,Motherwell,16,0,1,2,1,G Aitken,1,0,3,10,A,19,2019-12-26,Ross County,SC0,8,2,2,12,H,6,Ross County_Motherwell_2019
116,15:00:00,1,Celtic,6,0,1,2,0,W Collum,0,2,1,8,A,17,2019-12-26,St Mirren,SC0,5,4,3,8,A,10,St Mirren_Celtic_2019
117,12:30:00,3,Rangers,17,1,1,2,1,K Clancy,0,1,3,13,A,9,2019-12-29,Celtic,SC0,5,5,11,11,D,7,Celtic_Rangers_2019
118,14:00:00,2,Aberdeen,17,0,1,1,0,A Muir,1,0,3,13,D,7,2019-12-29,Hearts,SC0,2,5,6,11,D,5,Hearts_Aberdeen_2019
119,15:00:00,2,Hibernian,13,0,2,0,0,E Anderson,0,0,1,15,H,5,2019-12-29,Livingston,SC0,1,6,7,13,D,3,Livingston_Hibernian_2019
120,15:00:00,2,Hamilton,7,0,1,2,1,J Beaton,0,0,3,9,A,13,2019-12-29,Motherwell,SC0,5,3,2,9,H,4,Motherwell_Hamilton_2019
121,15:00:00,2,Ross County,6,1,1,1,0,B Madden,0,0,6,14,D,4,2019-12-29,St Johnstone,SC0,3,3,7,15,D,1,St Johnstone_Ross County_2019
122,15:00:00,2,Kilmarnock,12,0,1,0,1,A Newlands,0,0,3,14,H,3,2019-12-29,St Mirren,SC0,1,5,7,19,H,5,St Mirren_Kilmarnock_2019
123,19:45:00,1,Motherwell,12,0,0,1,0,W Collum,0,1,3,16,A,5,2020-01-22,Aberdeen,SC0,3,2,9,7,A,1,Aberdeen_Motherwell_2019
