,WHD,IWH,LBA,B365AH,SBH,SBA,BWD,LBAH,WHA,B365A,LBH,GBA,B365D,B365H,LBAHA,WHH,BWA,LBAHH,BWH,IWA,GBAHA,GBH,SBD,B365AHH,B365AHA,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
111,3.3,1.7,4.33,-0.75,1.62,5.0,3.45,-0.75,5.0,5.5,1.67,5.0,3.5,1.57,2.08,1.61,5.0,1.76,1.6,4.2,2.02,1.62,3.4,1.75,2.1,1.85,-0.5,1.85,3.2,3.4,3.4,1.62,Motherwell,Inverness C,Motherwell_Inverness C_2004
112,4.5,9.0,1.22,1.5,9.0,1.25,5.0,1.5,1.25,1.25,10.0,1.25,5.5,10.0,1.94,10.0,1.25,1.9,8.75,1.25,1.25,10.0,5.0,1.95,1.9,1.65,0.5,2.05,4.5,5.0,4.75,3.22,Kilmarnock,Rangers,Kilmarnock_Rangers_2004
113,3.75,6.0,1.4,1.25,7.5,1.36,4.5,1.25,1.4,1.4,7.0,1.37,4.2,8.0,2.0,7.0,1.31,1.84,8.0,1.4,1.37,7.5,4.0,1.75,2.1,2.15,0.5,1.6,3.6,3.75,4.0,2.61,Hearts,Celtic,Hearts_Celtic_2004
114,3.3,1.7,4.33,-0.75,1.62,5.0,3.5,-0.75,4.5,5.0,1.73,4.75,3.4,1.61,1.96,1.66,5.5,1.88,1.55,4.2,1.95,1.67,3.4,1.875,1.975,1.85,-0.5,1.85,3.2,3.2,3.3,1.67,Aberdeen,Inverness C,Aberdeen_Inverness C_2004
115,3.1,2.7,2.4,0.0,2.62,2.38,3.3,-0.25,2.37,2.37,2.5,2.4,3.2,2.62,2.0,2.62,2.35,1.84,2.6,2.3,2.4,2.6,3.2,2.1,1.75,1.9,0.5,1.79,3.0,3.25,3.2,1.43,Dundee United,Hibernian,Dundee United_Hibernian_2004
116,3.2,2.0,3.0,-0.25,2.1,3.0,3.25,0.0,3.1,3.0,2.0,3.15,3.25,2.1,1.76,2.05,3.3,2.08,2.0,3.2,1.6,2.05,3.25,1.8,2.05,1.71,-0.5,2.0,3.1,3.4,3.25,2.05,Dunfermline,Livingston,Dunfermline_Livingston_2004
117,3.2,1.9,3.2,-0.5,1.91,3.5,3.3,-0.5,3.2,3.5,1.91,3.4,3.25,1.9,1.92,2.0,3.7,1.92,1.85,3.4,1.66,1.95,3.25,2.0,1.85,1.75,-0.5,1.95,3.2,3.5,3.25,1.95,Kilmarnock,Dundee,Kilmarnock_Dundee_2004
118,6.0,1.17,12.0,-2.0,1.17,11.0,6.0,-2.0,10.0,12.0,1.17,12.0,6.5,1.14,1.92,1.16,13.0,1.92,1.15,11.0,,1.16,6.0,1.85,2.0,1.5,,2.35,5.5,5.5,6.0,,Rangers,Motherwell,Rangers_Motherwell_2004
119,5.0,9.5,1.25,1.5,10.0,1.22,5.35,1.5,1.22,1.2,10.0,1.22,5.5,10.0,1.76,9.5,1.21,2.08,10.0,1.22,,11.0,5.0,2.025,1.825,1.65,,2.05,4.8,4.5,5.0,,Dundee United,Rangers,Dundee United_Rangers_2004
120,3.2,1.85,3.0,-0.5,2.1,3.0,3.25,-0.5,3.2,3.25,2.1,3.3,3.25,2.0,1.86,2.0,3.6,1.98,1.9,3.6,1.64,2.0,3.25,2.075,1.775,1.9,-0.5,1.79,3.1,3.2,3.25,2.0,Dunfermline,Dundee,Dunfermline_Dundee_2004
121,6.5,1.12,15.0,-2.25,1.12,13.0,7.5,-2.25,15.0,13.0,1.1,13.0,7.0,1.11,1.9,1.11,14.0,1.94,1.1,13.0,,1.11,6.5,1.95,1.9,1.5,,2.35,6.5,7.0,7.25,,Celtic,Livingston,Celtic_Livingston_2004
122,3.1,2.3,3.0,-0.25,2.2,2.88,3.1,-0.25,2.8,2.9,2.1,2.85,3.2,2.37,1.86,2.25,3.0,1.98,2.2,2.7,1.51,2.25,3.2,1.975,1.875,1.79,-0.5,1.9,3.0,3.2,3.2,2.25,Hibernian,Hearts,Hibernian_Hearts_2004
123,3.2,2.1,2.75,-0.25,2.2,2.88,3.1,-0.25,2.8,2.7,2.2,2.9,3.2,2.3,1.825,2.2,3.0,2.025,2.2,3.1,1.52,2.2,3.2,1.975,1.875,1.79,-0.5,1.9,3.0,3.25,3.2,2.2,Inverness C,Kilmarnock,Inverness C_Kilmarnock_2004
124,3.2,2.2,2.75,-0.25,2.25,2.8,3.2,-0.25,2.8,2.7,2.2,2.85,3.2,2.3,1.9,2.2,2.75,1.95,2.3,2.9,1.52,2.2,3.2,1.975,1.875,1.85,-0.5,1.85,3.0,3.25,3.25,2.2,Motherwell,Aberdeen,Motherwell_Aberdeen_2004
125,3.2,2.1,2.75,-0.25,2.1,3.0,3.2,-0.25,2.8,3.2,2.2,3.0,3.2,2.1,1.92,2.2,3.0,1.92,2.15,3.0,1.55,2.15,3.25,1.95,1.9,1.85,-0.5,1.85,3.1,3.25,3.2,2.15,Dundee,Inverness C,Dundee_Inverness C_2004
