,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
84,0,Aberdeen,4,0,0,1,0,0,0,0,13,A,8,2012-11-24,Hibernian,SC0,2,3,9,16,D,2,Hibernian_Aberdeen_2012
85,0,St Johnstone,12,1,0,2,0,1,1,5,14,A,16,2012-11-24,Kilmarnock,SC0,9,3,5,6,A,5,Kilmarnock_St Johnstone_2012
86,1,Hearts,11,0,0,0,0,0,0,1,9,D,8,2012-11-24,Motherwell,SC0,5,5,4,9,D,8,Motherwell_Hearts_2012
87,1,Dundee United,13,1,0,2,0,0,0,0,13,A,11,2012-11-24,Ross County,SC0,8,5,3,8,D,7,Ross County_Dundee United_2012
88,1,Dundee,12,3,1,1,1,0,0,0,8,H,5,2012-11-24,St Mirren,SC0,2,7,9,14,H,3,St Mirren_Dundee_2012
89,3,Inverness C,15,2,0,3,1,0,1,1,12,A,7,2012-11-27,Aberdeen,SC0,3,5,7,10,D,3,Aberdeen_Inverness C_2012
90,0,Motherwell,11,1,0,2,1,0,2,1,7,A,8,2012-11-27,Dundee United,SC0,5,10,9,16,A,7,Dundee United_Motherwell_2012
91,1,St Mirren,14,0,0,0,0,0,0,1,10,D,13,2012-11-27,Ross County,SC0,6,1,4,8,D,9,Ross County_St Mirren_2012
92,1,Celtic,9,0,0,4,0,0,3,3,13,A,9,2012-11-28,Hearts,SC0,5,9,7,13,A,1,Hearts_Celtic_2012
93,2,Hibernian,11,0,0,1,0,1,0,4,12,A,5,2012-11-28,St Johnstone,SC0,1,10,14,12,D,2,St Johnstone_Hibernian_2012
94,0,Aberdeen,8,2,0,0,1,0,0,2,13,H,11,2012-12-08,Hearts,SC0,4,7,9,11,H,11,Hearts_Aberdeen_2012
95,0,Hibernian,10,3,0,0,1,0,0,0,14,H,1,2012-12-08,Inverness C,SC0,1,7,4,9,H,2,Inverness C_Hibernian_2012
96,3,Celtic,11,1,0,3,0,0,1,2,8,A,19,2012-12-08,Kilmarnock,SC0,10,3,5,5,A,12,Kilmarnock_Celtic_2012
97,0,Ross County,7,3,0,2,1,0,1,1,9,H,9,2012-12-08,Motherwell,SC0,6,5,5,8,D,5,Motherwell_Ross County_2012
98,2,St Johnstone,8,1,2,1,0,0,1,2,15,D,7,2012-12-08,St Mirren,SC0,2,4,11,16,A,1,St Mirren_St Johnstone_2012
99,1,Dundee United,9,0,0,3,0,0,1,2,11,A,8,2012-12-09,Dundee,SC0,5,2,6,4,A,5,Dundee_Dundee United_2012
100,2,Kilmarnock,14,0,0,2,0,1,1,3,16,A,5,2012-12-15,Aberdeen,SC0,2,2,6,11,A,2,Aberdeen_Kilmarnock_2012
101,0,St Mirren,3,2,0,0,1,0,0,1,7,H,3,2012-12-15,Celtic,SC0,1,10,14,17,H,2,Celtic_St Mirren_2012
102,3,Inverness C,6,4,0,4,3,0,2,2,7,D,5,2012-12-15,Dundee United,SC0,5,2,4,3,H,7,Dundee United_Inverness C_2012
103,2,Motherwell,10,2,0,3,1,1,0,1,6,A,12,2012-12-15,Hibernian,SC0,5,5,1,9,H,12,Hibernian_Motherwell_2012
104,2,Dundee,10,1,0,1,0,0,1,2,10,D,9,2012-12-15,Ross County,SC0,4,7,9,12,A,2,Ross County_Dundee_2012
105,2,Hearts,15,2,0,2,1,0,2,4,10,D,10,2012-12-15,St Johnstone,SC0,4,6,6,8,A,2,St Johnstone_Hearts_2012
106,1,Motherwell,3,2,0,1,2,0,0,0,4,H,18,2012-12-21,St Mirren,SC0,12,10,8,17,H,14,St Mirren_Motherwell_2012
107,0,St Johnstone,7,2,0,0,0,0,0,0,13,H,4,2012-12-22,Aberdeen,SC0,1,10,9,19,D,7,Aberdeen_St Johnstone_2012
108,1,Ross County,5,4,0,0,0,0,0,3,12,H,7,2012-12-22,Celtic,SC0,4,9,4,13,D,4,Celtic_Ross County_2012
109,0,Dundee,15,4,0,1,2,0,1,0,10,H,8,2012-12-22,Inverness C,SC0,3,5,6,8,H,6,Inverness C_Dundee_2012
