,HY,AwayTeam,HF,FTHG,AR,FTAG,HTHG,Referee,HR,HTAG,AY,AF,FTR,AS,Date,HomeTeam,Div,AST,HST,HC,HS,HTR,AC,idGame
0,0,Kilmarnock,5,1,0,1,1,S McLean,0,1,3,13,D,10,2014-08-09,Dundee,SC0,3,7,7,14,D,4,Dundee_Kilmarnock_2014
1,2,Inverness C,12,0,0,2,0,D Robertson,0,2,1,12,A,13,2014-08-09,Hamilton,SC0,8,3,2,8,A,4,Hamilton_Inverness C_2014
2,1,St Mirren,13,1,1,0,0,C Murray,0,0,1,16,H,20,2014-08-09,Motherwell,SC0,11,4,1,9,D,7,Motherwell_St Mirren_2014
3,0,Dundee United,13,0,0,3,0,W Collum,0,2,2,14,A,12,2014-08-10,Aberdeen,SC0,5,0,9,13,A,3,Aberdeen_Dundee United_2014
4,2,St Johnstone,11,1,0,2,0,K Clancy,0,1,0,18,A,11,2014-08-10,Ross County,SC0,5,5,4,9,A,8,Ross County_St Johnstone_2014
5,1,Motherwell,16,1,0,0,0,K Clancy,0,0,2,12,H,3,2014-08-13,Dundee United,SC0,0,4,10,10,D,8,Dundee United_Motherwell_2014
6,1,Dundee,8,0,0,0,0,S Finnie,0,0,2,12,D,4,2014-08-13,Inverness C,SC0,2,3,4,13,D,4,Inverness C_Dundee_2014
7,0,Aberdeen,8,0,0,2,0,A Crawford,0,1,0,8,A,8,2014-08-13,Kilmarnock,SC0,4,4,3,12,A,5,Kilmarnock_Aberdeen_2014
8,2,Ross County,4,4,0,0,1,A Dallas,0,0,3,4,H,9,2014-08-13,Partick,SC0,4,8,2,16,H,6,Partick_Ross County_2014
9,1,Celtic,12,0,0,3,0,J Beaton,1,0,1,14,A,16,2014-08-13,St Johnstone,SC0,8,1,3,6,D,6,St Johnstone_Celtic_2014
10,1,Hamilton,10,0,0,2,0,A Muir,0,1,4,17,A,7,2014-08-13,St Mirren,SC0,4,2,6,9,A,6,St Mirren_Hamilton_2014
11,0,Dundee United,8,6,0,1,3,C Thomson,0,0,3,10,H,7,2014-08-16,Celtic,SC0,3,14,10,29,H,1,Celtic_Dundee United_2014
12,0,Partick,12,1,1,1,0,C Charleston,0,1,3,15,D,9,2014-08-16,Dundee,SC0,5,3,2,9,A,1,Dundee_Partick_2014
13,2,St Johnstone,9,1,0,0,1,B Madden,0,0,2,12,H,4,2014-08-16,Hamilton,SC0,1,7,5,10,H,3,Hamilton_St Johnstone_2014
14,2,Inverness C,15,0,0,2,0,S McLean,0,1,0,11,A,17,2014-08-16,Motherwell,SC0,4,0,5,5,A,6,Motherwell_Inverness C_2014
15,5,Kilmarnock,20,1,0,2,0,B Colvin,0,1,3,15,A,13,2014-08-16,Ross County,SC0,6,8,6,9,A,7,Ross County_Kilmarnock_2014
16,2,Ross County,13,2,0,1,1,S McLean,0,0,2,16,H,11,2014-08-23,Dundee United,SC0,3,9,8,18,H,2,Dundee United_Ross County_2014
17,0,Celtic,9,1,0,0,0,B Madden,0,0,0,9,H,13,2014-08-23,Inverness C,SC0,6,2,7,10,D,4,Inverness C_Celtic_2014
18,1,Motherwell,14,2,1,0,1,W Collum,0,0,1,6,H,7,2014-08-23,Kilmarnock,SC0,2,11,4,17,H,7,Kilmarnock_Motherwell_2014
19,2,Hamilton,10,1,0,2,0,K Clancy,0,0,3,11,A,5,2014-08-23,Partick,SC0,4,5,7,8,D,8,Partick_Hamilton_2014
20,2,Aberdeen,13,1,0,0,0,C Thomson,0,0,2,11,H,9,2014-08-23,St Johnstone,SC0,1,2,5,9,D,5,St Johnstone_Aberdeen_2014
21,1,Dundee,17,0,0,1,0,J Beaton,0,0,2,14,A,10,2014-08-23,St Mirren,SC0,5,5,12,18,D,4,St Mirren_Dundee_2014
22,0,Partick,8,2,0,0,0,B Colvin,0,0,3,12,H,5,2014-08-30,Aberdeen,SC0,1,6,12,16,D,1,Aberdeen_Partick_2014
23,3,Ross County,18,4,1,0,0,W Collum,0,0,2,10,H,3,2014-08-30,Hamilton,SC0,3,11,17,17,D,2,Hamilton_Ross County_2014
24,2,Kilmarnock,13,2,0,0,0,J Beaton,0,0,1,12,H,7,2014-08-30,Inverness C,SC0,1,4,5,11,D,4,Inverness C_Kilmarnock_2014
25,1,St Johnstone,10,0,0,1,0,A Muir,0,0,1,8,A,10,2014-08-30,Motherwell,SC0,6,3,3,8,D,1,Motherwell_St Johnstone_2014
26,0,Dundee United,8,0,0,3,0,B Madden,0,0,1,12,A,13,2014-08-30,St Mirren,SC0,7,1,12,13,D,3,St Mirren_Dundee United_2014
27,1,Celtic,11,1,0,1,1,C Thomson,0,0,2,7,D,13,2014-08-31,Dundee,SC0,6,3,4,10,H,5,Dundee_Celtic_2014
28,1,Aberdeen,12,2,0,1,1,B Madden,0,0,1,7,H,10,2014-09-13,Celtic,SC0,5,4,4,19,H,4,Celtic_Aberdeen_2014
29,1,Hamilton,14,2,1,2,2,J Beaton,1,2,1,10,D,11,2014-09-13,Dundee United,SC0,5,4,5,9,D,5,Dundee United_Hamilton_2014
30,3,St Mirren,14,2,0,1,0,A Muir,0,0,3,12,H,9,2014-09-13,Kilmarnock,SC0,4,5,12,8,D,8,Kilmarnock_St Mirren_2014
31,2,Inverness C,10,3,0,1,2,S Finnie,0,1,2,10,H,11,2014-09-13,Partick,SC0,5,7,5,11,H,4,Partick_Inverness C_2014
32,0,Motherwell,9,1,0,2,0,S McLean,0,0,2,13,A,9,2014-09-13,Ross County,SC0,7,7,6,20,D,6,Ross County_Motherwell_2014
33,2,Dundee,9,0,0,1,0,W Collum,0,1,0,11,A,9,2014-09-13,St Johnstone,SC0,3,0,2,6,A,7,St Johnstone_Dundee_2014
34,3,St Mirren,16,1,0,2,1,W Collum,0,0,3,8,A,12,2014-09-19,Partick,SC0,7,1,3,8,H,5,Partick_St Mirren_2014
35,2,Ross County,11,3,0,0,2,C Thomson,0,0,3,13,H,10,2014-09-20,Aberdeen,SC0,3,10,7,13,H,8,Aberdeen_Ross County_2014
36,3,Kilmarnock,9,0,0,0,0,K Clancy,0,0,3,12,D,6,2014-09-20,Hamilton,SC0,3,5,4,8,D,2,Hamilton_Kilmarnock_2014
37,2,St Johnstone,11,2,0,1,0,C Murray,0,0,1,15,H,5,2014-09-20,Inverness C,SC0,1,5,4,14,D,6,Inverness C_St Johnstone_2014
38,0,Motherwell,2,1,0,1,0,B Colvin,0,1,1,11,D,4,2014-09-21,Celtic,SC0,1,10,8,27,A,0,Celtic_Motherwell_2014
39,1,Dundee United,12,1,0,4,0,S McLean,1,1,4,18,A,11,2014-09-21,Dundee,SC0,8,2,3,4,A,5,Dundee_Dundee United_2014
40,2,Inverness C,16,3,0,2,2,J Beaton,0,1,2,16,H,9,2014-09-27,Aberdeen,SC0,4,7,8,10,H,2,Aberdeen_Inverness C_2014
41,2,St Johnstone,13,2,0,0,1,B Madden,0,0,1,14,H,7,2014-09-27,Dundee United,SC0,1,3,3,6,H,5,Dundee United_St Johnstone_2014
42,0,Partick,5,3,0,0,1,A Dallas,0,0,3,11,H,8,2014-09-27,Kilmarnock,SC0,4,7,4,11,H,3,Kilmarnock_Partick_2014
43,5,Hamilton,15,0,0,4,0,W Collum,0,2,1,16,A,23,2014-09-27,Motherwell,SC0,9,3,9,9,A,4,Motherwell_Hamilton_2014
44,1,Dundee,13,2,0,1,1,C Charleston,0,0,2,17,H,8,2014-09-27,Ross County,SC0,4,5,7,15,H,3,Ross County_Dundee_2014
45,2,Celtic,11,1,0,2,0,C Thomson,0,1,1,12,A,11,2014-09-27,St Mirren,SC0,2,2,5,6,A,6,St Mirren_Celtic_2014
46,2,St Mirren,16,2,0,2,1,A Crawford,0,0,3,12,D,10,2014-09-30,Aberdeen,SC0,5,11,7,21,H,5,Aberdeen_St Mirren_2014
47,3,Dundee United,14,2,0,0,0,A Crawford,0,0,2,10,H,11,2014-10-03,Kilmarnock,SC0,3,6,7,15,D,2,Kilmarnock_Dundee United_2014
48,2,Aberdeen,14,2,0,3,1,W Collum,0,2,2,18,A,6,2014-10-04,Dundee,SC0,2,4,5,13,A,7,Dundee_Aberdeen_2014
49,3,Motherwell,9,3,0,1,1,B Madden,0,0,1,11,H,8,2014-10-04,Partick,SC0,5,6,5,12,H,5,Partick_Motherwell_2014
50,0,St Mirren,11,1,0,2,0,D Robertson,0,1,3,12,A,7,2014-10-04,St Johnstone,SC0,2,1,5,5,A,3,St Johnstone_St Mirren_2014
51,2,Hamilton,13,0,0,1,0,S McLean,0,0,1,6,A,5,2014-10-05,Celtic,SC0,2,7,11,16,D,4,Celtic_Hamilton_2014
52,1,Ross County,8,1,0,1,0,C Thomson,0,1,2,16,D,14,2014-10-05,Inverness C,SC0,6,10,8,19,A,4,Inverness C_Ross County_2014
